1,泥谷 一毅,泥谷 一毅.1,2,末永 由楽,末永 由楽.1,3,山地 正樹,山地 正樹.1,4,伊藤 尚汰,伊藤 尚汰.1,5,日高　龍之介,日高　龍之介.1,6,栗山 繁洋,栗山 繁洋.1
2.0,3.0,10.0,1.0,3.0,12.9,1.0,2.0,73.9,1.0,2.0,75.9,1.0,2.0,614.3,1.0,2.0,151.4
2.0,4.0,8.8,1.0,4.0,11.9,1.0,4.0,114.6,1.0,3.0,155.8,1.0,3.0,753.0,1.0,3.0,251.4
2.0,5.0,74.6,1.0,5.0,102.2,1.0,5.0,366.8,1.0,5.0,587.3,1.0,4.0,1057.0,1.0,4.0,294.5
2.0,6.0,25.5,1.0,6.0,28.6,1.0,6.0,148.9,1.0,6.0,180.7,1.0,6.0,1037.0,1.0,5.0,579.4
3.0,2.0,22.4,3.0,1.0,18.1,2.0,1.0,64.3,2.0,1.0,61.9,2.0,1.0,786.6,2.0,1.0,170.3
3.0,4.0,40.1,3.0,4.0,21.3,2.0,4.0,86.2,2.0,3.0,103.4,2.0,3.0,965.2,2.0,3.0,227.4
3.0,5.0,118.8,3.0,5.0,182.8,2.0,5.0,423.9,2.0,5.0,676.6,2.0,4.0,1449.0,2.0,4.0,276.6
3.0,6.0,65.7,3.0,6.0,33.0,2.0,6.0,110.7,2.0,6.0,117.3,2.0,6.0,1428.0,2.0,5.0,902.2
4.0,2.0,24.8,4.0,1.0,16.1,4.0,1.0,135.8,3.0,1.0,177.9,3.0,1.0,1135.0,3.0,1.0,373.2
4.0,3.0,51.8,4.0,3.0,23.0,4.0,2.0,130.8,3.0,2.0,139.2,3.0,2.0,1433.0,3.0,2.0,286.4
4.0,5.0,214.4,4.0,5.0,226.3,4.0,5.0,912.8,3.0,5.0,900.1,3.0,4.0,2174.0,3.0,4.0,477.8
4.0,6.0,70.2,4.0,6.0,31.1,4.0,6.0,204.7,3.0,6.0,268.4,3.0,6.0,1334.0,3.0,5.0,1252.0
5.0,2.0,128.4,5.0,1.0,300.2,5.0,1.0,681.4,5.0,1.0,1690.0,4.0,1.0,1974.0,4.0,1.0,459.1
5.0,3.0,174.0,5.0,3.0,479.0,5.0,2.0,1087.0,5.0,2.0,1417.0,4.0,2.0,2263.0,4.0,2.0,351.5
5.0,4.0,227.1,5.0,4.0,521.6,5.0,4.0,1697.0,5.0,3.0,2005.0,4.0,3.0,2845.0,4.0,3.0,614.3
5.0,6.0,252.8,5.0,6.0,583.7,5.0,6.0,1573.0,5.0,6.0,2069.0,4.0,6.0,2764.0,4.0,5.0,1554.0
6.0,2.0,53.5,6.0,1.0,39.1,6.0,1.0,190.7,6.0,1.0,239.0,6.0,1.0,1727.0,5.0,1.0,1281.0
6.0,3.0,100.4,6.0,3.0,55.9,6.0,2.0,173.8,6.0,2.0,175.1,6.0,2.0,2303.0,5.0,2.0,1800.0
6.0,4.0,101.3,6.0,4.0,49.0,6.0,4.0,287.7,6.0,3.0,372.1,6.0,3.0,2632.0,5.0,3.0,1860.0
6.0,5.0,227.8,6.0,5.0,343.1,6.0,5.0,1112.0,6.0,5.0,1320.0,6.0,4.0,2764.0,5.0,4.0,2092.0
