1,志道 吉和,志道 吉和.1,2,田山 和広,田山 和広.1,3,大塚 康雅,大塚 康雅.1,4,水原 慎,水原 慎.1,5,齊藤 優,齊藤 優.1,6,小野 信樹,小野 信樹.1
2.0,3.0,19.2,1.0,3.0,83.4,1.0,2.0,59.0,1.0,2.0,90.2,1.0,2.0,105.0,1.0,2.0,1064.0
2.0,4.0,22.0,1.0,4.0,97.4,1.0,4.0,34.6,1.0,3.0,77.3,1.0,3.0,63.5,1.0,3.0,1134.0
2.0,5.0,28.0,1.0,5.0,91.3,1.0,5.0,24.3,1.0,5.0,44.4,1.0,4.0,67.4,1.0,4.0,1236.0
2.0,6.0,106.0,1.0,6.0,280.3,1.0,6.0,106.2,1.0,6.0,120.9,1.0,6.0,135.5,1.0,5.0,1032.0
3.0,2.0,17.6,3.0,1.0,162.9,2.0,1.0,151.5,2.0,1.0,126.6,2.0,1.0,206.9,2.0,1.0,1468.0
3.0,4.0,12.4,3.0,4.0,235.5,2.0,4.0,201.2,2.0,3.0,290.3,2.0,3.0,329.5,2.0,3.0,2175.0
3.0,5.0,9.7,3.0,5.0,201.8,2.0,5.0,160.8,2.0,5.0,163.8,2.0,4.0,284.3,2.0,4.0,1668.0
3.0,6.0,62.5,3.0,6.0,556.2,2.0,6.0,450.5,2.0,6.0,306.0,2.0,6.0,435.1,2.0,5.0,1931.0
4.0,2.0,29.3,4.0,1.0,213.3,4.0,1.0,71.5,3.0,1.0,134.0,3.0,1.0,93.6,3.0,1.0,1507.0
4.0,3.0,19.6,4.0,3.0,303.9,4.0,2.0,169.9,3.0,2.0,240.8,3.0,2.0,268.7,3.0,2.0,2370.0
4.0,5.0,18.9,4.0,5.0,245.7,4.0,5.0,59.5,3.0,5.0,99.7,3.0,4.0,129.4,3.0,4.0,1432.0
4.0,6.0,73.8,4.0,6.0,521.6,4.0,6.0,172.2,3.0,6.0,283.1,3.0,6.0,287.4,3.0,5.0,1259.0
5.0,2.0,33.7,5.0,1.0,222.0,5.0,1.0,43.0,5.0,1.0,44.1,4.0,1.0,80.6,4.0,1.0,1501.0
5.0,3.0,18.6,5.0,3.0,287.4,5.0,2.0,149.0,5.0,2.0,88.5,4.0,2.0,168.6,4.0,2.0,1888.0
5.0,4.0,25.5,5.0,4.0,304.7,5.0,4.0,56.1,5.0,3.0,70.8,4.0,3.0,124.3,4.0,3.0,1462.0
5.0,6.0,72.9,5.0,6.0,622.7,5.0,6.0,126.3,5.0,6.0,63.9,4.0,6.0,112.3,4.0,5.0,946.9
6.0,2.0,300.4,6.0,1.0,808.7,6.0,1.0,460.7,6.0,1.0,248.7,6.0,1.0,347.9,5.0,1.0,1161.0
6.0,3.0,227.1,6.0,3.0,1153.0,6.0,2.0,806.8,6.0,2.0,364.8,6.0,2.0,587.5,5.0,2.0,1953.0
6.0,4.0,271.0,6.0,4.0,1157.0,6.0,4.0,444.6,6.0,3.0,386.6,6.0,3.0,445.8,5.0,3.0,1240.0
6.0,5.0,238.0,6.0,5.0,1206.0,6.0,5.0,383.2,6.0,5.0,203.6,6.0,4.0,348.6,5.0,4.0,934.0
