1,山下 友貴,山下 友貴.1,2,片岡 恵里,片岡 恵里.1,3,松尾 怜実,松尾 怜実.1,4,淺田　千亜希,淺田　千亜希.1,5,井上 未都,井上 未都.1,6,津田 裕絵,津田 裕絵.1
2.0,3.0,38.4,1.0,3.0,71.9,1.0,2.0,224.3,1.0,2.0,23.3,1.0,2.0,701.6,1.0,2.0,170.3
2.0,4.0,15.1,1.0,4.0,27.3,1.0,4.0,196.4,1.0,3.0,70.7,1.0,3.0,948.6,1.0,3.0,354.1
2.0,5.0,131.3,1.0,5.0,193.0,1.0,5.0,517.8,1.0,5.0,82.9,1.0,4.0,624.7,1.0,4.0,110.5
2.0,6.0,34.0,1.0,6.0,61.0,1.0,6.0,332.3,1.0,6.0,21.5,1.0,6.0,765.5,1.0,5.0,590.6
3.0,2.0,69.4,3.0,1.0,127.6,2.0,1.0,215.5,2.0,1.0,25.3,2.0,1.0,866.2,2.0,1.0,198.7
3.0,4.0,65.6,3.0,4.0,59.4,2.0,4.0,105.5,2.0,3.0,49.9,2.0,3.0,899.2,2.0,3.0,346.8
3.0,5.0,228.3,3.0,5.0,211.8,2.0,5.0,317.8,2.0,5.0,62.2,2.0,4.0,526.7,2.0,4.0,95.4
3.0,6.0,112.1,3.0,6.0,103.9,2.0,6.0,178.4,2.0,6.0,16.1,2.0,6.0,630.8,2.0,5.0,630.8
4.0,2.0,14.8,4.0,1.0,27.6,4.0,1.0,178.5,3.0,1.0,137.7,3.0,1.0,1461.0,3.0,1.0,611.5
4.0,3.0,41.2,4.0,3.0,38.9,4.0,2.0,114.2,3.0,2.0,99.9,3.0,2.0,1106.0,3.0,2.0,520.7
4.0,5.0,87.5,4.0,5.0,79.5,4.0,5.0,365.2,3.0,5.0,269.5,3.0,4.0,1156.0,3.0,4.0,461.3
4.0,6.0,17.2,4.0,6.0,22.0,4.0,6.0,142.4,3.0,6.0,103.2,3.0,6.0,1097.0,3.0,5.0,1242.0
5.0,2.0,312.0,5.0,1.0,451.2,5.0,1.0,1007.0,5.0,1.0,93.1,4.0,1.0,505.9,4.0,1.0,91.2
5.0,3.0,440.0,5.0,3.0,437.6,5.0,2.0,759.1,5.0,2.0,79.9,4.0,2.0,401.5,4.0,2.0,75.2
5.0,4.0,280.6,5.0,4.0,210.5,5.0,4.0,801.0,5.0,3.0,196.1,4.0,3.0,927.9,4.0,3.0,242.6
5.0,6.0,308.7,5.0,6.0,350.8,5.0,6.0,954.3,5.0,6.0,53.3,4.0,6.0,320.3,4.0,5.0,273.3
6.0,2.0,66.6,6.0,1.0,116.8,6.0,1.0,532.9,6.0,1.0,22.0,6.0,1.0,938.9,5.0,1.0,1031.0
6.0,3.0,151.5,6.0,3.0,155.0,6.0,2.0,401.8,6.0,2.0,16.7,6.0,2.0,794.1,5.0,2.0,1000.0
6.0,4.0,47.4,6.0,4.0,54.1,6.0,4.0,305.6,6.0,3.0,56.1,6.0,3.0,1269.0,5.0,3.0,1313.0
6.0,5.0,262.0,6.0,5.0,328.9,6.0,5.0,968.8,6.0,5.0,43.1,6.0,4.0,514.0,5.0,4.0,556.6
