1,高倉 和士,高倉 和士.1,2,大神 康司,大神 康司.1,3,守屋 大地,守屋 大地.1,4,津田 陸翔,津田 陸翔.1,5,山田 丈,山田 丈.1,6,上村 純一,上村 純一.1
2.0,3.0,16.5,1.0,3.0,183.3,1.0,2.0,185.0,1.0,2.0,75.3,1.0,2.0,113.8,1.0,2.0,209.8
2.0,4.0,10.7,1.0,4.0,130.9,1.0,4.0,183.3,1.0,3.0,126.5,1.0,3.0,184.0,1.0,3.0,487.9
2.0,5.0,10.7,1.0,5.0,137.6,1.0,5.0,171.9,1.0,5.0,48.7,1.0,4.0,109.2,1.0,4.0,337.8
2.0,6.0,15.6,1.0,6.0,154.8,1.0,6.0,238.1,1.0,6.0,59.2,1.0,6.0,93.3,1.0,5.0,243.7
3.0,2.0,26.3,3.0,1.0,390.5,2.0,1.0,322.8,2.0,1.0,183.5,2.0,1.0,242.8,2.0,1.0,391.1
3.0,4.0,24.8,3.0,4.0,967.5,2.0,4.0,603.4,2.0,3.0,498.7,2.0,3.0,768.7,2.0,3.0,1203.0
3.0,5.0,24.1,3.0,5.0,978.2,2.0,5.0,587.1,2.0,5.0,246.1,2.0,4.0,525.5,2.0,4.0,947.7
3.0,6.0,39.2,3.0,6.0,1106.0,2.0,6.0,751.9,2.0,6.0,261.7,2.0,6.0,391.2,2.0,5.0,712.7
4.0,2.0,14.7,4.0,1.0,310.3,4.0,1.0,205.9,3.0,1.0,209.9,3.0,1.0,347.5,3.0,1.0,895.2
4.0,3.0,27.2,4.0,3.0,909.0,4.0,2.0,388.0,3.0,2.0,372.1,3.0,2.0,791.5,3.0,2.0,1384.0
4.0,5.0,14.1,4.0,5.0,702.8,4.0,5.0,188.9,3.0,5.0,213.2,3.0,4.0,548.2,3.0,4.0,1152.0
4.0,6.0,20.4,4.0,6.0,618.1,4.0,6.0,229.1,3.0,6.0,232.6,3.0,6.0,515.3,3.0,5.0,1158.0
5.0,2.0,18.0,5.0,1.0,352.3,5.0,1.0,294.0,5.0,1.0,60.4,4.0,1.0,132.0,4.0,1.0,490.4
5.0,3.0,31.6,5.0,3.0,994.6,5.0,2.0,513.1,5.0,2.0,140.9,4.0,2.0,291.6,4.0,2.0,897.5
5.0,4.0,22.6,5.0,4.0,869.7,5.0,4.0,334.4,5.0,3.0,212.4,4.0,3.0,436.9,4.0,3.0,1057.0
5.0,6.0,23.8,5.0,6.0,622.0,5.0,6.0,358.4,5.0,6.0,68.4,4.0,6.0,145.2,4.0,5.0,521.6
6.0,2.0,38.6,6.0,1.0,383.4,6.0,1.0,546.2,6.0,1.0,113.4,6.0,1.0,167.5,5.0,1.0,384.1
6.0,3.0,73.6,6.0,3.0,1207.0,6.0,2.0,959.7,6.0,2.0,224.7,6.0,2.0,373.6,5.0,2.0,755.1
6.0,4.0,45.1,6.0,4.0,870.4,6.0,4.0,626.4,6.0,3.0,288.7,6.0,3.0,516.3,5.0,3.0,1186.0
6.0,5.0,42.8,6.0,5.0,674.0,6.0,5.0,603.7,6.0,5.0,120.1,6.0,4.0,248.8,5.0,4.0,536.8
