1,河野 真也,河野 真也.1,2,久富 政弘,久富 政弘.1,3,田頭 虎親,田頭 虎親.1,4,川尻 泰輔,川尻 泰輔.1,5,角浜 修,角浜 修.1,6,永田 啓二,永田 啓二.1
2.0,3.0,17.9,1.0,3.0,107.9,1.0,2.0,62.4,1.0,2.0,505.2,1.0,2.0,705.7,1.0,2.0,49.9
2.0,4.0,36.4,1.0,4.0,223.6,1.0,4.0,51.6,1.0,3.0,336.9,1.0,3.0,467.7,1.0,3.0,32.8
2.0,5.0,68.9,1.0,5.0,334.1,1.0,5.0,82.8,1.0,5.0,592.7,1.0,4.0,952.1,1.0,4.0,73.8
2.0,6.0,16.3,1.0,6.0,92.2,1.0,6.0,24.0,1.0,6.0,176.2,1.0,6.0,384.4,1.0,5.0,136.6
3.0,2.0,10.9,3.0,1.0,188.6,2.0,1.0,166.3,2.0,1.0,864.4,2.0,1.0,1314.0,2.0,1.0,130.4
3.0,4.0,12.1,3.0,4.0,529.0,2.0,4.0,412.7,2.0,3.0,1133.0,2.0,3.0,1826.0,2.0,3.0,173.7
3.0,5.0,27.6,3.0,5.0,763.1,2.0,5.0,550.7,2.0,5.0,1431.0,2.0,4.0,2374.0,2.0,4.0,310.5
3.0,6.0,6.8,3.0,6.0,214.8,2.0,6.0,175.4,2.0,6.0,683.0,2.0,6.0,1332.0,2.0,5.0,445.5
4.0,2.0,53.4,4.0,1.0,613.5,4.0,1.0,149.7,3.0,1.0,356.6,3.0,1.0,583.3,3.0,1.0,51.2
4.0,3.0,32.5,4.0,3.0,800.9,4.0,2.0,353.1,3.0,2.0,720.8,3.0,2.0,1373.0,3.0,2.0,125.2
4.0,5.0,107.3,4.0,5.0,1411.0,4.0,5.0,314.6,3.0,5.0,827.2,3.0,4.0,1396.0,3.0,4.0,116.1
4.0,6.0,25.6,4.0,6.0,622.9,4.0,6.0,123.1,3.0,6.0,323.2,3.0,6.0,802.5,3.0,5.0,244.9
5.0,2.0,135.1,5.0,1.0,1014.0,5.0,1.0,253.2,5.0,1.0,860.7,4.0,1.0,1426.0,4.0,1.0,187.6
5.0,3.0,84.1,5.0,3.0,1146.0,5.0,2.0,568.5,5.0,2.0,1529.0,4.0,2.0,2158.0,4.0,2.0,375.1
5.0,4.0,170.0,5.0,4.0,1473.0,5.0,4.0,432.6,5.0,3.0,1215.0,4.0,3.0,1589.0,4.0,3.0,242.3
5.0,6.0,74.2,5.0,6.0,977.4,5.0,6.0,227.1,5.0,6.0,773.3,4.0,6.0,1306.0,4.0,5.0,518.8
6.0,2.0,17.3,6.0,1.0,182.9,6.0,1.0,40.7,6.0,1.0,209.3,6.0,1.0,423.1,5.0,1.0,324.5
6.0,3.0,10.4,6.0,3.0,247.8,6.0,2.0,109.8,6.0,2.0,462.9,6.0,2.0,828.9,5.0,2.0,570.9
6.0,4.0,23.5,6.0,4.0,438.3,6.0,4.0,97.0,6.0,3.0,319.3,6.0,3.0,612.5,5.0,3.0,450.5
6.0,5.0,52.6,6.0,5.0,604.3,6.0,5.0,159.6,6.0,5.0,601.6,6.0,4.0,982.2,5.0,4.0,622.0
