1,岩永 雅人,岩永 雅人.1,2,塩田 北斗,塩田 北斗.1,3,齋藤 真之,齋藤 真之.1,4,小林 基樹,小林 基樹.1,5,森 智哉,森 智哉.1,6,平野 和明,平野 和明.1
2.0,3.0,7.8,1.0,3.0,10.8,1.0,2.0,136.9,1.0,2.0,309.4,1.0,2.0,205.6,1.0,2.0,147.8
2.0,4.0,11.9,1.0,4.0,15.0,1.0,4.0,295.3,1.0,3.0,686.9,1.0,3.0,624.8,1.0,3.0,573.0
2.0,5.0,14.0,1.0,5.0,13.7,1.0,5.0,289.1,1.0,5.0,679.6,1.0,4.0,705.2,1.0,4.0,1019.0
2.0,6.0,8.1,1.0,6.0,7.2,1.0,6.0,240.5,1.0,6.0,531.8,1.0,6.0,343.4,1.0,5.0,760.9
3.0,2.0,30.0,3.0,1.0,43.3,2.0,1.0,156.9,2.0,1.0,310.3,2.0,1.0,190.0,2.0,1.0,138.7
3.0,4.0,86.3,3.0,4.0,101.9,2.0,4.0,339.0,2.0,3.0,791.2,2.0,3.0,462.3,2.0,3.0,612.8
3.0,5.0,90.4,3.0,5.0,95.8,2.0,5.0,301.4,2.0,5.0,766.4,2.0,4.0,686.9,2.0,4.0,659.8
3.0,6.0,84.9,3.0,6.0,58.4,2.0,6.0,218.3,2.0,6.0,510.5,2.0,6.0,283.2,2.0,5.0,479.0
4.0,2.0,49.6,4.0,1.0,69.2,4.0,1.0,583.6,3.0,1.0,1056.0,3.0,1.0,1029.0,3.0,1.0,1347.0
4.0,3.0,140.2,4.0,3.0,170.2,4.0,2.0,484.1,3.0,2.0,1237.0,3.0,2.0,1026.0,3.0,2.0,1022.0
4.0,5.0,161.3,4.0,5.0,164.9,4.0,5.0,775.7,3.0,5.0,1472.0,3.0,4.0,1849.0,3.0,4.0,2865.0
4.0,6.0,103.3,4.0,6.0,79.7,4.0,6.0,852.7,3.0,6.0,1452.0,3.0,6.0,1500.0,3.0,5.0,2504.0
5.0,2.0,46.5,5.0,1.0,57.2,5.0,1.0,629.8,5.0,1.0,803.2,4.0,1.0,1081.0,4.0,1.0,1544.0
5.0,3.0,145.1,5.0,3.0,138.7,5.0,2.0,539.1,5.0,2.0,1019.0,4.0,2.0,1022.0,4.0,2.0,1228.0
5.0,4.0,225.4,5.0,4.0,210.6,5.0,4.0,1039.0,5.0,3.0,1407.0,4.0,3.0,1767.0,4.0,3.0,2918.0
5.0,6.0,113.4,5.0,6.0,67.9,5.0,6.0,737.9,5.0,6.0,1070.0,4.0,6.0,1298.0,4.0,5.0,2391.0
6.0,2.0,36.6,6.0,1.0,28.7,6.0,1.0,637.4,6.0,1.0,850.4,6.0,1.0,528.3,5.0,1.0,1053.0
6.0,3.0,136.5,6.0,3.0,91.7,6.0,2.0,444.2,6.0,2.0,721.2,6.0,2.0,446.7,5.0,2.0,766.4
6.0,4.0,136.3,6.0,4.0,92.7,6.0,4.0,1108.0,6.0,3.0,1691.0,6.0,3.0,1186.0,5.0,3.0,2524.0
6.0,5.0,146.0,6.0,5.0,74.5,6.0,5.0,1152.0,6.0,5.0,1465.0,6.0,4.0,1314.0,5.0,4.0,2524.0
