1,山口　真喜子,山口　真喜子.1,2,高橋 竜矢,高橋 竜矢.1,3,木村 亮太,木村 亮太.1,4,高野 哲史,高野 哲史.1,5,北村 寧々,北村 寧々.1,6,南 彩寧,南 彩寧.1
2.0,3.0,14.2,1.0,3.0,28.7,1.0,2.0,121.8,1.0,2.0,24.7,1.0,2.0,536.6,1.0,2.0,1934.0
2.0,4.0,7.0,1.0,4.0,11.6,1.0,4.0,106.7,1.0,3.0,62.1,1.0,3.0,833.4,1.0,3.0,3200.0
2.0,5.0,51.3,1.0,5.0,70.2,1.0,5.0,272.1,1.0,5.0,62.3,1.0,4.0,441.6,1.0,4.0,2066.0
2.0,6.0,270.5,1.0,6.0,365.7,1.0,6.0,927.4,1.0,6.0,333.3,1.0,6.0,1339.0,1.0,5.0,2140.0
3.0,2.0,31.8,3.0,1.0,47.1,2.0,1.0,112.7,2.0,1.0,20.7,2.0,1.0,671.0,2.0,1.0,2127.0
3.0,4.0,32.0,3.0,4.0,20.8,2.0,4.0,50.6,2.0,3.0,27.0,2.0,3.0,786.3,2.0,3.0,2870.0
3.0,5.0,105.1,3.0,5.0,73.8,2.0,5.0,156.1,2.0,5.0,37.9,2.0,4.0,307.8,2.0,4.0,1781.0
3.0,6.0,456.7,3.0,6.0,510.1,2.0,6.0,709.2,2.0,6.0,218.1,2.0,6.0,1636.0,2.0,5.0,4205.0
4.0,2.0,10.1,4.0,1.0,13.3,4.0,1.0,104.6,3.0,1.0,94.0,3.0,1.0,1126.0,3.0,1.0,3931.0
4.0,3.0,23.7,4.0,3.0,14.6,4.0,2.0,55.7,3.0,2.0,52.4,3.0,2.0,944.4,3.0,2.0,3511.0
4.0,5.0,50.0,4.0,5.0,31.4,4.0,5.0,154.3,3.0,5.0,142.0,3.0,4.0,618.3,3.0,4.0,2364.0
4.0,6.0,313.9,4.0,6.0,183.6,4.0,6.0,772.8,3.0,6.0,687.6,3.0,6.0,2127.0,3.0,5.0,3581.0
5.0,2.0,181.4,5.0,1.0,178.3,5.0,1.0,522.7,5.0,1.0,76.6,4.0,1.0,408.2,4.0,1.0,2494.0
5.0,3.0,270.9,5.0,3.0,193.1,5.0,2.0,441.1,5.0,2.0,62.7,4.0,2.0,267.9,4.0,2.0,1903.0
5.0,4.0,179.9,5.0,4.0,109.3,5.0,4.0,388.1,5.0,3.0,151.2,4.0,3.0,504.4,4.0,3.0,2640.0
5.0,6.0,642.4,5.0,6.0,662.4,5.0,6.0,1845.0,5.0,6.0,294.5,4.0,6.0,934.6,4.0,5.0,2443.0
6.0,2.0,857.1,6.0,1.0,1296.0,6.0,1.0,1913.0,6.0,1.0,779.5,6.0,1.0,2102.0,5.0,1.0,3172.0
6.0,3.0,823.9,6.0,3.0,1773.0,6.0,2.0,2127.0,6.0,2.0,636.8,6.0,2.0,2659.0,5.0,2.0,4521.0
6.0,4.0,929.8,6.0,4.0,929.8,6.0,4.0,2289.0,6.0,3.0,988.2,6.0,3.0,2621.0,5.0,3.0,3807.0
6.0,5.0,959.4,6.0,5.0,1614.0,6.0,5.0,2494.0,6.0,5.0,698.2,6.0,4.0,1722.0,5.0,4.0,2699.0
