1,黒柳 浩孝,黒柳 浩孝.1,2,嶋 義信,嶋 義信.1,3,村上 彰一,村上 彰一.1,4,宇野 弥生,宇野 弥生.1,5,南野 利騰,南野 利騰.1,6,羽田 妃希,羽田 妃希.1
2.0,3.0,12.8,1.0,3.0,35.2,1.0,2.0,154.2,1.0,2.0,21.4,1.0,2.0,136.6,1.0,2.0,2301.0
2.0,4.0,5.8,1.0,4.0,17.7,1.0,4.0,138.7,1.0,3.0,69.4,1.0,3.0,310.4,1.0,3.0,4548.0
2.0,5.0,11.7,1.0,5.0,26.2,1.0,5.0,178.5,1.0,5.0,27.2,1.0,4.0,146.3,1.0,4.0,3343.0
2.0,6.0,229.4,1.0,6.0,370.1,1.0,6.0,1051.0,1.0,6.0,203.6,1.0,6.0,963.5,1.0,5.0,3951.0
3.0,2.0,25.9,3.0,1.0,127.8,2.0,1.0,251.2,2.0,1.0,40.1,2.0,1.0,193.4,2.0,1.0,3032.0
3.0,4.0,24.2,3.0,4.0,176.6,2.0,4.0,305.8,2.0,3.0,143.5,2.0,3.0,518.1,2.0,3.0,4548.0
3.0,5.0,40.3,3.0,5.0,222.6,2.0,5.0,402.4,2.0,5.0,56.2,2.0,4.0,273.0,2.0,4.0,3372.0
3.0,6.0,370.1,3.0,6.0,1046.0,2.0,6.0,1596.0,2.0,6.0,395.9,2.0,6.0,1465.0,2.0,5.0,6744.0
4.0,2.0,7.8,4.0,1.0,39.8,4.0,1.0,203.7,3.0,1.0,174.5,3.0,1.0,742.3,3.0,1.0,5080.0
4.0,3.0,22.9,4.0,3.0,125.1,4.0,2.0,293.0,3.0,2.0,237.9,3.0,2.0,837.7,3.0,2.0,4496.0
4.0,5.0,14.1,4.0,5.0,64.7,4.0,5.0,294.3,3.0,5.0,222.7,3.0,4.0,740.9,3.0,4.0,4602.0
4.0,6.0,183.5,4.0,6.0,449.6,4.0,6.0,1282.0,3.0,6.0,875.1,3.0,6.0,2986.0,3.0,5.0,6744.0
5.0,2.0,29.0,5.0,1.0,107.0,5.0,1.0,482.9,5.0,1.0,41.6,4.0,1.0,160.9,4.0,1.0,3180.0
5.0,3.0,60.2,5.0,3.0,258.0,5.0,2.0,570.2,5.0,2.0,53.4,4.0,2.0,190.0,4.0,2.0,3656.0
5.0,4.0,33.5,5.0,4.0,137.3,5.0,4.0,516.1,5.0,3.0,139.7,4.0,3.0,481.1,4.0,3.0,2370.0
5.0,6.0,370.1,5.0,6.0,949.5,5.0,6.0,2370.0,5.0,6.0,197.2,4.0,6.0,827.0,4.0,5.0,4657.0
6.0,2.0,995.4,6.0,1.0,1498.0,6.0,1.0,2834.0,6.0,1.0,697.3,6.0,1.0,2248.0,5.0,1.0,5433.0
6.0,3.0,1286.0,6.0,3.0,2185.0,6.0,2.0,2301.0,6.0,2.0,844.9,6.0,2.0,3315.0,5.0,2.0,7983.0
6.0,4.0,987.9,6.0,4.0,1936.0,6.0,4.0,2814.0,6.0,3.0,1245.0,6.0,3.0,3798.0,5.0,3.0,7112.0
6.0,5.0,1200.0,6.0,5.0,2573.0,6.0,5.0,3951.0,6.0,5.0,771.6,6.0,4.0,2697.0,5.0,4.0,6209.0
