1,金田 諭,金田 諭.1,2,石塚 裕介,石塚 裕介.1,3,山崎 善庸,山崎 善庸.1,4,田川 大貴,田川 大貴.1,5,西丸　侑太朗,西丸　侑太朗.1,6,三嶌　こころ,三嶌　こころ.1
2.0,3.0,12.6,1.0,3.0,103.2,1.0,2.0,460.9,1.0,2.0,36.0,1.0,2.0,57.3,1.0,2.0,2412.0
2.0,4.0,5.5,1.0,4.0,39.7,1.0,4.0,473.2,1.0,3.0,129.0,1.0,3.0,167.7,1.0,3.0,2526.0
2.0,5.0,9.3,1.0,5.0,58.9,1.0,5.0,491.2,1.0,5.0,27.9,1.0,4.0,49.9,1.0,4.0,2381.0
2.0,6.0,132.4,1.0,6.0,338.6,1.0,6.0,1217.0,1.0,6.0,162.3,1.0,6.0,172.6,1.0,5.0,2265.0
3.0,2.0,34.8,3.0,1.0,344.2,2.0,1.0,727.3,2.0,1.0,73.1,2.0,1.0,115.7,2.0,1.0,3279.0
3.0,4.0,30.7,3.0,4.0,480.5,2.0,4.0,873.5,2.0,3.0,307.9,2.0,3.0,422.4,2.0,3.0,4020.0
3.0,5.0,41.6,3.0,5.0,667.6,2.0,5.0,1002.0,2.0,5.0,95.4,2.0,4.0,142.3,2.0,4.0,2967.0
3.0,6.0,279.4,3.0,6.0,1832.0,2.0,6.0,1654.0,2.0,6.0,393.5,2.0,6.0,409.0,2.0,5.0,1823.0
4.0,2.0,8.0,4.0,1.0,91.6,4.0,1.0,804.0,3.0,1.0,512.1,3.0,1.0,607.9,3.0,1.0,2689.0
4.0,3.0,23.3,4.0,3.0,401.5,4.0,2.0,996.9,3.0,2.0,595.3,3.0,2.0,859.4,3.0,2.0,4559.0
4.0,5.0,9.9,4.0,5.0,160.2,4.0,5.0,911.8,3.0,5.0,477.4,3.0,4.0,615.9,3.0,4.0,3461.0
4.0,6.0,107.3,4.0,6.0,589.6,4.0,6.0,2088.0,3.0,6.0,1307.0,3.0,6.0,859.4,3.0,5.0,1841.0
5.0,2.0,16.4,5.0,1.0,152.3,5.0,1.0,1002.0,5.0,1.0,31.3,4.0,1.0,59.8,4.0,1.0,2769.0
5.0,3.0,42.4,5.0,3.0,594.3,5.0,2.0,1302.0,5.0,2.0,53.9,4.0,2.0,87.1,4.0,2.0,3039.0
5.0,4.0,17.1,5.0,4.0,226.9,5.0,4.0,1116.0,5.0,3.0,173.5,4.0,3.0,258.5,4.0,3.0,4063.0
5.0,6.0,105.1,5.0,6.0,583.2,5.0,6.0,1096.0,5.0,6.0,127.1,4.0,6.0,205.8,4.0,5.0,1632.0
6.0,2.0,483.6,6.0,1.0,1400.0,6.0,1.0,2459.0,6.0,1.0,631.5,6.0,1.0,472.6,5.0,1.0,2293.0
6.0,3.0,684.7,6.0,3.0,2492.0,6.0,2.0,3222.0,6.0,2.0,783.7,6.0,2.0,557.1,5.0,2.0,1897.0
6.0,4.0,510.7,6.0,4.0,1755.0,6.0,4.0,2967.0,6.0,3.0,1044.0,6.0,3.0,332.0,5.0,3.0,1471.0
6.0,5.0,405.4,6.0,5.0,1379.0,6.0,5.0,1460.0,6.0,5.0,455.3,6.0,4.0,489.3,5.0,4.0,1389.0
