1,竹田 吉行,竹田 吉行.1,2,坂井 滉哉,坂井 滉哉.1,3,平田 忠則,平田 忠則.1,4,樋口　由加里,樋口　由加里.1,5,山崎 哲司,山崎 哲司.1,6,岩永 雅人,岩永 雅人.1
2.0,3.0,16.3,1.0,3.0,60.3,1.0,2.0,30.6,1.0,2.0,511.6,1.0,2.0,96.5,1.0,2.0,901.2
2.0,4.0,44.9,1.0,4.0,145.6,1.0,4.0,28.0,1.0,3.0,297.4,1.0,3.0,45.8,1.0,3.0,575.8
2.0,5.0,28.8,1.0,5.0,86.9,1.0,5.0,15.5,1.0,5.0,396.7,1.0,4.0,192.9,1.0,4.0,1262.0
2.0,6.0,63.2,1.0,6.0,158.9,1.0,6.0,34.6,1.0,6.0,543.3,1.0,6.0,82.4,1.0,5.0,607.1
3.0,2.0,10.0,3.0,1.0,111.9,2.0,1.0,93.5,2.0,1.0,926.7,2.0,1.0,264.4,2.0,1.0,1483.0
3.0,4.0,12.1,3.0,4.0,228.9,2.0,4.0,181.0,2.0,3.0,919.7,2.0,3.0,301.3,2.0,3.0,1610.0
3.0,5.0,6.6,3.0,5.0,146.9,2.0,5.0,110.2,2.0,5.0,1169.0,2.0,4.0,719.1,2.0,4.0,2361.0
3.0,6.0,18.2,3.0,6.0,246.2,2.0,6.0,185.8,2.0,6.0,1177.0,2.0,6.0,332.3,2.0,5.0,1440.0
4.0,2.0,64.1,4.0,1.0,478.7,4.0,1.0,96.5,3.0,1.0,323.3,3.0,1.0,72.0,3.0,1.0,722.3
4.0,3.0,38.6,4.0,3.0,493.1,4.0,2.0,198.0,3.0,2.0,669.1,3.0,2.0,211.4,3.0,2.0,1653.0
4.0,5.0,57.3,4.0,5.0,617.0,4.0,5.0,97.9,3.0,5.0,358.5,3.0,4.0,247.8,3.0,4.0,1735.0
4.0,6.0,91.0,4.0,6.0,730.9,4.0,6.0,153.9,3.0,6.0,610.9,3.0,6.0,108.6,3.0,5.0,642.0
5.0,2.0,30.4,5.0,1.0,243.2,5.0,1.0,43.4,5.0,1.0,517.5,4.0,1.0,484.8,4.0,1.0,2144.0
5.0,3.0,13.8,5.0,3.0,247.5,5.0,2.0,107.7,5.0,2.0,867.7,4.0,2.0,1000.0,4.0,2.0,2822.0
5.0,4.0,58.2,5.0,4.0,535.0,5.0,4.0,98.0,5.0,3.0,444.0,4.0,3.0,439.3,4.0,3.0,2090.0
5.0,6.0,36.4,5.0,6.0,360.8,5.0,6.0,65.2,5.0,6.0,590.3,4.0,6.0,502.7,4.0,5.0,2072.0
6.0,2.0,146.3,6.0,1.0,699.6,6.0,1.0,168.3,6.0,1.0,935.5,6.0,1.0,199.9,5.0,1.0,669.1
6.0,3.0,73.0,6.0,3.0,699.6,6.0,2.0,364.6,6.0,2.0,1224.0,6.0,2.0,356.6,5.0,2.0,1177.0
6.0,4.0,191.6,6.0,4.0,1411.0,6.0,4.0,367.3,6.0,3.0,1121.0,6.0,3.0,202.3,5.0,3.0,613.9
6.0,5.0,103.4,6.0,5.0,748.7,6.0,5.0,144.9,6.0,5.0,1049.0,6.0,4.0,511.1,5.0,4.0,1564.0
