1,岡瀬 正人,岡瀬 正人.1,2,山口 修路,山口 修路.1,3,大神 康司,大神 康司.1,4,津田 陸翔,津田 陸翔.1,5,桂林 寛,桂林 寛.1,6,真庭 明志,真庭 明志.1
2.0,3.0,22.5,1.0,3.0,194.9,1.0,2.0,85.7,1.0,2.0,49.4,1.0,2.0,229.0,1.0,2.0,547.0
2.0,4.0,26.8,1.0,4.0,191.1,1.0,4.0,50.4,1.0,3.0,40.9,1.0,3.0,223.8,1.0,3.0,372.3
2.0,5.0,67.3,1.0,5.0,495.8,1.0,5.0,87.1,1.0,5.0,25.1,1.0,4.0,114.3,1.0,4.0,276.9
2.0,6.0,57.8,1.0,6.0,345.9,1.0,6.0,74.3,1.0,6.0,24.2,1.0,6.0,138.8,1.0,5.0,498.9
3.0,2.0,16.0,3.0,1.0,345.0,2.0,1.0,255.4,2.0,1.0,119.5,2.0,1.0,639.4,2.0,1.0,1149.0
3.0,4.0,10.3,3.0,4.0,693.1,2.0,4.0,404.3,2.0,3.0,243.6,2.0,3.0,937.7,2.0,3.0,1499.0
3.0,5.0,22.7,3.0,5.0,926.8,2.0,5.0,694.8,2.0,5.0,130.2,2.0,4.0,640.1,2.0,4.0,1126.0
3.0,6.0,20.8,3.0,6.0,1074.0,2.0,6.0,519.2,2.0,6.0,127.5,2.0,6.0,695.7,2.0,5.0,1797.0
4.0,2.0,21.7,4.0,1.0,374.3,4.0,1.0,80.9,3.0,1.0,71.3,3.0,1.0,395.1,3.0,1.0,503.3
4.0,3.0,15.2,4.0,3.0,706.2,4.0,2.0,218.6,3.0,2.0,160.6,3.0,2.0,1042.0,3.0,2.0,1289.0
4.0,5.0,24.5,4.0,5.0,799.9,4.0,5.0,156.6,3.0,5.0,119.1,3.0,4.0,541.2,3.0,4.0,647.5
4.0,6.0,23.1,4.0,6.0,751.7,4.0,6.0,117.8,3.0,6.0,92.0,3.0,6.0,625.1,3.0,5.0,1021.0
5.0,2.0,98.4,5.0,1.0,965.1,5.0,1.0,225.6,5.0,1.0,24.3,4.0,1.0,87.8,4.0,1.0,230.9
5.0,3.0,66.7,5.0,3.0,1260.0,5.0,2.0,564.7,5.0,2.0,60.7,4.0,2.0,199.1,4.0,2.0,550.8
5.0,4.0,57.7,5.0,4.0,1188.0,5.0,4.0,322.8,5.0,3.0,67.5,4.0,3.0,228.8,4.0,3.0,452.2
5.0,6.0,79.9,5.0,6.0,1354.0,5.0,6.0,302.7,5.0,6.0,23.2,4.0,6.0,89.0,4.0,5.0,270.9
6.0,2.0,114.3,6.0,1.0,1070.0,6.0,1.0,210.1,6.0,1.0,33.6,6.0,1.0,239.5,5.0,1.0,542.8
6.0,3.0,80.2,6.0,3.0,1566.0,6.0,2.0,505.2,6.0,2.0,74.4,6.0,2.0,486.3,5.0,2.0,1237.0
6.0,4.0,65.6,6.0,4.0,1301.0,6.0,4.0,276.5,6.0,3.0,75.2,6.0,3.0,495.8,5.0,3.0,997.8
6.0,5.0,112.2,6.0,5.0,1654.0,6.0,5.0,371.1,6.0,5.0,33.7,6.0,4.0,186.1,5.0,4.0,353.1
