1,本村 大,本村 大.1,2,田中　太一郎,田中　太一郎.1,3,前野 竜一,前野 竜一.1,4,池田 紫乃,池田 紫乃.1,5,松尾 基成,松尾 基成.1,6,渡辺 浩司,渡辺 浩司.1
2.0,3.0,12.2,1.0,3.0,30.7,1.0,2.0,85.0,1.0,2.0,104.3,1.0,2.0,810.4,1.0,2.0,58.7
2.0,4.0,18.7,1.0,4.0,35.9,1.0,4.0,109.1,1.0,3.0,189.3,1.0,3.0,664.1,1.0,3.0,59.7
2.0,5.0,57.6,1.0,5.0,105.6,1.0,5.0,175.8,1.0,5.0,215.1,1.0,4.0,919.5,1.0,4.0,105.4
2.0,6.0,10.9,1.0,6.0,21.9,1.0,6.0,46.1,1.0,6.0,85.5,1.0,6.0,576.1,1.0,5.0,233.5
3.0,2.0,16.3,3.0,1.0,65.6,2.0,1.0,107.9,2.0,1.0,133.1,2.0,1.0,807.0,2.0,1.0,80.8
3.0,4.0,33.2,3.0,4.0,146.1,2.0,4.0,197.3,2.0,3.0,303.6,2.0,3.0,1188.0,2.0,3.0,104.1
3.0,5.0,72.5,3.0,5.0,250.6,2.0,5.0,269.3,2.0,5.0,374.3,2.0,4.0,1173.0,2.0,4.0,151.5
3.0,6.0,14.7,3.0,6.0,49.8,2.0,6.0,84.3,2.0,6.0,110.9,2.0,6.0,831.6,2.0,5.0,365.7
4.0,2.0,35.8,4.0,1.0,81.6,4.0,1.0,221.1,3.0,1.0,313.5,3.0,1.0,877.3,3.0,1.0,73.3
4.0,3.0,57.5,4.0,3.0,176.6,4.0,2.0,276.8,3.0,2.0,410.4,3.0,2.0,1310.0,3.0,2.0,119.9
4.0,5.0,94.8,4.0,5.0,315.1,4.0,5.0,459.7,3.0,5.0,700.6,3.0,4.0,1555.0,3.0,4.0,136.1
4.0,6.0,32.5,4.0,6.0,85.6,4.0,6.0,153.6,3.0,6.0,203.0,3.0,6.0,727.2,3.0,5.0,311.0
5.0,2.0,153.0,5.0,1.0,405.2,5.0,1.0,440.7,5.0,1.0,333.8,4.0,1.0,885.5,4.0,1.0,158.8
5.0,3.0,168.9,5.0,3.0,557.6,5.0,2.0,565.8,5.0,2.0,458.6,4.0,2.0,1028.0,4.0,2.0,179.4
5.0,4.0,193.9,5.0,4.0,607.2,5.0,4.0,599.5,5.0,3.0,644.0,4.0,3.0,1250.0,4.0,3.0,200.0
5.0,6.0,135.4,5.0,6.0,362.2,5.0,6.0,318.7,5.0,6.0,207.0,4.0,6.0,502.0,4.0,5.0,344.0
6.0,2.0,20.8,6.0,1.0,51.8,6.0,1.0,65.8,6.0,1.0,92.7,6.0,1.0,641.8,5.0,1.0,494.2
6.0,3.0,22.5,6.0,3.0,54.8,6.0,2.0,86.5,6.0,2.0,107.4,6.0,2.0,817.4,5.0,2.0,671.1
6.0,4.0,37.5,6.0,4.0,83.7,6.0,4.0,128.3,6.0,3.0,146.1,6.0,3.0,650.5,5.0,3.0,494.2
6.0,5.0,83.3,6.0,5.0,194.7,6.0,5.0,205.8,6.0,5.0,161.5,6.0,4.0,562.5,5.0,4.0,440.7
