1,栗山 繁洋,栗山 繁洋.1,2,西村 秀樹,西村 秀樹.1,3,永田 義紘,永田 義紘.1,4,山下 流心,山下 流心.1,5,山口 広樹,山口 広樹.1,6,佐野 優都,佐野 優都.1
2.0,3.0,13.0,1.0,3.0,30.5,1.0,2.0,62.4,1.0,2.0,85.9,1.0,2.0,134.4,1.0,2.0,223.0
2.0,4.0,16.2,1.0,4.0,31.0,1.0,4.0,39.7,1.0,3.0,77.8,1.0,3.0,111.9,1.0,3.0,318.8
2.0,5.0,24.9,1.0,5.0,36.0,1.0,5.0,38.8,1.0,5.0,62.1,1.0,4.0,99.3,1.0,4.0,310.4
2.0,6.0,56.6,1.0,6.0,90.9,1.0,6.0,152.3,1.0,6.0,181.1,1.0,6.0,182.5,1.0,5.0,435.0
3.0,2.0,15.5,3.0,1.0,66.6,2.0,1.0,99.5,2.0,1.0,151.3,2.0,1.0,181.6,2.0,1.0,296.7
3.0,4.0,12.4,3.0,4.0,113.6,2.0,4.0,131.4,2.0,3.0,229.1,2.0,3.0,280.2,2.0,3.0,494.5
3.0,5.0,18.1,3.0,5.0,122.4,2.0,5.0,138.1,2.0,5.0,175.9,2.0,4.0,218.1,2.0,4.0,418.2
3.0,6.0,71.2,3.0,6.0,267.9,2.0,6.0,327.7,2.0,6.0,348.8,2.0,6.0,273.6,2.0,5.0,592.2
4.0,2.0,26.0,4.0,1.0,83.7,4.0,1.0,58.2,3.0,1.0,108.9,3.0,1.0,142.6,3.0,1.0,514.4
4.0,3.0,19.1,4.0,3.0,141.3,4.0,2.0,107.7,3.0,2.0,206.9,3.0,2.0,271.5,3.0,2.0,540.0
4.0,5.0,25.5,4.0,5.0,147.9,4.0,5.0,58.5,3.0,5.0,95.9,3.0,4.0,161.2,3.0,4.0,580.0
4.0,6.0,78.9,4.0,6.0,305.0,4.0,6.0,241.3,3.0,6.0,346.3,3.0,6.0,349.7,3.0,5.0,620.9
5.0,2.0,43.5,5.0,1.0,136.3,5.0,1.0,78.3,5.0,1.0,75.8,4.0,1.0,126.3,4.0,1.0,474.5
5.0,3.0,35.7,5.0,3.0,220.9,5.0,2.0,137.3,5.0,2.0,117.4,4.0,2.0,220.9,4.0,2.0,516.3
5.0,4.0,39.5,5.0,4.0,202.2,5.0,4.0,77.4,5.0,3.0,96.4,4.0,3.0,172.1,4.0,3.0,730.3
5.0,6.0,116.3,5.0,6.0,345.4,5.0,6.0,311.1,5.0,6.0,171.6,4.0,6.0,207.2,4.0,5.0,634.9
6.0,2.0,137.1,6.0,1.0,293.6,6.0,1.0,451.7,6.0,1.0,460.6,6.0,1.0,481.0,5.0,1.0,737.9
6.0,3.0,174.8,6.0,3.0,505.2,6.0,2.0,514.4,6.0,2.0,599.7,6.0,2.0,518.2,5.0,2.0,715.4
6.0,4.0,157.3,6.0,4.0,531.8,6.0,4.0,501.6,6.0,3.0,557.1,6.0,3.0,514.4,5.0,3.0,677.6
6.0,5.0,220.5,6.0,5.0,533.9,6.0,5.0,540.0,6.0,5.0,435.0,6.0,4.0,436.3,5.0,4.0,575.3
