1,菅 章哉,菅 章哉.1,2,山崎 哲司,山崎 哲司.1,3,桑原 将光,桑原 将光.1,4,守屋 美穂,守屋 美穂.1,5,松本 博昭,松本 博昭.1,6,平田 忠則,平田 忠則.1
2.0,3.0,8.1,1.0,3.0,51.6,1.0,2.0,133.9,1.0,2.0,70.9,1.0,2.0,403.7,1.0,2.0,104.0
2.0,4.0,7.1,1.0,4.0,43.0,1.0,4.0,113.4,1.0,3.0,114.1,1.0,3.0,498.5,1.0,3.0,148.7
2.0,5.0,25.0,1.0,5.0,101.6,1.0,5.0,222.0,1.0,5.0,129.9,1.0,4.0,478.2,1.0,4.0,121.0
2.0,6.0,13.2,1.0,6.0,66.0,1.0,6.0,179.6,1.0,6.0,90.2,1.0,6.0,478.5,1.0,5.0,266.2
3.0,2.0,13.0,3.0,1.0,170.6,2.0,1.0,292.3,2.0,1.0,176.7,2.0,1.0,839.5,2.0,1.0,149.0
3.0,4.0,11.8,3.0,4.0,200.5,2.0,4.0,359.6,2.0,3.0,399.9,2.0,3.0,1130.0,2.0,3.0,302.8
3.0,5.0,33.7,3.0,5.0,403.4,2.0,5.0,578.4,2.0,5.0,504.7,2.0,4.0,1239.0,2.0,4.0,257.8
3.0,6.0,27.7,3.0,6.0,281.5,2.0,6.0,458.5,2.0,6.0,317.3,2.0,6.0,1291.0,2.0,5.0,538.4
4.0,2.0,10.4,4.0,1.0,136.3,4.0,1.0,252.5,3.0,1.0,311.2,3.0,1.0,999.3,3.0,1.0,334.8
4.0,3.0,14.9,4.0,3.0,254.2,4.0,2.0,423.8,3.0,2.0,511.5,3.0,2.0,1385.0,3.0,2.0,485.0
4.0,5.0,32.1,4.0,5.0,417.3,4.0,5.0,557.9,3.0,5.0,708.6,3.0,4.0,1406.0,3.0,4.0,450.5
4.0,6.0,18.4,4.0,6.0,277.7,4.0,6.0,464.1,3.0,6.0,530.9,3.0,6.0,1342.0,3.0,5.0,779.6
5.0,2.0,64.1,5.0,1.0,529.6,5.0,1.0,576.4,5.0,1.0,234.6,4.0,1.0,631.0,4.0,1.0,232.8
5.0,3.0,78.5,5.0,3.0,860.7,5.0,2.0,799.9,5.0,2.0,435.3,4.0,2.0,1099.0,4.0,2.0,405.2
5.0,4.0,82.5,5.0,4.0,878.3,5.0,4.0,926.2,5.0,3.0,560.4,4.0,3.0,1356.0,4.0,3.0,530.9
5.0,6.0,90.7,5.0,6.0,861.9,5.0,6.0,877.1,5.0,6.0,286.0,4.0,6.0,857.3,4.0,5.0,576.9
6.0,2.0,39.6,6.0,1.0,287.6,6.0,1.0,505.9,6.0,1.0,179.1,6.0,1.0,861.9,5.0,1.0,654.7
6.0,3.0,62.9,6.0,3.0,469.8,6.0,2.0,813.0,6.0,2.0,305.8,6.0,2.0,1388.0,5.0,2.0,886.7
6.0,4.0,41.4,6.0,4.0,399.9,6.0,4.0,765.8,6.0,3.0,479.6,6.0,3.0,1544.0,5.0,3.0,1011.0
6.0,5.0,109.4,6.0,5.0,764.9,6.0,5.0,1118.0,6.0,5.0,382.9,6.0,4.0,1088.0,5.0,4.0,771.3
