1,宇野 弥生,宇野 弥生.1,2,福山　恵里奈,福山　恵里奈.1,3,小池 礼乃,小池 礼乃.1,4,藤田 美代,藤田 美代.1,5,實森 美祐,實森 美祐.1,6,川原 愛未,川原 愛未.1
2.0,3.0,10.4,1.0,3.0,161.4,1.0,2.0,53.4,1.0,2.0,397.0,1.0,2.0,139.5,1.0,2.0,1267.0
2.0,4.0,24.0,1.0,4.0,354.8,1.0,4.0,48.2,1.0,3.0,253.4,1.0,3.0,71.9,1.0,3.0,758.0
2.0,5.0,17.9,1.0,5.0,231.3,1.0,5.0,29.6,1.0,5.0,211.1,1.0,4.0,145.2,1.0,4.0,1237.0
2.0,6.0,63.2,1.0,6.0,612.2,1.0,6.0,90.6,1.0,6.0,545.7,1.0,6.0,227.5,1.0,5.0,1114.0
3.0,2.0,7.7,3.0,1.0,236.9,2.0,1.0,144.9,2.0,1.0,689.1,2.0,1.0,365.1,2.0,1.0,1930.0
3.0,4.0,8.0,3.0,4.0,756.7,2.0,4.0,359.4,2.0,3.0,1029.0,2.0,3.0,584.7,2.0,3.0,2638.0
3.0,5.0,5.5,3.0,5.0,597.3,2.0,5.0,228.7,2.0,5.0,1019.0,2.0,4.0,748.5,2.0,4.0,2875.0
3.0,6.0,25.8,3.0,6.0,1181.0,2.0,6.0,555.1,2.0,6.0,1641.0,2.0,6.0,1177.0,2.0,5.0,3134.0
4.0,2.0,37.8,4.0,1.0,696.0,4.0,1.0,126.8,3.0,1.0,360.3,3.0,1.0,109.0,3.0,1.0,889.0
4.0,3.0,21.0,4.0,3.0,990.3,4.0,2.0,324.7,3.0,2.0,875.9,3.0,2.0,355.4,3.0,2.0,2329.0
4.0,5.0,24.5,4.0,5.0,1205.0,4.0,5.0,145.3,3.0,5.0,538.6,3.0,4.0,347.7,3.0,4.0,2171.0
4.0,6.0,72.1,4.0,6.0,2024.0,4.0,6.0,305.6,3.0,6.0,1021.0,3.0,6.0,456.6,3.0,5.0,1694.0
5.0,2.0,24.2,5.0,1.0,443.0,5.0,1.0,60.8,5.0,1.0,272.1,4.0,1.0,307.9,4.0,1.0,1957.0
5.0,3.0,11.1,5.0,3.0,696.0,5.0,2.0,186.3,5.0,2.0,837.2,4.0,2.0,798.7,4.0,2.0,3283.0
5.0,4.0,24.7,5.0,4.0,1133.0,5.0,4.0,144.8,5.0,3.0,537.3,4.0,3.0,478.1,4.0,3.0,2743.0
5.0,6.0,52.0,5.0,6.0,1715.0,5.0,6.0,213.6,5.0,6.0,767.8,4.0,6.0,854.4,4.0,5.0,2526.0
6.0,2.0,232.9,6.0,1.0,1781.0,6.0,1.0,331.4,6.0,1.0,1094.0,6.0,1.0,575.8,5.0,1.0,1358.0
6.0,3.0,121.1,6.0,3.0,2182.0,6.0,2.0,857.9,6.0,2.0,1957.0,6.0,2.0,1164.0,5.0,2.0,3065.0
6.0,4.0,229.5,6.0,4.0,2761.0,6.0,4.0,684.6,6.0,3.0,1573.0,6.0,3.0,837.2,5.0,3.0,2014.0
6.0,5.0,162.9,6.0,5.0,2589.0,6.0,5.0,515.3,6.0,5.0,1319.0,6.0,4.0,1282.0,5.0,4.0,3088.0
