1,久富 政弘,久富 政弘.1,2,今坂 晃広,今坂 晃広.1,3,菊池 峰晴,菊池 峰晴.1,4,今出 晋二,今出 晋二.1,5,田中 堅,田中 堅.1,6,佐藤　隆太郎,佐藤　隆太郎.1
2.0,3.0,28.0,1.0,3.0,54.3,1.0,2.0,79.3,1.0,2.0,434.8,1.0,2.0,368.2,1.0,2.0,31.4
2.0,4.0,89.8,1.0,4.0,146.4,1.0,4.0,134.1,1.0,3.0,380.6,1.0,3.0,286.9,1.0,3.0,19.3
2.0,5.0,81.7,1.0,5.0,125.9,1.0,5.0,79.1,1.0,5.0,373.1,1.0,4.0,543.5,1.0,4.0,58.3
2.0,6.0,24.4,1.0,6.0,41.2,1.0,6.0,28.6,1.0,6.0,195.9,1.0,6.0,120.7,1.0,5.0,46.6
3.0,2.0,25.5,3.0,1.0,128.3,2.0,1.0,143.1,2.0,1.0,668.9,2.0,1.0,628.1,2.0,1.0,49.8
3.0,4.0,57.6,3.0,4.0,305.5,2.0,4.0,215.3,2.0,3.0,681.0,2.0,3.0,571.0,2.0,3.0,50.9
3.0,5.0,45.8,3.0,5.0,248.4,2.0,5.0,202.6,2.0,5.0,702.2,2.0,4.0,958.1,2.0,4.0,123.6
3.0,6.0,12.3,3.0,6.0,87.7,2.0,6.0,81.5,2.0,6.0,399.5,2.0,6.0,317.5,2.0,5.0,106.8
4.0,2.0,145.6,4.0,1.0,405.2,4.0,1.0,266.6,3.0,1.0,565.3,3.0,1.0,374.3,3.0,1.0,24.3
4.0,3.0,94.1,4.0,3.0,459.5,4.0,2.0,323.0,3.0,2.0,837.4,3.0,2.0,607.8,3.0,2.0,44.5
4.0,5.0,182.3,4.0,5.0,556.9,4.0,5.0,246.8,3.0,5.0,540.9,3.0,4.0,635.1,3.0,4.0,79.6
4.0,6.0,75.2,4.0,6.0,271.1,4.0,6.0,131.6,3.0,6.0,279.8,3.0,6.0,202.2,3.0,5.0,51.8
5.0,2.0,144.5,5.0,1.0,325.8,5.0,1.0,179.1,5.0,1.0,375.6,4.0,1.0,607.8,4.0,1.0,122.6
5.0,3.0,98.8,5.0,3.0,409.6,5.0,2.0,269.8,5.0,2.0,379.3,4.0,2.0,621.2,4.0,2.0,182.6
5.0,4.0,284.7,5.0,4.0,724.7,5.0,4.0,308.0,5.0,3.0,378.1,4.0,3.0,631.6,4.0,3.0,132.0
5.0,6.0,62.7,5.0,6.0,227.4,5.0,6.0,97.4,5.0,6.0,136.2,4.0,6.0,177.7,4.0,5.0,137.2
6.0,2.0,23.9,6.0,1.0,71.2,6.0,1.0,30.7,6.0,1.0,168.4,6.0,1.0,104.4,5.0,1.0,71.1
6.0,3.0,14.1,6.0,3.0,86.5,6.0,2.0,61.3,6.0,2.0,264.7,6.0,2.0,204.4,5.0,2.0,123.2
6.0,4.0,45.1,6.0,4.0,219.5,6.0,4.0,92.3,6.0,3.0,203.7,6.0,3.0,146.6,5.0,3.0,87.1
6.0,5.0,36.4,6.0,5.0,162.4,6.0,5.0,55.7,6.0,5.0,128.0,6.0,4.0,169.2,5.0,4.0,129.2
