1,安東 幸治,安東 幸治.1,2,藤丸 光一,藤丸 光一.1,3,岡瀬 正人,岡瀬 正人.1,4,上村 純一,上村 純一.1,5,岩津 徹郎,岩津 徹郎.1,6,大串 重幸,大串 重幸.1
2.0,3.0,14.0,1.0,3.0,57.3,1.0,2.0,84.2,1.0,2.0,41.3,1.0,2.0,424.5,1.0,2.0,761.5
2.0,4.0,12.6,1.0,4.0,48.5,1.0,4.0,40.1,1.0,3.0,29.3,1.0,3.0,388.8,1.0,3.0,864.5
2.0,5.0,44.6,1.0,5.0,136.4,1.0,5.0,89.1,1.0,5.0,38.7,1.0,4.0,301.2,1.0,4.0,536.1
2.0,6.0,58.8,1.0,6.0,145.6,1.0,6.0,150.1,1.0,6.0,55.2,1.0,6.0,470.1,1.0,5.0,1097.0
3.0,2.0,14.6,3.0,1.0,155.4,2.0,1.0,172.2,2.0,1.0,92.7,2.0,1.0,767.7,2.0,1.0,1089.0
3.0,4.0,8.2,3.0,4.0,159.3,2.0,4.0,153.5,2.0,3.0,111.3,2.0,3.0,903.3,2.0,3.0,1382.0
3.0,5.0,28.7,3.0,5.0,325.9,2.0,5.0,289.4,2.0,5.0,125.5,2.0,4.0,768.6,2.0,4.0,984.9
3.0,6.0,45.3,3.0,6.0,433.9,2.0,6.0,396.2,2.0,6.0,171.2,2.0,6.0,824.8,2.0,5.0,1379.0
4.0,2.0,11.9,4.0,1.0,107.7,4.0,1.0,62.4,3.0,1.0,51.6,3.0,1.0,649.9,3.0,1.0,1093.0
4.0,3.0,9.3,4.0,3.0,152.3,4.0,2.0,127.4,3.0,2.0,100.3,3.0,2.0,993.7,3.0,2.0,1426.0
4.0,5.0,21.6,4.0,5.0,243.1,4.0,5.0,111.0,3.0,5.0,75.7,3.0,4.0,637.4,3.0,4.0,764.1
4.0,6.0,31.4,4.0,6.0,248.9,4.0,6.0,166.0,3.0,6.0,111.3,3.0,6.0,1015.0,3.0,5.0,1414.0
5.0,2.0,93.3,5.0,1.0,422.1,5.0,1.0,254.3,5.0,1.0,58.4,4.0,1.0,265.1,4.0,1.0,545.8
5.0,3.0,79.7,5.0,3.0,578.1,5.0,2.0,455.0,5.0,2.0,111.8,4.0,2.0,425.0,4.0,2.0,794.3
5.0,4.0,71.8,5.0,4.0,492.8,5.0,4.0,252.7,5.0,3.0,90.0,4.0,3.0,388.5,4.0,3.0,670.2
5.0,6.0,111.2,5.0,6.0,588.8,5.0,6.0,499.5,5.0,6.0,66.1,4.0,6.0,322.7,4.0,5.0,919.5
6.0,2.0,182.7,6.0,1.0,620.7,6.0,1.0,508.6,6.0,1.0,118.3,6.0,1.0,943.0,5.0,1.0,1417.0
6.0,3.0,183.0,6.0,3.0,884.1,6.0,2.0,857.8,6.0,2.0,222.8,6.0,2.0,1132.0,5.0,2.0,1535.0
6.0,4.0,143.8,6.0,4.0,626.6,6.0,4.0,433.4,6.0,3.0,186.0,6.0,3.0,1172.0,5.0,3.0,1557.0
6.0,5.0,207.3,6.0,5.0,970.5,6.0,5.0,784.0,6.0,5.0,141.8,6.0,4.0,806.8,5.0,4.0,1204.0
