1,渡 修平,渡 修平.1,2,竹田 吉行,竹田 吉行.1,3,柳生 泰二,柳生 泰二.1,4,奥平 拓也,奥平 拓也.1,5,伊藤 将吉,伊藤 将吉.1,6,田添 康介,田添 康介.1
2.0,3.0,25.0,1.0,3.0,32.0,1.0,2.0,29.8,1.0,2.0,427.0,1.0,2.0,78.1,1.0,2.0,599.2
2.0,4.0,73.2,1.0,4.0,77.1,1.0,4.0,55.2,1.0,3.0,558.6,1.0,3.0,56.8,1.0,3.0,790.4
2.0,5.0,37.0,1.0,5.0,44.3,1.0,5.0,16.7,1.0,5.0,442.2,1.0,4.0,188.5,1.0,4.0,1238.0
2.0,6.0,139.6,1.0,6.0,181.2,1.0,6.0,73.5,1.0,6.0,657.5,1.0,6.0,116.4,1.0,5.0,694.4
3.0,2.0,19.9,3.0,1.0,39.7,2.0,1.0,39.1,2.0,1.0,464.3,2.0,1.0,85.4,2.0,1.0,750.5
3.0,4.0,46.1,3.0,4.0,58.0,2.0,4.0,53.1,2.0,3.0,263.4,2.0,3.0,51.1,2.0,3.0,816.5
3.0,5.0,19.3,3.0,5.0,26.7,2.0,5.0,17.6,2.0,5.0,321.6,2.0,4.0,177.7,2.0,4.0,1198.0
3.0,6.0,88.4,3.0,6.0,101.3,2.0,6.0,70.4,2.0,6.0,323.0,2.0,6.0,109.4,2.0,5.0,758.1
4.0,2.0,125.3,4.0,1.0,184.3,4.0,1.0,109.4,3.0,1.0,470.2,3.0,1.0,41.9,3.0,1.0,629.6
4.0,3.0,105.9,4.0,3.0,121.8,4.0,2.0,83.2,3.0,2.0,238.9,3.0,2.0,41.3,3.0,2.0,550.3
4.0,5.0,165.1,4.0,5.0,179.0,4.0,5.0,48.6,3.0,5.0,227.9,3.0,4.0,94.2,3.0,4.0,863.9
4.0,6.0,262.5,4.0,6.0,281.4,4.0,6.0,124.6,3.0,6.0,383.0,3.0,6.0,54.3,3.0,5.0,266.3
5.0,2.0,59.0,5.0,1.0,72.8,5.0,1.0,19.9,5.0,1.0,316.1,4.0,1.0,310.8,4.0,1.0,1769.0
5.0,3.0,37.3,5.0,3.0,49.9,5.0,2.0,16.6,5.0,2.0,292.5,4.0,2.0,233.6,4.0,2.0,1031.0
5.0,4.0,110.5,5.0,4.0,140.7,5.0,4.0,34.1,5.0,3.0,267.2,4.0,3.0,190.0,4.0,3.0,1955.0
5.0,6.0,142.8,5.0,6.0,185.2,5.0,6.0,29.0,5.0,6.0,391.0,4.0,6.0,268.2,4.0,5.0,1456.0
6.0,2.0,453.0,6.0,1.0,728.4,6.0,1.0,191.9,6.0,1.0,1125.0,6.0,1.0,206.3,5.0,1.0,707.6
6.0,3.0,369.6,6.0,3.0,367.8,6.0,2.0,155.7,6.0,2.0,790.4,6.0,2.0,171.9,5.0,2.0,657.5
6.0,4.0,492.0,6.0,4.0,635.0,6.0,4.0,225.1,6.0,3.0,895.2,6.0,3.0,116.2,5.0,3.0,277.2
6.0,5.0,401.6,6.0,5.0,519.6,6.0,5.0,88.2,6.0,5.0,895.2,6.0,4.0,371.5,5.0,4.0,1125.0
