1,宮地 元輝,宮地 元輝.1,2,三原 司,三原 司.1,3,照屋 厚仁,照屋 厚仁.1,4,寺島 吉彦,寺島 吉彦.1,5,黒田 剛,黒田 剛.1,6,佐竹 太一,佐竹 太一.1
2.0,3.0,8.2,1.0,3.0,134.9,1.0,2.0,161.9,1.0,2.0,73.7,1.0,2.0,832.4,1.0,2.0,319.7
2.0,4.0,7.5,1.0,4.0,101.4,1.0,4.0,120.6,1.0,3.0,119.6,1.0,3.0,1125.0,1.0,3.0,403.6
2.0,5.0,52.8,1.0,5.0,436.3,1.0,5.0,561.1,1.0,5.0,158.9,1.0,4.0,837.7,1.0,4.0,224.5
2.0,6.0,14.1,1.0,6.0,147.9,1.0,6.0,178.5,1.0,6.0,55.0,1.0,6.0,763.4,1.0,5.0,810.9
3.0,2.0,9.1,3.0,1.0,495.4,2.0,1.0,520.0,2.0,1.0,236.5,2.0,1.0,1486.0,2.0,1.0,767.8
3.0,4.0,9.1,3.0,4.0,921.6,2.0,4.0,828.6,2.0,3.0,824.7,2.0,3.0,3757.0,2.0,3.0,1919.0
3.0,5.0,63.7,3.0,5.0,2654.0,2.0,5.0,1821.0,2.0,5.0,920.0,2.0,4.0,2900.0,2.0,4.0,1229.0
3.0,6.0,15.8,3.0,6.0,1307.0,2.0,6.0,1160.0,2.0,6.0,362.7,2.0,6.0,2425.0,2.0,5.0,2823.0
4.0,2.0,8.3,4.0,1.0,318.0,4.0,1.0,356.4,3.0,1.0,369.0,3.0,1.0,2100.0,3.0,1.0,980.9
4.0,3.0,10.9,4.0,3.0,890.8,4.0,2.0,993.7,3.0,2.0,934.5,3.0,2.0,4338.0,3.0,2.0,2178.0
4.0,5.0,42.6,4.0,5.0,1597.0,4.0,5.0,1976.0,3.0,5.0,1641.0,3.0,4.0,4303.0,3.0,4.0,1621.0
4.0,6.0,8.9,4.0,6.0,617.6,4.0,6.0,635.2,3.0,6.0,646.0,3.0,6.0,3420.0,3.0,5.0,3705.0
5.0,2.0,130.1,5.0,1.0,1461.0,5.0,1.0,1749.0,5.0,1.0,322.2,4.0,1.0,984.5,4.0,1.0,327.7
5.0,3.0,161.3,5.0,3.0,4073.0,5.0,2.0,3581.0,5.0,2.0,791.7,4.0,2.0,2160.0,4.0,2.0,852.4
5.0,4.0,118.6,5.0,4.0,3442.0,5.0,4.0,4012.0,5.0,3.0,1069.0,4.0,3.0,3176.0,4.0,3.0,1295.0
5.0,6.0,114.9,5.0,6.0,3031.0,5.0,6.0,3442.0,5.0,6.0,327.1,4.0,6.0,1095.0,4.0,5.0,1375.0
6.0,2.0,29.8,6.0,1.0,705.8,6.0,1.0,603.6,6.0,1.0,108.9,6.0,1.0,1180.0,5.0,1.0,1537.0
6.0,3.0,41.1,6.0,3.0,1715.0,6.0,2.0,1612.0,6.0,2.0,257.4,6.0,2.0,2382.0,5.0,2.0,3356.0
6.0,4.0,23.3,6.0,4.0,1140.0,6.0,4.0,1010.0,6.0,3.0,386.4,6.0,3.0,3442.0,5.0,3.0,4168.0
6.0,5.0,101.0,6.0,5.0,2695.0,6.0,5.0,2654.0,6.0,5.0,348.3,6.0,4.0,1546.0,5.0,4.0,1852.0
