1,大場 恒季,大場 恒季.1,2,市川 健太,市川 健太.1,3,一色 凌雅,一色 凌雅.1,4,原田　才一郎,原田　才一郎.1,5,生方 靖亜,生方 靖亜.1,6,砂長 知輝,砂長 知輝.1
2.0,3.0,47.7,1.0,3.0,255.8,1.0,2.0,412.3,1.0,2.0,15.7,1.0,2.0,432.5,1.0,2.0,291.0
2.0,4.0,17.8,1.0,4.0,85.7,1.0,4.0,221.6,1.0,3.0,30.4,1.0,3.0,749.8,1.0,3.0,532.7
2.0,5.0,96.4,1.0,5.0,320.3,1.0,5.0,515.3,1.0,5.0,22.3,1.0,4.0,261.3,1.0,4.0,129.0
2.0,6.0,48.7,1.0,6.0,207.2,1.0,6.0,437.8,1.0,6.0,9.4,1.0,6.0,367.4,1.0,5.0,457.1
3.0,2.0,56.5,3.0,1.0,499.0,2.0,1.0,669.5,2.0,1.0,43.8,2.0,1.0,793.2,2.0,1.0,609.9
3.0,4.0,25.8,3.0,4.0,468.7,2.0,4.0,693.5,2.0,3.0,113.9,2.0,3.0,1497.0,2.0,3.0,1398.0
3.0,5.0,105.1,3.0,5.0,1174.0,2.0,5.0,1280.0,2.0,5.0,69.4,2.0,4.0,768.8,2.0,4.0,421.7
3.0,6.0,61.7,3.0,6.0,869.4,2.0,6.0,1155.0,2.0,6.0,55.0,2.0,6.0,857.1,2.0,5.0,1207.0
4.0,2.0,11.4,4.0,1.0,106.4,4.0,1.0,290.2,3.0,1.0,117.2,3.0,1.0,1336.0,3.0,1.0,1052.0
4.0,3.0,16.5,4.0,3.0,287.8,4.0,2.0,598.8,3.0,2.0,231.8,3.0,2.0,1941.0,3.0,2.0,1742.0
4.0,5.0,24.4,4.0,5.0,338.2,4.0,5.0,624.3,3.0,5.0,218.3,3.0,4.0,1481.0,3.0,4.0,768.8
4.0,6.0,11.9,4.0,6.0,172.3,4.0,6.0,392.5,3.0,6.0,130.6,3.0,6.0,1534.0,3.0,5.0,1749.0
5.0,2.0,152.7,5.0,1.0,738.1,5.0,1.0,1081.0,5.0,1.0,22.9,4.0,1.0,195.8,4.0,1.0,119.1
5.0,3.0,192.8,5.0,3.0,1523.0,5.0,2.0,1592.0,5.0,2.0,53.1,4.0,2.0,368.7,4.0,2.0,229.0
5.0,4.0,74.9,5.0,4.0,751.1,5.0,4.0,1197.0,5.0,3.0,118.2,4.0,3.0,728.0,4.0,3.0,447.0
5.0,6.0,122.1,5.0,6.0,1034.0,5.0,6.0,1451.0,5.0,6.0,19.5,4.0,6.0,167.0,4.0,5.0,264.8
6.0,2.0,93.2,6.0,1.0,530.1,6.0,1.0,878.4,6.0,1.0,15.5,6.0,1.0,497.2,5.0,1.0,760.5
6.0,3.0,107.0,6.0,3.0,1104.0,6.0,2.0,1316.0,6.0,2.0,37.1,6.0,2.0,770.2,5.0,2.0,1036.0
6.0,4.0,40.3,6.0,4.0,374.5,6.0,4.0,687.9,6.0,3.0,73.7,6.0,3.0,1101.0,5.0,3.0,1497.0
6.0,5.0,145.9,6.0,5.0,1012.0,6.0,5.0,1540.0,6.0,5.0,24.1,6.0,4.0,332.4,5.0,4.0,461.1
