1,大庭 元明,大庭 元明.1,2,檀 将太,檀 将太.1,3,永嶋 裕一,永嶋 裕一.1,4,表 健太,表 健太.1,5,中野 和裕,中野 和裕.1,6,大熊 辰弥,大熊 辰弥.1
2.0,3.0,7.3,1.0,3.0,46.9,1.0,2.0,34.3,1.0,2.0,188.7,1.0,2.0,289.3,1.0,2.0,1132.0
2.0,4.0,25.0,1.0,4.0,140.9,1.0,4.0,39.0,1.0,3.0,156.3,1.0,3.0,114.2,1.0,3.0,615.0
2.0,5.0,26.4,1.0,5.0,128.8,1.0,5.0,20.8,1.0,5.0,175.8,1.0,4.0,390.2,1.0,4.0,1118.0
2.0,6.0,42.7,1.0,6.0,235.7,1.0,6.0,53.4,1.0,6.0,222.7,1.0,6.0,308.5,1.0,5.0,867.9
3.0,2.0,6.4,3.0,1.0,104.3,2.0,1.0,86.6,2.0,1.0,433.9,2.0,1.0,619.1,2.0,1.0,1786.0
3.0,4.0,10.0,3.0,4.0,266.1,2.0,4.0,201.9,2.0,3.0,603.0,2.0,3.0,383.7,2.0,3.0,1934.0
3.0,5.0,6.2,3.0,5.0,291.1,2.0,5.0,198.4,2.0,5.0,599.1,2.0,4.0,1474.0,2.0,4.0,2321.0
3.0,6.0,16.7,3.0,6.0,462.0,2.0,6.0,410.9,2.0,6.0,787.0,2.0,6.0,1629.0,2.0,5.0,2902.0
4.0,2.0,38.4,4.0,1.0,357.2,4.0,1.0,116.3,3.0,1.0,273.9,3.0,1.0,148.1,3.0,1.0,876.1
4.0,3.0,27.1,4.0,3.0,478.7,4.0,2.0,239.3,3.0,2.0,440.1,3.0,2.0,502.0,3.0,2.0,1658.0
4.0,5.0,49.4,4.0,5.0,584.1,4.0,5.0,164.9,3.0,5.0,398.6,3.0,4.0,584.1,3.0,4.0,1821.0
4.0,6.0,76.9,4.0,6.0,761.2,4.0,6.0,278.0,3.0,6.0,530.7,3.0,6.0,536.8,3.0,5.0,1428.0
5.0,2.0,50.3,5.0,1.0,457.5,5.0,1.0,61.2,5.0,1.0,299.5,4.0,1.0,844.3,4.0,1.0,1451.0
5.0,3.0,22.0,5.0,3.0,388.5,5.0,2.0,165.8,5.0,2.0,573.3,4.0,2.0,1272.0,4.0,2.0,2814.0
5.0,4.0,84.8,5.0,4.0,977.6,5.0,4.0,173.9,5.0,3.0,396.9,4.0,3.0,876.1,4.0,3.0,1857.0
5.0,6.0,64.4,5.0,6.0,1238.0,5.0,6.0,151.0,5.0,6.0,390.2,4.0,6.0,1222.0,4.0,5.0,2579.0
6.0,2.0,135.7,6.0,1.0,1055.0,6.0,1.0,239.9,6.0,1.0,584.1,6.0,1.0,649.4,5.0,1.0,1346.0
6.0,3.0,85.7,6.0,3.0,1067.0,6.0,2.0,714.4,6.0,2.0,988.0,6.0,2.0,1934.0,5.0,2.0,2814.0
6.0,4.0,176.2,6.0,4.0,1428.0,6.0,4.0,549.5,6.0,3.0,1160.0,6.0,3.0,844.3,5.0,3.0,1658.0
6.0,5.0,132.3,6.0,5.0,1547.0,6.0,5.0,354.4,6.0,5.0,780.4,6.0,4.0,1386.0,5.0,4.0,2211.0
