1,池永 太,池永 太.1,2,山田 丈,山田 丈.1,3,田中 京介,田中 京介.1,4,伊藤 尚汰,伊藤 尚汰.1,5,小林 文彦,小林 文彦.1,6,安東 幸治,安東 幸治.1
2.0,3.0,6.8,1.0,3.0,36.5,1.0,2.0,75.2,1.0,2.0,206.5,1.0,2.0,155.3,1.0,2.0,381.3
2.0,4.0,15.7,1.0,4.0,60.1,1.0,4.0,115.8,1.0,3.0,320.8,1.0,3.0,237.2,1.0,3.0,434.7
2.0,5.0,8.8,1.0,5.0,43.7,1.0,5.0,74.1,1.0,5.0,231.7,1.0,4.0,406.7,1.0,4.0,721.5
2.0,6.0,9.3,1.0,6.0,43.9,1.0,6.0,82.7,1.0,6.0,231.9,1.0,6.0,161.6,1.0,5.0,366.9
3.0,2.0,10.0,3.0,1.0,131.4,2.0,1.0,196.4,2.0,1.0,395.5,2.0,1.0,429.3,2.0,1.0,633.4
3.0,4.0,25.2,3.0,4.0,346.4,2.0,4.0,491.6,2.0,3.0,954.4,2.0,3.0,1069.0,2.0,3.0,1381.0
3.0,5.0,13.7,3.0,5.0,328.8,2.0,5.0,388.6,2.0,5.0,858.6,2.0,4.0,1548.0,2.0,4.0,1875.0
3.0,6.0,16.6,3.0,6.0,286.2,2.0,6.0,387.0,2.0,6.0,745.7,2.0,6.0,759.7,2.0,5.0,1373.0
4.0,2.0,36.5,4.0,1.0,230.6,4.0,1.0,452.4,3.0,1.0,681.2,3.0,1.0,499.2,3.0,1.0,762.0
4.0,3.0,49.6,4.0,3.0,611.9,4.0,2.0,760.9,3.0,2.0,1116.0,3.0,2.0,1153.0,3.0,2.0,1381.0
4.0,5.0,51.8,4.0,5.0,584.8,4.0,5.0,690.8,3.0,5.0,1064.0,3.0,4.0,1625.0,3.0,4.0,1658.0
4.0,6.0,44.2,4.0,6.0,479.5,4.0,6.0,641.7,3.0,6.0,835.1,3.0,6.0,913.3,3.0,5.0,1583.0
5.0,2.0,20.4,5.0,1.0,263.6,5.0,1.0,213.1,5.0,1.0,395.8,4.0,1.0,757.3,4.0,1.0,1155.0
5.0,3.0,29.3,5.0,3.0,615.8,5.0,2.0,334.5,5.0,2.0,776.6,4.0,2.0,1328.0,4.0,2.0,2322.0
5.0,4.0,66.1,5.0,4.0,798.2,5.0,4.0,486.7,5.0,3.0,1105.0,4.0,3.0,1840.0,4.0,3.0,2049.0
5.0,6.0,25.5,5.0,6.0,489.6,5.0,6.0,376.6,5.0,6.0,485.3,4.0,6.0,848.2,4.0,5.0,1699.0
6.0,2.0,34.0,6.0,1.0,292.9,6.0,1.0,387.4,6.0,1.0,515.0,6.0,1.0,310.6,5.0,1.0,510.7
6.0,3.0,47.0,6.0,3.0,686.9,6.0,2.0,717.2,6.0,2.0,903.2,6.0,2.0,723.6,5.0,2.0,1385.0
6.0,4.0,85.2,6.0,4.0,852.6,6.0,4.0,866.3,6.0,3.0,1003.0,6.0,3.0,849.7,5.0,3.0,1593.0
6.0,5.0,41.0,6.0,5.0,664.4,6.0,5.0,736.7,6.0,5.0,743.5,6.0,4.0,925.5,5.0,4.0,1421.0
