1,星野 太郎,星野 太郎.1,2,羽野 諒,羽野 諒.1,3,上野　真之介,上野　真之介.1,4,飯山 晃三,飯山 晃三.1,5,島川 海輝,島川 海輝.1,6,外崎 悟,外崎 悟.1
2.0,3.0,15.7,1.0,3.0,62.7,1.0,2.0,17.8,1.0,2.0,588.9,1.0,2.0,304.4,1.0,2.0,911.9
2.0,4.0,76.1,1.0,4.0,204.1,1.0,4.0,32.5,1.0,3.0,528.1,1.0,3.0,114.4,1.0,3.0,384.4
2.0,5.0,47.3,1.0,5.0,151.7,1.0,5.0,10.1,1.0,5.0,869.0,1.0,4.0,562.4,1.0,4.0,1225.0
2.0,6.0,55.9,1.0,6.0,192.6,1.0,6.0,15.6,1.0,6.0,853.2,1.0,6.0,202.7,1.0,5.0,584.9
3.0,2.0,7.3,3.0,1.0,78.0,2.0,1.0,48.7,2.0,1.0,704.4,2.0,1.0,496.5,2.0,1.0,1273.0
3.0,4.0,21.3,3.0,4.0,202.1,2.0,4.0,121.1,2.0,3.0,1165.0,2.0,3.0,459.4,2.0,3.0,1036.0
3.0,5.0,7.7,3.0,5.0,105.4,2.0,5.0,51.4,2.0,5.0,1682.0,2.0,4.0,1385.0,2.0,4.0,2317.0
3.0,6.0,10.1,3.0,6.0,144.1,2.0,6.0,74.3,2.0,6.0,1376.0,2.0,6.0,652.4,2.0,5.0,1752.0
4.0,2.0,135.4,4.0,1.0,445.4,4.0,1.0,93.3,3.0,1.0,514.0,3.0,1.0,122.1,3.0,1.0,383.4
4.0,3.0,85.9,4.0,3.0,456.4,4.0,2.0,172.5,3.0,2.0,940.3,3.0,2.0,296.5,3.0,2.0,794.1
4.0,5.0,166.7,4.0,5.0,783.8,4.0,5.0,80.7,3.0,5.0,723.6,3.0,4.0,512.1,3.0,4.0,1225.0
4.0,6.0,177.3,4.0,6.0,766.8,4.0,6.0,101.1,3.0,6.0,778.1,3.0,6.0,174.5,3.0,5.0,450.1
5.0,2.0,70.8,5.0,1.0,368.7,5.0,1.0,27.3,5.0,1.0,1133.0,4.0,1.0,1236.0,4.0,1.0,1716.0
5.0,3.0,33.1,5.0,3.0,266.2,5.0,2.0,60.7,5.0,2.0,1624.0,4.0,2.0,1745.0,4.0,2.0,2771.0
5.0,4.0,183.4,5.0,4.0,849.8,5.0,4.0,81.6,5.0,3.0,1118.0,4.0,3.0,1130.0,4.0,3.0,2029.0
5.0,6.0,73.5,5.0,6.0,456.9,5.0,6.0,32.5,5.0,6.0,1149.0,4.0,6.0,1104.0,4.0,5.0,2601.0
6.0,2.0,140.2,6.0,1.0,563.9,6.0,1.0,59.3,6.0,1.0,1215.0,6.0,1.0,391.2,5.0,1.0,650.4
6.0,3.0,66.0,6.0,3.0,482.4,6.0,2.0,125.7,6.0,2.0,1936.0,6.0,2.0,849.8,5.0,2.0,1650.0
6.0,4.0,287.9,6.0,4.0,988.5,6.0,4.0,156.9,6.0,3.0,1321.0,6.0,3.0,316.7,5.0,3.0,520.9
6.0,5.0,146.2,6.0,5.0,762.7,6.0,5.0,61.2,6.0,5.0,1709.0,6.0,4.0,1239.0,5.0,4.0,2304.0
