1,石田 政吾,石田 政吾.1,2,浜野 孝志,浜野 孝志.1,3,吉島 祥之,吉島 祥之.1,4,山口 修路,山口 修路.1,5,山根 大樹,山根 大樹.1,6,尾嶋 一広,尾嶋 一広.1
2.0,3.0,13.2,1.0,3.0,51.5,1.0,2.0,76.5,1.0,2.0,354.9,1.0,2.0,412.2,1.0,2.0,29.4
2.0,4.0,27.0,1.0,4.0,78.8,1.0,4.0,101.0,1.0,3.0,398.2,1.0,3.0,412.6,1.0,3.0,36.2
2.0,5.0,44.6,1.0,5.0,204.2,1.0,5.0,210.5,1.0,5.0,668.4,1.0,4.0,615.9,1.0,4.0,72.5
2.0,6.0,9.3,1.0,6.0,35.3,1.0,6.0,43.9,1.0,6.0,198.6,1.0,6.0,309.7,1.0,5.0,84.5
3.0,2.0,17.1,3.0,1.0,86.0,2.0,1.0,105.5,2.0,1.0,489.9,2.0,1.0,642.1,2.0,1.0,50.9
3.0,4.0,33.2,3.0,4.0,130.1,2.0,4.0,152.1,2.0,3.0,615.0,2.0,3.0,871.9,2.0,3.0,70.7
3.0,5.0,53.2,3.0,5.0,348.2,2.0,5.0,417.5,2.0,5.0,1130.0,2.0,4.0,1362.0,2.0,4.0,135.0
3.0,6.0,11.7,3.0,6.0,56.2,2.0,6.0,65.5,2.0,6.0,324.4,2.0,6.0,611.5,2.0,5.0,181.3
4.0,2.0,65.7,4.0,1.0,226.2,4.0,1.0,193.6,3.0,1.0,493.9,3.0,1.0,700.4,3.0,1.0,62.1
4.0,3.0,73.9,4.0,3.0,247.8,4.0,2.0,228.9,3.0,2.0,615.0,3.0,2.0,1187.0,3.0,2.0,77.1
4.0,5.0,150.4,4.0,5.0,610.6,4.0,5.0,518.7,3.0,5.0,1100.0,3.0,4.0,1546.0,3.0,4.0,146.1
4.0,6.0,41.4,4.0,6.0,140.3,4.0,6.0,108.9,3.0,6.0,303.1,3.0,6.0,750.0,3.0,5.0,236.3
5.0,2.0,68.6,5.0,1.0,447.5,5.0,1.0,454.7,5.0,1.0,969.7,4.0,1.0,1235.0,4.0,1.0,178.1
5.0,3.0,82.0,5.0,3.0,665.2,5.0,2.0,584.5,5.0,2.0,1193.0,4.0,2.0,1858.0,4.0,2.0,223.3
5.0,4.0,145.1,5.0,4.0,769.1,5.0,4.0,703.9,5.0,3.0,1246.0,4.0,3.0,1900.0,4.0,3.0,239.5
5.0,6.0,58.5,5.0,6.0,349.3,5.0,6.0,348.5,5.0,6.0,819.7,4.0,6.0,1224.0,4.0,5.0,437.3
6.0,2.0,14.3,6.0,1.0,54.5,6.0,1.0,54.5,6.0,1.0,216.6,6.0,1.0,488.7,5.0,1.0,184.7
6.0,3.0,17.9,6.0,3.0,65.7,6.0,2.0,64.5,6.0,2.0,260.6,6.0,2.0,705.1,5.0,2.0,275.7
6.0,4.0,34.7,6.0,4.0,104.6,6.0,4.0,92.1,6.0,3.0,289.2,6.0,3.0,742.1,5.0,3.0,364.3
6.0,5.0,53.1,6.0,5.0,249.1,6.0,5.0,220.8,6.0,5.0,559.8,6.0,4.0,1268.0,5.0,4.0,478.8
