1,井内　将太郎,井内　将太郎.1,2,吉川 勇作,吉川 勇作.1,3,伊藤 尚汰,伊藤 尚汰.1,4,仲本 舜,仲本 舜.1,5,森永 隆,森永 隆.1,6,井手 良太,井手 良太.1
2.0,3.0,13.7,1.0,3.0,115.1,1.0,2.0,208.3,1.0,2.0,625.0,1.0,2.0,25.7,1.0,2.0,518.3
2.0,4.0,42.4,1.0,4.0,234.9,1.0,4.0,330.4,1.0,3.0,836.3,1.0,3.0,38.9,1.0,3.0,733.6
2.0,5.0,6.5,1.0,5.0,62.9,1.0,5.0,88.7,1.0,5.0,276.5,1.0,4.0,73.9,1.0,4.0,1082.0
2.0,6.0,34.2,1.0,6.0,220.5,1.0,6.0,277.4,1.0,6.0,681.6,1.0,6.0,29.9,1.0,5.0,286.1
3.0,2.0,18.4,3.0,1.0,334.8,2.0,1.0,380.5,2.0,1.0,1116.0,2.0,1.0,83.1,2.0,1.0,848.6
3.0,4.0,49.0,3.0,4.0,946.0,2.0,4.0,857.0,2.0,3.0,1618.0,2.0,3.0,208.0,2.0,3.0,1146.0
3.0,5.0,10.6,3.0,5.0,359.1,2.0,5.0,471.7,2.0,5.0,1603.0,2.0,4.0,359.9,2.0,4.0,2085.0
3.0,6.0,43.8,3.0,6.0,736.7,2.0,6.0,783.4,2.0,6.0,1881.0,2.0,6.0,154.8,2.0,5.0,956.5
4.0,2.0,97.9,4.0,1.0,627.2,4.0,1.0,712.4,3.0,1.0,1282.0,3.0,1.0,121.0,3.0,1.0,1573.0
4.0,3.0,105.9,4.0,3.0,1062.0,4.0,2.0,1177.0,3.0,2.0,2137.0,3.0,2.0,250.1,3.0,2.0,1505.0
4.0,5.0,47.1,4.0,5.0,1024.0,4.0,5.0,1024.0,3.0,5.0,1532.0,3.0,4.0,470.4,3.0,4.0,2546.0
4.0,6.0,129.3,4.0,6.0,1731.0,4.0,6.0,1573.0,3.0,6.0,2339.0,3.0,6.0,258.4,3.0,5.0,1301.0
5.0,2.0,6.2,5.0,1.0,107.8,5.0,1.0,141.5,5.0,1.0,377.1,4.0,1.0,154.3,4.0,1.0,1861.0
5.0,3.0,7.5,5.0,3.0,300.0,5.0,2.0,295.4,5.0,2.0,840.4,4.0,2.0,324.2,4.0,2.0,2371.0
5.0,4.0,21.5,5.0,4.0,599.0,5.0,4.0,513.7,5.0,3.0,1169.0,4.0,3.0,426.4,4.0,3.0,2748.0
5.0,6.0,14.1,5.0,6.0,357.7,5.0,6.0,403.5,5.0,6.0,681.6,4.0,6.0,232.0,4.0,5.0,1588.0
6.0,2.0,108.2,6.0,1.0,749.4,6.0,1.0,816.6,6.0,1.0,1374.0,6.0,1.0,80.5,5.0,1.0,333.5
6.0,3.0,101.1,6.0,3.0,1202.0,6.0,2.0,1292.0,6.0,2.0,2164.0,6.0,2.0,163.7,5.0,2.0,743.0
6.0,4.0,204.6,6.0,4.0,1841.0,6.0,4.0,1618.0,6.0,3.0,2013.0,6.0,3.0,206.6,5.0,3.0,946.0
6.0,5.0,54.3,6.0,5.0,870.0,6.0,5.0,978.1,6.0,5.0,1363.0,6.0,4.0,220.5,5.0,4.0,1095.0
