1,高倉 和士,高倉 和士.1,2,富永 大一,富永 大一.1,3,大庭 元明,大庭 元明.1,4,青木　幸太郎,青木　幸太郎.1,5,仲谷 颯仁,仲谷 颯仁.1,6,植田 太一,植田 太一.1
2.0,3.0,19.6,1.0,3.0,158.5,1.0,2.0,220.2,1.0,2.0,129.9,1.0,2.0,56.9,1.0,2.0,472.2
2.0,4.0,21.4,1.0,4.0,187.9,1.0,4.0,183.2,1.0,3.0,172.7,1.0,3.0,54.1,1.0,3.0,586.9
2.0,5.0,12.8,1.0,5.0,119.6,1.0,5.0,96.4,1.0,5.0,48.6,1.0,4.0,39.6,1.0,4.0,559.1
2.0,6.0,43.1,1.0,6.0,224.9,1.0,6.0,248.2,1.0,6.0,91.8,1.0,6.0,43.9,1.0,5.0,298.3
3.0,2.0,21.7,3.0,1.0,417.4,2.0,1.0,487.8,2.0,1.0,319.5,2.0,1.0,178.7,2.0,1.0,791.0
3.0,4.0,19.0,3.0,4.0,1210.0,2.0,4.0,855.3,2.0,3.0,870.0,2.0,3.0,440.2,2.0,3.0,1828.0
3.0,5.0,10.3,3.0,5.0,610.7,2.0,5.0,649.7,2.0,5.0,315.2,2.0,4.0,342.3,2.0,4.0,1630.0
3.0,6.0,39.1,3.0,6.0,917.0,2.0,6.0,880.4,2.0,6.0,462.0,2.0,6.0,332.3,2.0,5.0,1062.0
4.0,2.0,25.9,4.0,1.0,378.5,4.0,1.0,424.9,3.0,1.0,424.4,3.0,1.0,141.8,3.0,1.0,1190.0
4.0,3.0,25.8,4.0,3.0,962.3,4.0,2.0,793.8,3.0,2.0,1109.0,3.0,2.0,461.0,3.0,2.0,2407.0
4.0,5.0,16.0,4.0,5.0,522.5,4.0,5.0,450.0,3.0,5.0,428.2,3.0,4.0,368.4,3.0,4.0,2128.0
4.0,6.0,42.9,4.0,6.0,758.3,4.0,6.0,908.1,3.0,6.0,733.1,3.0,6.0,350.4,3.0,5.0,1420.0
5.0,2.0,13.3,5.0,1.0,258.0,5.0,1.0,164.2,5.0,1.0,47.0,4.0,1.0,60.6,4.0,1.0,839.1
5.0,3.0,12.0,5.0,3.0,572.2,5.0,2.0,466.9,5.0,2.0,127.8,4.0,2.0,155.4,4.0,2.0,1487.0
5.0,4.0,13.7,5.0,4.0,626.3,5.0,4.0,433.5,5.0,3.0,204.0,4.0,3.0,232.3,4.0,3.0,1724.0
5.0,6.0,20.8,5.0,6.0,498.9,5.0,6.0,421.1,5.0,6.0,63.8,4.0,6.0,76.9,4.0,5.0,570.7
6.0,2.0,101.1,6.0,1.0,715.7,6.0,1.0,802.5,6.0,1.0,192.0,6.0,1.0,121.2,5.0,1.0,346.4
6.0,3.0,112.9,6.0,3.0,1770.0,6.0,2.0,1568.0,6.0,2.0,384.2,6.0,2.0,314.3,5.0,2.0,924.6
6.0,4.0,99.2,6.0,4.0,1458.0,6.0,4.0,1550.0,6.0,3.0,536.5,6.0,3.0,337.4,5.0,3.0,1013.0
6.0,5.0,67.6,6.0,5.0,899.5,6.0,5.0,976.5,6.0,5.0,162.2,6.0,4.0,194.7,5.0,4.0,536.5
