1,馬場 貴也,馬場 貴也.1,2,佐藤　隆太郎,佐藤　隆太郎.1,3,仲谷 颯仁,仲谷 颯仁.1,4,瓜生 正義,瓜生 正義.1,5,定松 勇樹,定松 勇樹.1,6,守田 俊介,守田 俊介.1
2.0,3.0,13.4,1.0,3.0,67.3,1.0,2.0,183.4,1.0,2.0,42.2,1.0,2.0,135.7,1.0,2.0,531.0
2.0,4.0,9.4,1.0,4.0,49.2,1.0,4.0,141.3,1.0,3.0,82.7,1.0,3.0,199.3,1.0,3.0,788.7
2.0,5.0,17.7,1.0,5.0,75.1,1.0,5.0,165.6,1.0,5.0,30.7,1.0,4.0,91.0,1.0,4.0,438.8
2.0,6.0,28.6,1.0,6.0,131.2,1.0,6.0,283.5,1.0,6.0,95.0,1.0,6.0,243.0,1.0,5.0,670.1
3.0,2.0,20.8,3.0,1.0,205.0,2.0,1.0,339.9,2.0,1.0,76.4,2.0,1.0,245.6,2.0,1.0,897.5
3.0,4.0,19.9,3.0,4.0,259.9,2.0,4.0,422.0,2.0,3.0,193.9,2.0,3.0,459.5,2.0,3.0,1575.0
3.0,5.0,28.6,3.0,5.0,312.3,2.0,5.0,468.7,2.0,5.0,73.4,2.0,4.0,201.0,2.0,4.0,1006.0
3.0,6.0,37.7,3.0,6.0,543.9,2.0,6.0,823.3,2.0,6.0,223.9,2.0,6.0,572.4,2.0,5.0,1491.0
4.0,2.0,12.3,4.0,1.0,88.4,4.0,1.0,244.8,3.0,1.0,215.3,3.0,1.0,550.9,3.0,1.0,1444.0
4.0,3.0,20.7,4.0,3.0,198.8,4.0,2.0,365.8,3.0,2.0,304.9,3.0,2.0,704.4,3.0,2.0,1838.0
4.0,5.0,12.9,4.0,5.0,104.8,4.0,5.0,265.1,3.0,5.0,211.1,3.0,4.0,565.6,3.0,4.0,1621.0
4.0,6.0,29.5,4.0,6.0,222.5,4.0,6.0,501.0,3.0,6.0,495.9,3.0,6.0,1314.0,3.0,5.0,2276.0
5.0,2.0,33.8,5.0,1.0,208.2,5.0,1.0,382.7,5.0,1.0,34.0,4.0,1.0,79.9,4.0,1.0,628.9
5.0,3.0,48.9,5.0,3.0,379.6,5.0,2.0,602.8,5.0,2.0,45.6,4.0,2.0,102.7,4.0,2.0,916.9
5.0,4.0,29.0,5.0,4.0,182.5,5.0,4.0,462.5,5.0,3.0,97.3,4.0,3.0,189.5,4.0,3.0,1463.0
5.0,6.0,65.5,5.0,6.0,500.8,5.0,6.0,961.1,5.0,6.0,97.9,4.0,6.0,192.1,4.0,5.0,775.8
6.0,2.0,53.5,6.0,1.0,448.0,6.0,1.0,902.5,6.0,1.0,278.8,6.0,1.0,717.2,5.0,1.0,1276.0
6.0,3.0,63.8,6.0,3.0,791.4,6.0,2.0,1235.0,6.0,2.0,407.6,6.0,2.0,938.2,5.0,2.0,1620.0
6.0,4.0,49.8,6.0,4.0,488.1,6.0,4.0,1067.0,6.0,3.0,567.2,6.0,3.0,1353.0,5.0,3.0,2383.0
6.0,5.0,68.4,6.0,5.0,660.8,6.0,5.0,1354.0,6.0,5.0,274.7,6.0,4.0,586.8,5.0,4.0,970.9
