1,高橋 竜矢,高橋 竜矢.1,2,中山 翔太,中山 翔太.1,3,坂本 雄紀,坂本 雄紀.1,4,川原 涼,川原 涼.1,5,小玉 啓太,小玉 啓太.1,6,齊藤 廉,齊藤 廉.1
2.0,3.0,3.7,1.0,3.0,15.9,1.0,2.0,55.1,1.0,2.0,84.4,1.0,2.0,477.2,1.0,2.0,627.4
2.0,4.0,5.9,1.0,4.0,17.8,1.0,4.0,76.8,1.0,3.0,165.6,1.0,3.0,646.6,1.0,3.0,1193.0
2.0,5.0,25.7,1.0,5.0,67.8,1.0,5.0,178.7,1.0,5.0,196.4,1.0,4.0,756.3,1.0,4.0,1052.0
2.0,6.0,50.4,1.0,6.0,111.6,1.0,6.0,331.2,1.0,6.0,328.9,1.0,6.0,1435.0,1.0,5.0,1958.0
3.0,2.0,6.4,3.0,1.0,48.9,2.0,1.0,86.3,2.0,1.0,132.5,2.0,1.0,592.3,2.0,1.0,799.1
3.0,4.0,11.6,3.0,4.0,98.2,2.0,4.0,171.5,2.0,3.0,290.8,2.0,3.0,949.1,2.0,3.0,1568.0
3.0,5.0,35.4,3.0,5.0,236.7,2.0,5.0,377.3,2.0,5.0,345.0,2.0,4.0,965.3,2.0,4.0,1269.0
3.0,6.0,78.7,3.0,6.0,395.8,2.0,6.0,536.1,2.0,6.0,504.2,2.0,6.0,1575.0,2.0,5.0,2528.0
4.0,2.0,15.0,4.0,1.0,71.7,4.0,1.0,213.6,3.0,1.0,343.2,3.0,1.0,1033.0,3.0,1.0,2117.0
4.0,3.0,25.7,4.0,3.0,139.2,4.0,2.0,296.9,3.0,2.0,496.8,3.0,2.0,1273.0,3.0,2.0,2667.0
4.0,5.0,67.5,4.0,5.0,264.0,4.0,5.0,629.8,3.0,5.0,873.2,3.0,4.0,2386.0,3.0,4.0,3764.0
4.0,6.0,117.5,4.0,6.0,374.8,4.0,6.0,866.5,3.0,6.0,1107.0,3.0,6.0,2972.0,3.0,5.0,4289.0
5.0,2.0,93.2,5.0,1.0,327.6,5.0,1.0,574.2,5.0,1.0,351.1,4.0,1.0,1014.0,4.0,1.0,1711.0
5.0,3.0,133.9,5.0,3.0,549.1,5.0,2.0,768.3,5.0,2.0,411.7,4.0,2.0,1093.0,4.0,2.0,1694.0
5.0,4.0,167.2,5.0,4.0,516.5,5.0,4.0,1103.0,5.0,3.0,866.5,4.0,3.0,1969.0,4.0,3.0,3682.0
5.0,6.0,373.1,5.0,6.0,1417.0,5.0,6.0,1882.0,5.0,6.0,684.5,4.0,6.0,1861.0,4.0,5.0,3166.0
6.0,2.0,191.1,6.0,1.0,479.2,6.0,1.0,1068.0,6.0,1.0,695.7,6.0,1.0,2920.0,5.0,1.0,4132.0
6.0,3.0,286.4,6.0,3.0,1096.0,6.0,2.0,1333.0,6.0,2.0,828.4,6.0,2.0,2667.0,5.0,2.0,5647.0
6.0,4.0,319.3,6.0,4.0,828.4,6.0,4.0,1728.0,6.0,3.0,1652.0,6.0,3.0,4840.0,5.0,3.0,4517.0
6.0,5.0,575.2,6.0,5.0,2131.0,6.0,5.0,2547.0,6.0,5.0,1184.0,6.0,4.0,3604.0,5.0,4.0,3566.0
