1,西山 貴浩,西山 貴浩.1,2,鶴田 勇雄,鶴田 勇雄.1,3,林 恵祐,林 恵祐.1,4,竹井 貴史,竹井 貴史.1,5,田中 孝明,田中 孝明.1,6,柴田 大輔,柴田 大輔.1
2.0,3.0,18.1,1.0,3.0,230.4,1.0,2.0,548.3,1.0,2.0,26.9,1.0,2.0,542.3,1.0,2.0,68.2
2.0,4.0,5.0,1.0,4.0,85.6,1.0,4.0,451.1,1.0,3.0,97.1,1.0,3.0,1101.0,1.0,3.0,177.5
2.0,5.0,31.2,1.0,5.0,338.8,1.0,5.0,841.6,1.0,5.0,41.0,1.0,4.0,415.4,1.0,4.0,66.4
2.0,6.0,27.7,1.0,6.0,236.2,1.0,6.0,1109.0,1.0,6.0,45.8,1.0,6.0,767.5,1.0,5.0,191.1
3.0,2.0,32.4,3.0,1.0,603.0,2.0,1.0,826.5,2.0,1.0,80.3,2.0,1.0,1141.0,2.0,1.0,125.4
3.0,4.0,25.6,3.0,4.0,962.7,2.0,4.0,1115.0,2.0,3.0,379.1,2.0,3.0,2470.0,2.0,3.0,349.3
3.0,5.0,80.4,3.0,5.0,1518.0,2.0,5.0,1799.0,2.0,5.0,249.4,2.0,4.0,1563.0,2.0,4.0,183.3
3.0,6.0,91.9,3.0,6.0,2167.0,2.0,6.0,1997.0,2.0,6.0,242.9,2.0,6.0,1963.0,2.0,5.0,491.6
4.0,2.0,4.0,4.0,1.0,152.6,4.0,1.0,705.5,3.0,1.0,378.1,3.0,1.0,2274.0,3.0,1.0,549.6
4.0,3.0,13.3,4.0,3.0,685.1,4.0,2.0,1213.0,3.0,2.0,774.4,3.0,2.0,4335.0,3.0,2.0,834.5
4.0,5.0,11.9,4.0,5.0,683.1,4.0,5.0,1649.0,3.0,5.0,952.0,3.0,4.0,3133.0,3.0,4.0,841.6
4.0,6.0,13.2,4.0,6.0,563.6,4.0,6.0,1673.0,3.0,6.0,1009.0,3.0,6.0,3938.0,3.0,5.0,1182.0
5.0,2.0,79.7,5.0,1.0,979.1,5.0,1.0,2114.0,5.0,1.0,115.1,4.0,1.0,487.1,4.0,1.0,124.6
5.0,3.0,146.9,5.0,3.0,1873.0,5.0,2.0,3023.0,5.0,2.0,244.8,4.0,2.0,1095.0,4.0,2.0,198.4
5.0,4.0,63.1,5.0,4.0,1224.0,5.0,4.0,2735.0,5.0,3.0,576.3,4.0,3.0,1980.0,4.0,3.0,484.7
5.0,6.0,125.9,5.0,6.0,1641.0,5.0,6.0,2757.0,5.0,6.0,190.8,4.0,6.0,905.7,4.0,5.0,397.9
6.0,2.0,43.0,6.0,1.0,581.6,6.0,1.0,2385.0,6.0,1.0,112.5,6.0,1.0,1412.0,5.0,1.0,579.2
6.0,3.0,113.1,6.0,3.0,1883.0,6.0,2.0,2661.0,6.0,2.0,233.0,6.0,2.0,2305.0,5.0,2.0,852.0
6.0,4.0,37.2,6.0,4.0,797.8,6.0,4.0,2562.0,6.0,3.0,635.8,6.0,3.0,3119.0,5.0,3.0,1202.0
6.0,5.0,114.2,6.0,5.0,1795.0,6.0,5.0,3608.0,6.0,5.0,257.3,6.0,4.0,1373.0,5.0,4.0,684.5
