1,松尾 怜実,松尾 怜実.1,2,大瀧　明日香,大瀧　明日香.1,3,小池 礼乃,小池 礼乃.1,4,奥村　明日香,奥村　明日香.1,5,松尾 夏海,松尾 夏海.1,6,山下 友貴,山下 友貴.1
2.0,3.0,32.7,1.0,3.0,35.1,1.0,2.0,92.9,1.0,2.0,106.0,1.0,2.0,66.2,1.0,2.0,699.4
2.0,4.0,37.6,1.0,4.0,34.0,1.0,4.0,156.5,1.0,3.0,251.1,1.0,3.0,114.5,1.0,3.0,1387.0
2.0,5.0,27.3,1.0,5.0,22.2,1.0,5.0,112.9,1.0,5.0,90.7,1.0,4.0,119.5,1.0,4.0,1458.0
2.0,6.0,110.1,1.0,6.0,90.7,1.0,6.0,342.7,1.0,6.0,278.8,1.0,6.0,142.0,1.0,5.0,1068.0
3.0,2.0,48.0,3.0,1.0,53.8,2.0,1.0,86.4,2.0,1.0,82.3,2.0,1.0,54.1,2.0,1.0,735.3
3.0,4.0,80.8,3.0,4.0,34.1,2.0,4.0,65.3,2.0,3.0,90.6,2.0,3.0,57.7,2.0,3.0,896.1
3.0,5.0,61.6,3.0,5.0,26.6,2.0,5.0,46.2,2.0,5.0,36.7,2.0,4.0,47.1,2.0,4.0,800.3
3.0,6.0,230.6,3.0,6.0,85.1,2.0,6.0,113.2,2.0,6.0,118.9,2.0,6.0,67.1,2.0,5.0,411.6
4.0,2.0,76.9,4.0,1.0,41.8,4.0,1.0,169.3,3.0,1.0,256.0,3.0,1.0,151.2,3.0,1.0,1638.0
4.0,3.0,128.9,4.0,3.0,37.5,4.0,2.0,87.3,3.0,2.0,133.0,3.0,2.0,77.7,3.0,2.0,1110.0
4.0,5.0,87.0,4.0,5.0,17.8,4.0,5.0,88.0,3.0,5.0,134.3,3.0,4.0,151.4,3.0,4.0,1323.0
4.0,6.0,259.9,4.0,6.0,70.3,4.0,6.0,209.8,3.0,6.0,319.2,3.0,6.0,176.1,3.0,5.0,1194.0
5.0,2.0,51.9,5.0,1.0,29.0,5.0,1.0,132.9,5.0,1.0,61.0,4.0,1.0,101.6,4.0,1.0,1608.0
5.0,3.0,85.7,5.0,3.0,28.1,5.0,2.0,57.0,5.0,2.0,34.7,4.0,2.0,52.3,4.0,2.0,983.2
5.0,4.0,100.0,5.0,4.0,21.5,5.0,4.0,101.1,5.0,3.0,94.6,4.0,3.0,137.9,4.0,3.0,1536.0
5.0,6.0,165.7,5.0,6.0,42.6,5.0,6.0,157.1,5.0,6.0,61.2,4.0,6.0,91.9,4.0,5.0,1012.0
6.0,2.0,407.7,6.0,1.0,239.3,6.0,1.0,732.1,6.0,1.0,431.2,6.0,1.0,254.9,5.0,1.0,994.6
6.0,3.0,583.2,6.0,3.0,258.3,6.0,2.0,359.2,6.0,2.0,241.6,6.0,2.0,139.0,5.0,2.0,409.6
6.0,4.0,556.8,6.0,4.0,244.0,6.0,4.0,664.3,6.0,3.0,503.1,6.0,3.0,293.6,5.0,3.0,1139.0
6.0,5.0,434.5,6.0,5.0,131.5,6.0,5.0,440.0,6.0,5.0,174.6,6.0,4.0,245.8,5.0,4.0,1049.0
