1,永田 啓二,永田 啓二.1,2,松尾 充,松尾 充.1,3,下河 雅史,下河 雅史.1,4,中 亮太,中 亮太.1,5,水原 慎,水原 慎.1,6,杉山 太陽,杉山 太陽.1
2.0,3.0,11.6,1.0,3.0,112.3,1.0,2.0,174.6,1.0,2.0,19.6,1.0,2.0,471.9,1.0,2.0,531.2
2.0,4.0,5.9,1.0,4.0,67.3,1.0,4.0,105.4,1.0,3.0,30.0,1.0,3.0,640.1,1.0,3.0,702.7
2.0,5.0,45.5,1.0,5.0,294.0,1.0,5.0,311.4,1.0,5.0,28.1,1.0,4.0,269.7,1.0,4.0,307.8
2.0,6.0,79.3,1.0,6.0,382.5,1.0,6.0,353.0,1.0,6.0,39.1,1.0,6.0,587.7,1.0,5.0,965.0
3.0,2.0,18.9,3.0,1.0,335.7,2.0,1.0,416.7,2.0,1.0,50.6,2.0,1.0,1045.0,2.0,1.0,958.8
3.0,4.0,14.2,3.0,4.0,399.8,2.0,4.0,439.8,2.0,3.0,110.4,2.0,3.0,1934.0,2.0,3.0,1727.0
3.0,5.0,62.5,3.0,5.0,1271.0,2.0,5.0,1012.0,2.0,5.0,106.1,2.0,4.0,776.3,2.0,4.0,946.8
3.0,6.0,86.0,3.0,6.0,1355.0,2.0,6.0,1114.0,2.0,6.0,157.5,2.0,6.0,1639.0,2.0,5.0,2557.0
4.0,2.0,5.5,4.0,1.0,112.9,4.0,1.0,166.7,3.0,1.0,95.9,3.0,1.0,1549.0,3.0,1.0,1479.0
4.0,3.0,9.5,4.0,3.0,309.3,4.0,2.0,309.7,3.0,2.0,179.1,3.0,2.0,2382.0,3.0,2.0,2274.0
4.0,5.0,20.6,4.0,5.0,496.2,4.0,5.0,414.4,3.0,5.0,215.3,3.0,4.0,1549.0,3.0,4.0,1197.0
4.0,6.0,29.9,4.0,6.0,560.8,4.0,6.0,377.4,3.0,6.0,252.7,3.0,6.0,2694.0,3.0,5.0,3078.0
5.0,2.0,111.2,5.0,1.0,801.0,5.0,1.0,1082.0,5.0,1.0,40.9,4.0,1.0,233.4,4.0,1.0,376.2
5.0,3.0,147.1,5.0,3.0,1747.0,5.0,2.0,1628.0,5.0,2.0,65.7,4.0,2.0,353.0,4.0,2.0,685.7
5.0,4.0,85.7,5.0,4.0,1030.0,5.0,4.0,1077.0,5.0,3.0,116.1,4.0,3.0,578.0,4.0,3.0,852.3
5.0,6.0,187.4,5.0,6.0,2047.0,5.0,6.0,1582.0,5.0,6.0,62.0,4.0,6.0,352.2,4.0,5.0,686.7
6.0,2.0,186.6,6.0,1.0,967.0,6.0,1.0,1077.0,6.0,1.0,79.5,6.0,1.0,940.9,5.0,1.0,1479.0
6.0,3.0,204.2,6.0,3.0,1993.0,6.0,2.0,1862.0,6.0,2.0,144.8,6.0,2.0,1308.0,5.0,2.0,2357.0
6.0,4.0,110.1,6.0,4.0,1077.0,6.0,4.0,1008.0,6.0,3.0,215.6,6.0,3.0,1657.0,5.0,3.0,2586.0
6.0,5.0,272.6,6.0,5.0,2382.0,6.0,5.0,2165.0,6.0,5.0,112.9,6.0,4.0,624.2,5.0,4.0,916.1
