1,中村 真,中村 真.1,2,石田 貴洋,石田 貴洋.1,3,大塚 浩二,大塚 浩二.1,4,泥谷 一毅,泥谷 一毅.1,5,西村 秀樹,西村 秀樹.1,6,坂野　さくら,坂野　さくら.1
2.0,3.0,10.7,1.0,3.0,29.3,1.0,2.0,99.8,1.0,2.0,26.8,1.0,2.0,351.0,1.0,2.0,289.8
2.0,4.0,7.2,1.0,4.0,18.2,1.0,4.0,160.6,1.0,3.0,63.7,1.0,3.0,532.2,1.0,3.0,575.8
2.0,5.0,39.7,1.0,5.0,71.2,1.0,5.0,266.2,1.0,5.0,53.1,1.0,4.0,338.1,1.0,4.0,334.8
2.0,6.0,23.6,1.0,6.0,43.5,1.0,6.0,251.5,1.0,6.0,43.2,1.0,6.0,431.0,1.0,5.0,672.1
3.0,2.0,21.7,3.0,1.0,71.1,2.0,1.0,139.9,2.0,1.0,37.2,2.0,1.0,462.1,2.0,1.0,368.2
3.0,4.0,28.5,3.0,4.0,65.9,2.0,4.0,144.4,2.0,3.0,78.5,2.0,3.0,662.0,2.0,3.0,722.6
3.0,5.0,77.4,3.0,5.0,164.5,2.0,5.0,307.5,2.0,5.0,66.0,2.0,4.0,343.6,2.0,4.0,391.3
3.0,6.0,72.0,3.0,6.0,136.0,2.0,6.0,261.5,2.0,6.0,54.0,2.0,6.0,550.0,2.0,5.0,893.4
4.0,2.0,11.8,4.0,1.0,36.1,4.0,1.0,207.1,3.0,1.0,187.0,3.0,1.0,780.0,3.0,1.0,1148.0
4.0,3.0,30.6,4.0,3.0,60.7,4.0,2.0,183.5,3.0,2.0,156.3,3.0,2.0,872.3,3.0,2.0,1173.0
4.0,5.0,49.3,4.0,5.0,88.5,4.0,5.0,375.1,3.0,5.0,296.0,3.0,4.0,727.4,3.0,4.0,1068.0
4.0,6.0,36.9,4.0,6.0,66.3,4.0,6.0,371.0,3.0,6.0,276.0,3.0,6.0,1267.0,3.0,5.0,1579.0
5.0,2.0,115.9,5.0,1.0,260.1,5.0,1.0,495.8,5.0,1.0,69.8,4.0,1.0,300.2,4.0,1.0,410.6
5.0,3.0,156.3,5.0,3.0,334.0,5.0,2.0,538.0,5.0,2.0,68.6,4.0,2.0,261.2,4.0,2.0,378.6
5.0,4.0,125.6,5.0,4.0,213.1,5.0,4.0,615.9,5.0,3.0,197.0,4.0,3.0,557.0,4.0,3.0,875.7
5.0,6.0,146.7,5.0,6.0,307.9,5.0,6.0,759.9,5.0,6.0,72.7,4.0,6.0,288.1,4.0,5.0,585.0
6.0,2.0,68.2,6.0,1.0,175.6,6.0,1.0,534.1,6.0,1.0,74.5,6.0,1.0,666.0,5.0,1.0,1019.0
6.0,3.0,127.3,6.0,3.0,315.4,6.0,2.0,563.4,6.0,2.0,76.4,6.0,2.0,735.8,5.0,2.0,1173.0
6.0,4.0,81.4,6.0,4.0,171.4,6.0,4.0,679.3,6.0,3.0,200.6,6.0,3.0,1228.0,5.0,3.0,1585.0
6.0,5.0,191.4,6.0,5.0,435.7,6.0,5.0,945.0,6.0,5.0,103.0,6.0,4.0,544.0,5.0,4.0,888.0
