1,柳生 泰二,柳生 泰二.1,2,伊藤 啓三,伊藤 啓三.1,3,向井田　佑紀,向井田　佑紀.1,4,杉山 太陽,杉山 太陽.1,5,内田 圭,内田 圭.1,6,上田 洋平,上田 洋平.1
2.0,3.0,2.8,1.0,3.0,23.4,1.0,2.0,34.7,1.0,2.0,654.4,1.0,2.0,544.1,1.0,2.0,522.1
2.0,4.0,26.2,1.0,4.0,142.0,1.0,4.0,105.4,1.0,3.0,696.1,1.0,3.0,525.0,1.0,3.0,749.4
2.0,5.0,13.5,1.0,5.0,103.3,1.0,5.0,106.1,1.0,5.0,1285.0,1.0,4.0,1494.0,1.0,4.0,1868.0
2.0,6.0,8.3,1.0,6.0,62.5,1.0,6.0,66.6,1.0,6.0,1131.0,1.0,6.0,1193.0,1.0,5.0,2407.0
3.0,2.0,4.9,3.0,1.0,62.3,2.0,1.0,70.8,2.0,1.0,1079.0,2.0,1.0,802.3,2.0,1.0,733.9
3.0,4.0,24.7,3.0,4.0,483.8,2.0,4.0,434.9,2.0,3.0,1193.0,2.0,3.0,1434.0,2.0,3.0,1173.0
3.0,5.0,16.4,3.0,5.0,376.1,2.0,5.0,383.8,2.0,5.0,2272.0,2.0,4.0,3054.0,2.0,4.0,3737.0
3.0,6.0,11.6,3.0,6.0,247.1,2.0,6.0,213.2,2.0,6.0,1569.0,2.0,6.0,1711.0,2.0,5.0,3641.0
4.0,2.0,111.9,4.0,1.0,715.4,4.0,1.0,305.0,3.0,1.0,898.8,3.0,1.0,692.7,3.0,1.0,986.2
4.0,3.0,106.0,4.0,3.0,1213.0,4.0,2.0,596.6,3.0,2.0,1449.0,3.0,2.0,1479.0,3.0,2.0,1385.0
4.0,5.0,245.9,4.0,5.0,2135.0,4.0,5.0,832.9,3.0,5.0,1844.0,3.0,4.0,2605.0,3.0,4.0,3264.0
4.0,6.0,206.8,4.0,6.0,1623.0,4.0,6.0,525.0,3.0,6.0,2073.0,3.0,6.0,2058.0,3.0,5.0,3506.0
5.0,2.0,70.8,5.0,1.0,655.9,5.0,1.0,403.4,5.0,1.0,1856.0,4.0,1.0,2407.0,4.0,1.0,4239.0
5.0,3.0,81.5,5.0,3.0,1092.0,5.0,2.0,726.4,5.0,2.0,2868.0,4.0,2.0,3737.0,4.0,2.0,5164.0
5.0,4.0,245.6,5.0,4.0,2605.0,5.0,4.0,1240.0,5.0,3.0,2272.0,4.0,3.0,3302.0,4.0,3.0,4176.0
5.0,6.0,157.9,5.0,6.0,1586.0,5.0,6.0,882.0,5.0,6.0,2236.0,4.0,6.0,2840.0,4.0,5.0,4176.0
6.0,2.0,53.6,6.0,1.0,405.1,6.0,1.0,289.2,6.0,1.0,1641.0,6.0,1.0,1510.0,5.0,1.0,3155.0
6.0,3.0,61.7,6.0,3.0,620.1,6.0,2.0,481.4,6.0,2.0,2000.0,6.0,2.0,2491.0,5.0,2.0,4239.0
6.0,4.0,272.0,6.0,4.0,1680.0,6.0,4.0,649.9,6.0,3.0,2014.0,6.0,3.0,2328.0,5.0,3.0,4176.0
6.0,5.0,238.8,6.0,5.0,1604.0,6.0,5.0,993.0,6.0,5.0,2427.0,6.0,4.0,2731.0,5.0,4.0,4508.0
