1,奥平 拓也,奥平 拓也.1,2,川北 浩貴,川北 浩貴.1,3,杉山 太陽,杉山 太陽.1,4,峰重 力也,峰重 力也.1,5,渡辺 浩司,渡辺 浩司.1,6,寺田 祥,寺田 祥.1
2.0,3.0,162.2,1.0,3.0,134.2,1.0,2.0,482.3,1.0,2.0,220.8,1.0,2.0,55.8,1.0,2.0,182.2
2.0,4.0,83.0,1.0,4.0,67.5,1.0,4.0,731.0,1.0,3.0,709.0,1.0,3.0,375.1,1.0,3.0,506.4
2.0,5.0,24.4,1.0,5.0,21.2,1.0,5.0,606.0,1.0,5.0,168.0,1.0,4.0,152.8,1.0,4.0,326.7
2.0,6.0,32.5,1.0,6.0,23.7,1.0,6.0,616.5,1.0,6.0,182.7,1.0,6.0,42.8,1.0,5.0,160.7
3.0,2.0,179.0,3.0,1.0,228.7,2.0,1.0,489.0,2.0,1.0,195.3,2.0,1.0,51.0,2.0,1.0,156.5
3.0,4.0,349.2,3.0,4.0,168.4,2.0,4.0,308.2,2.0,3.0,331.3,2.0,3.0,244.5,2.0,3.0,329.8
3.0,5.0,345.8,3.0,5.0,129.1,2.0,5.0,326.7,2.0,5.0,69.5,2.0,4.0,56.4,2.0,4.0,136.8
3.0,6.0,303.0,3.0,6.0,186.1,2.0,6.0,305.6,2.0,6.0,75.5,2.0,6.0,18.9,2.0,5.0,38.9
4.0,2.0,118.5,4.0,1.0,103.9,4.0,1.0,984.8,3.0,1.0,909.0,3.0,1.0,445.9,3.0,1.0,723.5
4.0,3.0,262.6,4.0,3.0,143.2,4.0,2.0,451.6,3.0,2.0,513.8,3.0,2.0,358.1,3.0,2.0,437.6
4.0,5.0,132.5,4.0,5.0,31.9,4.0,5.0,562.7,3.0,5.0,595.8,3.0,4.0,492.4,3.0,4.0,746.3
4.0,6.0,126.1,4.0,6.0,36.1,4.0,6.0,586.0,3.0,6.0,638.8,3.0,6.0,260.6,3.0,5.0,472.7
5.0,2.0,43.5,5.0,1.0,26.5,5.0,1.0,681.8,5.0,1.0,110.9,4.0,1.0,124.1,4.0,1.0,400.6
5.0,3.0,337.6,5.0,3.0,116.0,5.0,2.0,429.7,5.0,2.0,57.9,4.0,2.0,66.9,4.0,2.0,173.7
5.0,4.0,123.9,5.0,4.0,28.8,5.0,4.0,616.5,5.0,3.0,422.0,4.0,3.0,427.1,4.0,3.0,675.3
5.0,6.0,31.2,5.0,6.0,11.1,5.0,6.0,398.3,5.0,6.0,37.9,4.0,6.0,44.3,4.0,5.0,123.7
6.0,2.0,90.6,6.0,1.0,54.1,6.0,1.0,675.3,6.0,1.0,179.9,6.0,1.0,47.5,5.0,1.0,124.3
6.0,3.0,422.0,6.0,3.0,145.3,6.0,2.0,454.5,6.0,2.0,80.5,6.0,2.0,24.2,5.0,2.0,39.1
6.0,4.0,227.9,6.0,4.0,45.7,6.0,4.0,590.8,6.0,3.0,445.9,6.0,3.0,220.8,5.0,3.0,329.8
6.0,5.0,51.7,6.0,5.0,18.0,6.0,5.0,445.9,6.0,5.0,56.0,6.0,4.0,46.9,5.0,4.0,104.4
