1,竹間 隆晟,竹間 隆晟.1,2,齊藤 大将,齊藤 大将.1,3,山下 流心,山下 流心.1,4,西村 秀樹,西村 秀樹.1,5,長尾 章平,長尾 章平.1,6,井内　将太郎,井内　将太郎.1
2.0,3.0,24.8,1.0,3.0,194.9,1.0,2.0,181.5,1.0,2.0,443.4,1.0,2.0,72.7,1.0,2.0,243.7
2.0,4.0,35.0,1.0,4.0,281.1,1.0,4.0,193.3,1.0,3.0,518.3,1.0,3.0,64.7,1.0,3.0,293.5
2.0,5.0,9.6,1.0,5.0,133.9,1.0,5.0,71.9,1.0,5.0,262.3,1.0,4.0,145.5,1.0,4.0,435.8
2.0,6.0,18.0,1.0,6.0,197.1,1.0,6.0,109.7,1.0,6.0,339.1,1.0,6.0,36.6,1.0,5.0,100.8
3.0,2.0,22.3,3.0,1.0,370.0,2.0,1.0,351.8,2.0,1.0,797.1,2.0,1.0,233.2,2.0,1.0,594.0
3.0,4.0,42.0,3.0,4.0,946.9,2.0,4.0,769.5,2.0,3.0,1321.0,2.0,3.0,514.0,2.0,3.0,1373.0
3.0,5.0,10.3,3.0,5.0,499.7,2.0,5.0,426.9,2.0,5.0,1166.0,2.0,4.0,805.6,2.0,4.0,1947.0
3.0,6.0,20.7,3.0,6.0,851.0,2.0,6.0,769.5,2.0,6.0,1394.0,2.0,6.0,343.1,2.0,5.0,706.2
4.0,2.0,51.3,4.0,1.0,632.9,4.0,1.0,345.0,3.0,1.0,718.3,3.0,1.0,141.3,3.0,1.0,529.9
4.0,3.0,70.1,4.0,3.0,937.5,4.0,2.0,832.2,3.0,2.0,1399.0,3.0,2.0,478.2,3.0,2.0,1561.0
4.0,5.0,28.1,4.0,5.0,1101.0,4.0,5.0,408.0,3.0,5.0,809.0,3.0,4.0,603.5,3.0,4.0,1607.0
4.0,6.0,44.7,4.0,6.0,1373.0,4.0,6.0,757.2,3.0,6.0,1191.0,3.0,6.0,220.7,3.0,5.0,611.4
5.0,2.0,11.2,5.0,1.0,226.5,5.0,1.0,112.5,5.0,1.0,267.5,4.0,1.0,276.8,4.0,1.0,774.2
5.0,3.0,13.0,5.0,3.0,480.1,5.0,2.0,313.0,5.0,2.0,666.3,4.0,2.0,719.7,4.0,2.0,1694.0
5.0,4.0,27.4,5.0,4.0,868.6,5.0,4.0,410.7,5.0,3.0,736.5,4.0,3.0,667.5,4.0,3.0,1607.0
5.0,6.0,8.6,5.0,6.0,368.2,5.0,6.0,159.9,5.0,6.0,243.7,4.0,6.0,246.3,4.0,5.0,620.4
6.0,2.0,30.9,6.0,1.0,480.1,6.0,1.0,293.1,6.0,1.0,488.8,6.0,1.0,57.3,5.0,1.0,119.9
6.0,3.0,35.8,6.0,3.0,1040.0,6.0,2.0,821.4,6.0,2.0,1038.0,6.0,2.0,160.7,5.0,2.0,447.1
6.0,4.0,52.6,6.0,4.0,1384.0,6.0,4.0,852.9,6.0,3.0,1138.0,6.0,3.0,139.1,5.0,3.0,446.6
6.0,5.0,17.2,6.0,5.0,536.7,6.0,5.0,268.3,6.0,5.0,375.9,6.0,4.0,202.4,5.0,4.0,456.8
