1,大橋　栄里佳,大橋　栄里佳.1,2,植木 美帆,植木 美帆.1,3,嶋田 有里,嶋田 有里.1,4,石井 裕美,石井 裕美.1,5,仁科　さやか,仁科　さやか.1,6,小池 礼乃,小池 礼乃.1
2.0,3.0,25.8,1.0,3.0,113.1,1.0,2.0,75.8,1.0,2.0,121.3,1.0,2.0,430.5,1.0,2.0,217.6
2.0,4.0,33.3,1.0,4.0,123.6,1.0,4.0,32.0,1.0,3.0,62.5,1.0,3.0,240.1,1.0,3.0,123.9
2.0,5.0,80.2,1.0,5.0,254.4,1.0,5.0,68.9,1.0,5.0,75.9,1.0,4.0,213.5,1.0,4.0,82.8
2.0,6.0,45.0,1.0,6.0,175.0,1.0,6.0,38.0,1.0,6.0,41.3,1.0,6.0,187.1,1.0,5.0,197.6
3.0,2.0,23.3,3.0,1.0,176.1,2.0,1.0,157.2,2.0,1.0,236.1,2.0,1.0,793.1,2.0,1.0,554.8
3.0,4.0,9.7,3.0,4.0,256.6,2.0,4.0,238.2,2.0,3.0,312.6,2.0,3.0,945.4,2.0,3.0,764.8
3.0,5.0,23.8,3.0,5.0,542.0,2.0,5.0,438.5,2.0,5.0,522.9,2.0,4.0,988.9,2.0,4.0,638.7
3.0,6.0,11.6,3.0,6.0,354.3,2.0,6.0,292.1,2.0,6.0,304.9,2.0,6.0,812.2,2.0,5.0,1291.0
4.0,2.0,33.6,4.0,1.0,205.7,4.0,1.0,58.6,3.0,1.0,105.4,3.0,1.0,381.8,3.0,1.0,206.6
4.0,3.0,14.1,4.0,3.0,293.6,4.0,2.0,209.9,3.0,2.0,326.9,3.0,2.0,1023.0,3.0,2.0,747.9
4.0,5.0,22.3,4.0,5.0,590.8,4.0,5.0,140.2,3.0,5.0,262.9,3.0,4.0,558.7,3.0,4.0,288.2
4.0,6.0,10.5,4.0,6.0,273.2,4.0,6.0,68.6,3.0,6.0,138.1,3.0,6.0,477.4,3.0,5.0,606.0
5.0,2.0,117.3,5.0,1.0,528.7,5.0,1.0,160.5,5.0,1.0,123.1,4.0,1.0,286.8,4.0,1.0,127.6
5.0,3.0,57.5,5.0,3.0,881.9,5.0,2.0,428.1,5.0,2.0,338.1,4.0,2.0,862.6,4.0,2.0,526.3
5.0,4.0,53.1,5.0,4.0,812.2,5.0,4.0,217.8,5.0,3.0,289.2,4.0,3.0,539.6,4.0,3.0,308.5
5.0,6.0,45.0,5.0,6.0,729.4,5.0,6.0,203.9,5.0,6.0,112.8,4.0,6.0,256.3,4.0,5.0,311.4
6.0,2.0,71.6,6.0,1.0,419.8,6.0,1.0,97.3,6.0,1.0,64.2,6.0,1.0,224.0,5.0,1.0,342.5
6.0,3.0,27.4,6.0,3.0,610.7,6.0,2.0,349.1,6.0,2.0,252.2,6.0,2.0,707.6,5.0,2.0,976.6
6.0,4.0,21.7,6.0,4.0,445.9,6.0,4.0,121.0,6.0,3.0,145.8,6.0,3.0,469.8,5.0,3.0,757.5
6.0,5.0,46.8,6.0,5.0,945.4,6.0,5.0,241.1,6.0,5.0,122.0,6.0,4.0,308.5,5.0,4.0,422.0
