1,重富 伸也,重富 伸也.1,2,岸本 隆,岸本 隆.1,3,西村 秀樹,西村 秀樹.1,4,東 潤樹,東 潤樹.1,5,佐野 優都,佐野 優都.1,6,渡辺 空依,渡辺 空依.1
2.0,3.0,6.4,1.0,3.0,17.5,1.0,2.0,73.2,1.0,2.0,83.6,1.0,2.0,438.9,1.0,2.0,152.8
2.0,4.0,7.5,1.0,4.0,15.8,1.0,4.0,87.1,1.0,3.0,143.7,1.0,3.0,469.9,1.0,3.0,249.8
2.0,5.0,37.6,1.0,5.0,61.8,1.0,5.0,288.2,1.0,5.0,432.4,1.0,4.0,706.0,1.0,4.0,284.3
2.0,6.0,13.6,1.0,6.0,26.6,1.0,6.0,109.7,1.0,6.0,125.4,1.0,6.0,638.2,1.0,5.0,839.9
3.0,2.0,12.8,3.0,1.0,60.6,2.0,1.0,101.6,2.0,1.0,108.2,2.0,1.0,477.6,2.0,1.0,186.9
3.0,4.0,19.5,3.0,4.0,86.6,2.0,4.0,141.7,2.0,3.0,181.3,2.0,3.0,734.4,2.0,3.0,388.7
3.0,5.0,67.2,3.0,5.0,299.5,2.0,5.0,468.4,2.0,5.0,529.5,2.0,4.0,749.5,2.0,4.0,319.8
3.0,6.0,25.2,3.0,6.0,106.9,2.0,6.0,172.9,2.0,6.0,153.3,2.0,6.0,670.4,2.0,5.0,980.9
4.0,2.0,18.5,4.0,1.0,49.1,4.0,1.0,159.3,3.0,1.0,239.9,3.0,1.0,712.9,3.0,1.0,438.9
4.0,3.0,31.9,4.0,3.0,79.7,4.0,2.0,157.6,3.0,2.0,226.9,3.0,2.0,961.5,3.0,2.0,646.7
4.0,5.0,122.0,4.0,5.0,242.3,4.0,5.0,692.6,3.0,5.0,1051.0,3.0,4.0,1491.0,3.0,4.0,835.1
4.0,6.0,36.4,4.0,6.0,76.2,4.0,6.0,205.5,3.0,6.0,286.5,3.0,6.0,1522.0,3.0,5.0,1948.0
5.0,2.0,133.8,5.0,1.0,239.6,5.0,1.0,641.0,5.0,1.0,794.3,4.0,1.0,961.5,4.0,1.0,402.6
5.0,3.0,168.7,5.0,3.0,441.5,5.0,2.0,930.9,5.0,2.0,807.4,4.0,2.0,1124.0,4.0,2.0,438.9
5.0,4.0,220.4,5.0,4.0,367.2,5.0,4.0,1001.0,5.0,3.0,1169.0,4.0,3.0,1340.0,4.0,3.0,816.5
5.0,6.0,181.5,5.0,6.0,395.0,5.0,6.0,1169.0,5.0,6.0,702.6,4.0,6.0,942.9,4.0,5.0,1391.0
6.0,2.0,37.3,6.0,1.0,94.6,6.0,1.0,238.8,6.0,1.0,205.8,6.0,1.0,961.5,5.0,1.0,1328.0
6.0,3.0,52.8,6.0,3.0,143.7,6.0,2.0,287.1,6.0,2.0,204.1,6.0,2.0,1132.0,5.0,2.0,1340.0
6.0,4.0,65.4,6.0,4.0,127.8,6.0,4.0,379.6,6.0,3.0,365.3,6.0,3.0,1571.0,5.0,3.0,2118.0
6.0,5.0,182.6,6.0,5.0,422.4,6.0,5.0,1328.0,6.0,5.0,676.6,6.0,4.0,1270.0,5.0,4.0,1506.0
