1,木場　雄二郎,木場　雄二郎.1,2,小林 基樹,小林 基樹.1,3,乙津 康志,乙津 康志.1,4,塩田 北斗,塩田 北斗.1,5,荒川 健太,荒川 健太.1,6,豊田 泰洋,豊田 泰洋.1
2.0,3.0,61.1,1.0,3.0,212.0,1.0,2.0,321.6,1.0,2.0,38.5,1.0,2.0,187.4,1.0,2.0,1597.0
2.0,4.0,31.9,1.0,4.0,99.4,1.0,4.0,117.4,1.0,3.0,31.8,1.0,3.0,186.0,1.0,3.0,1942.0
2.0,5.0,48.4,1.0,5.0,172.8,1.0,5.0,161.0,1.0,5.0,12.2,1.0,4.0,63.6,1.0,4.0,904.2
2.0,6.0,218.8,1.0,6.0,495.7,1.0,6.0,336.7,1.0,6.0,38.8,1.0,6.0,156.6,1.0,5.0,1198.0
3.0,2.0,64.3,3.0,1.0,345.6,2.0,1.0,379.3,2.0,1.0,88.2,2.0,1.0,345.6,2.0,1.0,2178.0
3.0,4.0,27.6,3.0,4.0,336.7,2.0,4.0,290.4,2.0,3.0,148.6,2.0,3.0,476.0,2.0,3.0,2712.0
3.0,5.0,46.1,3.0,5.0,466.8,2.0,5.0,447.9,2.0,5.0,54.8,2.0,4.0,227.8,2.0,4.0,1239.0
3.0,6.0,181.5,3.0,6.0,915.8,2.0,6.0,675.0,2.0,6.0,138.6,2.0,6.0,294.0,2.0,5.0,1529.0
4.0,2.0,20.7,4.0,1.0,149.4,4.0,1.0,117.7,3.0,1.0,72.0,3.0,1.0,303.3,3.0,1.0,1891.0
4.0,3.0,18.7,4.0,3.0,261.4,4.0,2.0,260.4,3.0,2.0,147.9,3.0,2.0,463.8,3.0,2.0,2357.0
4.0,5.0,12.8,4.0,5.0,129.1,4.0,5.0,80.3,3.0,5.0,40.8,3.0,4.0,152.3,3.0,4.0,1208.0
4.0,6.0,60.5,4.0,6.0,364.0,4.0,6.0,251.3,3.0,6.0,120.9,3.0,6.0,346.4,3.0,5.0,1437.0
5.0,2.0,72.5,5.0,1.0,387.5,5.0,1.0,244.9,5.0,1.0,9.8,4.0,1.0,39.3,4.0,1.0,777.1
5.0,3.0,67.7,5.0,3.0,579.7,5.0,2.0,447.9,5.0,2.0,30.7,4.0,2.0,101.5,4.0,2.0,1159.0
5.0,4.0,28.3,5.0,4.0,278.6,5.0,4.0,123.5,5.0,3.0,20.3,4.0,3.0,71.6,4.0,3.0,1307.0
5.0,6.0,129.8,5.0,6.0,500.9,5.0,6.0,346.4,5.0,6.0,10.2,4.0,6.0,36.5,4.0,5.0,317.3
6.0,2.0,447.9,6.0,1.0,1228.0,6.0,1.0,1089.0,6.0,1.0,93.3,6.0,1.0,260.4,5.0,1.0,1178.0
6.0,3.0,468.3,6.0,3.0,1409.0,6.0,2.0,1580.0,6.0,2.0,153.7,6.0,2.0,380.3,5.0,2.0,1562.0
6.0,4.0,292.8,6.0,4.0,971.4,6.0,4.0,711.7,6.0,3.0,165.6,6.0,3.0,410.8,5.0,3.0,1482.0
6.0,5.0,405.0,6.0,5.0,1123.0,6.0,5.0,1012.0,6.0,5.0,50.2,6.0,4.0,132.6,5.0,4.0,322.3
