1,上野 俊樹,上野 俊樹.1,2,山口 隆史,山口 隆史.1,3,川添 英正,川添 英正.1,4,伊藤 尚汰,伊藤 尚汰.1,5,林 恵祐,林 恵祐.1,6,小林 遼太,小林 遼太.1
2.0,3.0,10.3,1.0,3.0,17.5,1.0,2.0,37.7,1.0,2.0,118.9,1.0,2.0,384.6,1.0,2.0,198.4
2.0,4.0,24.6,1.0,4.0,35.1,1.0,4.0,54.0,1.0,3.0,129.8,1.0,3.0,408.3,1.0,3.0,310.0
2.0,5.0,48.0,1.0,5.0,58.2,1.0,5.0,76.9,1.0,5.0,195.7,1.0,4.0,590.6,1.0,4.0,332.9
2.0,6.0,27.9,1.0,6.0,27.8,1.0,6.0,50.2,1.0,6.0,116.6,1.0,6.0,344.5,1.0,5.0,628.0
3.0,2.0,13.2,3.0,1.0,29.4,2.0,1.0,36.2,2.0,1.0,162.1,2.0,1.0,496.1,2.0,1.0,211.1
3.0,4.0,23.6,3.0,4.0,42.0,2.0,4.0,44.6,2.0,3.0,125.2,2.0,3.0,557.4,2.0,3.0,221.0
3.0,5.0,44.6,3.0,5.0,65.8,2.0,5.0,82.8,2.0,5.0,209.3,2.0,4.0,751.7,2.0,4.0,268.9
3.0,6.0,26.3,3.0,6.0,34.9,2.0,6.0,40.3,2.0,6.0,120.4,2.0,6.0,491.2,2.0,5.0,418.6
4.0,2.0,48.2,4.0,1.0,73.2,4.0,1.0,85.6,3.0,1.0,178.1,3.0,1.0,501.1,3.0,1.0,433.3
4.0,3.0,45.8,4.0,3.0,63.1,4.0,2.0,66.3,3.0,2.0,142.3,3.0,2.0,616.3,3.0,2.0,274.8
4.0,5.0,121.1,4.0,5.0,119.8,4.0,5.0,126.5,3.0,5.0,246.8,3.0,4.0,570.2,3.0,4.0,390.6
4.0,6.0,69.5,4.0,6.0,74.9,4.0,6.0,65.9,3.0,6.0,154.3,3.0,6.0,481.7,3.0,5.0,636.0
5.0,2.0,115.7,5.0,1.0,162.6,5.0,1.0,172.8,5.0,1.0,249.9,4.0,1.0,679.6,4.0,1.0,493.6
5.0,3.0,113.0,5.0,3.0,140.5,5.0,2.0,171.6,5.0,2.0,242.6,4.0,2.0,652.8,4.0,2.0,313.0
5.0,4.0,202.5,5.0,4.0,216.6,5.0,4.0,197.6,5.0,3.0,288.4,4.0,3.0,661.5,4.0,3.0,446.9
5.0,6.0,160.0,5.0,6.0,165.9,5.0,6.0,164.5,5.0,6.0,166.7,4.0,6.0,453.1,4.0,5.0,601.3
6.0,2.0,76.2,6.0,1.0,102.4,6.0,1.0,114.3,6.0,1.0,166.4,6.0,1.0,519.5,5.0,1.0,1012.0
6.0,3.0,92.1,6.0,3.0,79.1,6.0,2.0,88.0,6.0,2.0,144.2,6.0,2.0,698.8,5.0,2.0,632.0
6.0,4.0,144.2,6.0,4.0,146.3,6.0,4.0,108.5,6.0,3.0,205.8,6.0,3.0,665.9,5.0,3.0,735.0
6.0,5.0,178.4,6.0,5.0,205.4,6.0,5.0,212.4,6.0,5.0,205.8,6.0,4.0,729.6,5.0,4.0,636.0
