1,品川　二千翔,品川　二千翔.1,2,西川 拓利,西川 拓利.1,3,久永 祥平,久永 祥平.1,4,仲本 舜,仲本 舜.1,5,大森 翼,大森 翼.1,6,上瀧 絢也,上瀧 絢也.1
2.0,3.0,12.2,1.0,3.0,66.7,1.0,2.0,17.0,1.0,2.0,166.5,1.0,2.0,221.2,1.0,2.0,461.4
2.0,4.0,29.2,1.0,4.0,129.6,1.0,4.0,27.7,1.0,3.0,126.9,1.0,3.0,105.2,1.0,3.0,236.6
2.0,5.0,43.6,1.0,5.0,184.1,1.0,5.0,16.0,1.0,5.0,259.9,1.0,4.0,326.0,1.0,4.0,615.2
2.0,6.0,66.8,1.0,6.0,239.0,1.0,6.0,25.2,1.0,6.0,322.6,1.0,6.0,187.1,1.0,5.0,470.8
3.0,2.0,7.2,3.0,1.0,90.1,2.0,1.0,54.3,2.0,1.0,292.9,2.0,1.0,404.7,2.0,1.0,795.5
3.0,4.0,11.7,3.0,4.0,276.2,2.0,4.0,119.3,2.0,3.0,339.2,2.0,3.0,359.0,2.0,3.0,1036.0
3.0,5.0,8.3,3.0,5.0,242.2,2.0,5.0,114.3,2.0,5.0,756.3,2.0,4.0,1183.0,2.0,4.0,1318.0
3.0,6.0,16.7,3.0,6.0,366.1,2.0,6.0,132.2,2.0,6.0,802.4,2.0,6.0,584.0,2.0,5.0,1538.0
4.0,2.0,43.5,4.0,1.0,302.5,4.0,1.0,66.1,3.0,1.0,179.1,3.0,1.0,142.6,3.0,1.0,308.6
4.0,3.0,30.3,4.0,3.0,401.2,4.0,2.0,142.8,3.0,2.0,334.3,3.0,2.0,322.6,3.0,2.0,732.3
4.0,5.0,80.2,4.0,5.0,744.1,4.0,5.0,100.1,3.0,5.0,290.1,3.0,4.0,490.8,3.0,4.0,887.3
4.0,6.0,88.4,4.0,6.0,732.3,4.0,6.0,127.8,3.0,6.0,350.8,3.0,6.0,254.9,3.0,5.0,475.6
5.0,2.0,58.1,5.0,1.0,507.0,5.0,1.0,42.1,5.0,1.0,360.4,4.0,1.0,468.4,4.0,1.0,913.6
5.0,3.0,30.1,5.0,3.0,431.2,5.0,2.0,117.5,5.0,2.0,809.4,4.0,2.0,1299.0,4.0,2.0,1647.0
5.0,4.0,91.0,5.0,4.0,1025.0,5.0,4.0,116.3,5.0,3.0,478.1,4.0,3.0,591.5,4.0,3.0,1168.0
5.0,6.0,66.4,5.0,6.0,895.9,5.0,6.0,67.4,5.0,6.0,640.8,4.0,6.0,762.6,4.0,5.0,1618.0
6.0,2.0,130.1,6.0,1.0,615.2,6.0,1.0,92.5,6.0,1.0,619.3,6.0,1.0,270.6,5.0,1.0,599.2
6.0,3.0,65.2,6.0,3.0,782.0,6.0,2.0,247.3,6.0,2.0,895.9,6.0,2.0,573.1,5.0,2.0,1230.0
6.0,4.0,175.1,6.0,4.0,1230.0,6.0,4.0,254.9,6.0,3.0,654.4,6.0,3.0,265.9,5.0,3.0,530.3
6.0,5.0,127.4,6.0,5.0,1247.0,6.0,5.0,135.5,6.0,5.0,788.7,6.0,4.0,823.9,5.0,4.0,1230.0
