1,大賀 広幸,大賀 広幸.1,2,川村 正輝,川村 正輝.1,3,嶋 義信,嶋 義信.1,4,南野 利騰,南野 利騰.1,5,盛本 真輔,盛本 真輔.1,6,江本 真治,江本 真治.1
2.0,3.0,21.5,1.0,3.0,112.5,1.0,2.0,58.5,1.0,2.0,229.3,1.0,2.0,241.8,1.0,2.0,620.9
2.0,4.0,33.5,1.0,4.0,157.8,1.0,4.0,20.0,1.0,3.0,85.9,1.0,3.0,113.0,1.0,3.0,286.6
2.0,5.0,43.7,1.0,5.0,176.4,1.0,5.0,18.9,1.0,5.0,89.8,1.0,4.0,174.1,1.0,4.0,518.3
2.0,6.0,52.0,1.0,6.0,181.9,1.0,6.0,29.4,1.0,6.0,109.5,1.0,6.0,137.5,1.0,5.0,409.3
3.0,2.0,16.5,3.0,1.0,199.6,2.0,1.0,190.2,2.0,1.0,504.8,2.0,1.0,678.1,2.0,1.0,1319.0
3.0,4.0,7.4,3.0,4.0,466.5,2.0,4.0,294.8,2.0,3.0,775.5,2.0,3.0,1081.0,2.0,3.0,1772.0
3.0,5.0,8.5,3.0,5.0,519.3,2.0,5.0,306.6,2.0,5.0,761.4,2.0,4.0,1357.0,2.0,4.0,2295.0
3.0,6.0,12.5,3.0,6.0,516.6,2.0,6.0,294.7,2.0,6.0,690.5,2.0,6.0,1010.0,2.0,5.0,1918.0
4.0,2.0,44.8,4.0,1.0,529.7,4.0,1.0,48.7,3.0,1.0,112.8,3.0,1.0,182.1,3.0,1.0,386.6
4.0,3.0,17.7,4.0,3.0,831.5,4.0,2.0,203.9,3.0,2.0,456.9,3.0,2.0,709.0,3.0,2.0,1362.0
4.0,5.0,27.7,4.0,5.0,1089.0,4.0,5.0,62.4,3.0,5.0,153.1,3.0,4.0,362.6,3.0,4.0,772.5
4.0,6.0,36.4,4.0,6.0,1003.0,4.0,6.0,76.4,3.0,6.0,183.4,3.0,6.0,307.0,3.0,5.0,862.2
5.0,2.0,61.0,5.0,1.0,702.1,5.0,1.0,70.8,5.0,1.0,130.5,4.0,1.0,283.0,4.0,1.0,834.1
5.0,3.0,23.3,5.0,3.0,1120.0,5.0,2.0,293.4,5.0,2.0,432.3,4.0,2.0,899.3,4.0,2.0,2068.0
5.0,4.0,38.6,5.0,4.0,1430.0,5.0,4.0,113.5,5.0,3.0,196.9,4.0,3.0,390.4,4.0,3.0,1077.0
5.0,6.0,37.1,5.0,6.0,1242.0,5.0,6.0,103.9,5.0,6.0,151.7,4.0,6.0,347.0,4.0,5.0,1000.0
6.0,2.0,119.1,6.0,1.0,809.5,6.0,1.0,112.0,6.0,1.0,220.4,6.0,1.0,293.5,5.0,1.0,671.2
6.0,3.0,53.2,6.0,3.0,1154.0,6.0,2.0,394.3,6.0,2.0,613.7,6.0,2.0,802.9,5.0,2.0,1671.0
6.0,4.0,87.3,6.0,4.0,1575.0,6.0,4.0,182.6,6.0,3.0,310.0,6.0,3.0,410.4,5.0,3.0,1036.0
6.0,5.0,84.0,6.0,5.0,1657.0,6.0,5.0,177.2,6.0,5.0,285.9,6.0,4.0,476.6,5.0,4.0,1019.0
