1,鈴木 博,鈴木 博.1,2,百武 翔,百武 翔.1,3,柴田 大輔,柴田 大輔.1,4,鳥飼 眞,鳥飼 眞.1,5,田中 豪,田中 豪.1,6,原田 秀弥,原田 秀弥.1
2.0,3.0,7.3,1.0,3.0,84.6,1.0,2.0,88.1,1.0,2.0,82.5,1.0,2.0,283.4,1.0,2.0,623.0
2.0,4.0,7.0,1.0,4.0,85.1,1.0,4.0,65.3,1.0,3.0,114.7,1.0,3.0,364.9,1.0,3.0,1400.0
2.0,5.0,15.2,1.0,5.0,120.1,1.0,5.0,85.7,1.0,5.0,82.5,1.0,4.0,266.7,1.0,4.0,1168.0
2.0,6.0,28.6,1.0,6.0,150.4,1.0,6.0,136.8,1.0,6.0,131.9,1.0,6.0,328.0,1.0,5.0,1067.0
3.0,2.0,10.6,3.0,1.0,197.8,2.0,1.0,182.5,2.0,1.0,192.8,2.0,1.0,524.4,2.0,1.0,1044.0
3.0,4.0,10.6,3.0,4.0,359.6,2.0,4.0,273.0,2.0,3.0,388.6,2.0,3.0,1061.0,2.0,3.0,2639.0
3.0,5.0,17.3,3.0,5.0,524.4,2.0,5.0,368.0,2.0,5.0,318.8,2.0,4.0,958.1,2.0,4.0,2375.0
3.0,6.0,35.1,3.0,6.0,577.5,2.0,6.0,541.9,2.0,6.0,408.0,2.0,6.0,1003.0,2.0,5.0,2043.0
4.0,2.0,12.7,4.0,1.0,231.8,4.0,1.0,89.4,3.0,1.0,147.4,3.0,1.0,600.0,3.0,1.0,1952.0
4.0,3.0,18.1,4.0,3.0,453.5,4.0,2.0,195.3,3.0,2.0,272.6,3.0,2.0,1025.0,3.0,2.0,2754.0
4.0,5.0,19.9,4.0,5.0,481.4,4.0,5.0,110.7,3.0,5.0,177.2,3.0,4.0,870.3,3.0,4.0,2808.0
4.0,6.0,33.8,4.0,6.0,651.5,4.0,6.0,152.7,3.0,6.0,229.5,3.0,6.0,1156.0,3.0,5.0,3497.0
5.0,2.0,33.8,5.0,1.0,398.9,5.0,1.0,179.2,5.0,1.0,138.0,4.0,1.0,333.7,4.0,1.0,1454.0
5.0,3.0,40.2,5.0,3.0,883.8,5.0,2.0,325.5,5.0,2.0,230.7,4.0,2.0,605.1,4.0,2.0,2135.0
5.0,4.0,40.9,5.0,4.0,740.3,5.0,4.0,244.4,5.0,3.0,327.0,4.0,3.0,874.3,4.0,3.0,2822.0
5.0,6.0,57.2,5.0,6.0,850.8,5.0,6.0,361.2,5.0,6.0,193.9,4.0,6.0,435.8,4.0,5.0,1676.0
6.0,2.0,89.1,6.0,1.0,591.9,6.0,1.0,469.5,6.0,1.0,297.5,6.0,1.0,656.7,5.0,1.0,1322.0
6.0,3.0,126.4,6.0,3.0,1344.0,6.0,2.0,861.1,6.0,2.0,447.1,6.0,2.0,1195.0,5.0,2.0,2346.0
6.0,4.0,117.4,6.0,4.0,1207.0,6.0,4.0,686.8,6.0,3.0,673.0,6.0,3.0,1906.0,5.0,3.0,3333.0
6.0,5.0,111.8,6.0,5.0,1149.0,6.0,5.0,744.2,6.0,5.0,335.3,6.0,4.0,750.1,5.0,4.0,1647.0
