1,前沢 丈史,前沢 丈史.1,2,横川 聖志,横川 聖志.1,3,嶋田 有里,嶋田 有里.1,4,松尾 充,松尾 充.1,5,北中 元樹,北中 元樹.1,6,清水 攻二,清水 攻二.1
2.0,3.0,38.2,1.0,3.0,235.9,1.0,2.0,368.0,1.0,2.0,21.5,1.0,2.0,177.3,1.0,2.0,877.5
2.0,4.0,7.8,1.0,4.0,47.0,1.0,4.0,224.1,1.0,3.0,75.9,1.0,3.0,640.8,1.0,3.0,1643.0
2.0,5.0,22.6,1.0,5.0,97.1,1.0,5.0,535.0,1.0,5.0,17.7,1.0,4.0,105.7,1.0,4.0,375.7
2.0,6.0,29.4,1.0,6.0,116.4,1.0,6.0,567.1,1.0,6.0,19.7,1.0,6.0,164.3,1.0,5.0,975.4
3.0,2.0,62.8,3.0,1.0,500.3,2.0,1.0,518.2,2.0,1.0,53.6,2.0,1.0,323.3,2.0,1.0,1461.0
3.0,4.0,35.2,3.0,4.0,777.4,2.0,4.0,782.6,2.0,3.0,312.6,2.0,3.0,1504.0,2.0,3.0,3068.0
3.0,5.0,95.9,3.0,5.0,1265.0,2.0,5.0,967.2,2.0,5.0,93.4,2.0,4.0,352.6,2.0,4.0,1158.0
3.0,6.0,113.6,3.0,6.0,1581.0,2.0,6.0,1191.0,2.0,6.0,110.8,2.0,6.0,479.6,2.0,5.0,2216.0
4.0,2.0,6.6,4.0,1.0,94.5,4.0,1.0,272.0,3.0,1.0,222.1,3.0,1.0,1416.0,3.0,1.0,2451.0
4.0,3.0,25.2,4.0,3.0,574.8,4.0,2.0,712.8,3.0,2.0,483.6,3.0,2.0,2068.0,3.0,2.0,3893.0
4.0,5.0,10.3,4.0,5.0,226.5,4.0,5.0,627.8,3.0,5.0,450.2,3.0,4.0,1816.0,3.0,4.0,2709.0
4.0,6.0,11.6,4.0,6.0,259.8,4.0,6.0,626.1,3.0,6.0,397.3,3.0,6.0,2328.0,3.0,5.0,3483.0
5.0,2.0,39.8,5.0,1.0,307.2,5.0,1.0,992.1,5.0,1.0,30.6,4.0,1.0,115.6,4.0,1.0,364.2
5.0,3.0,154.4,5.0,3.0,1529.0,5.0,2.0,1225.0,5.0,2.0,66.3,4.0,2.0,230.9,4.0,2.0,837.8
5.0,4.0,29.4,5.0,4.0,397.3,5.0,4.0,1232.0,5.0,3.0,264.6,4.0,3.0,864.4,4.0,3.0,1722.0
5.0,6.0,61.0,5.0,6.0,664.7,5.0,6.0,1614.0,5.0,6.0,38.2,4.0,6.0,150.8,4.0,5.0,624.4
6.0,2.0,93.8,6.0,1.0,668.5,6.0,1.0,1470.0,6.0,1.0,46.4,6.0,1.0,351.2,5.0,1.0,1075.0
6.0,3.0,204.9,6.0,3.0,1875.0,6.0,2.0,1809.0,6.0,2.0,96.1,6.0,2.0,725.0,5.0,2.0,1938.0
6.0,4.0,53.8,6.0,4.0,614.4,6.0,4.0,1452.0,6.0,3.0,251.1,6.0,3.0,1697.0,5.0,3.0,2860.0
6.0,5.0,112.7,6.0,5.0,1362.0,6.0,5.0,1938.0,6.0,5.0,62.6,6.0,4.0,362.2,5.0,4.0,759.5
