1,伊藤 玲奈,伊藤 玲奈.1,2,淺田　千亜希,淺田　千亜希.1,3,藤田 美代,藤田 美代.1,4,福島 陽子,福島 陽子.1,5,大瀧　明日香,大瀧　明日香.1,6,松尾 怜実,松尾 怜実.1
2.0,3.0,26.9,1.0,3.0,19.3,1.0,2.0,95.6,1.0,2.0,260.0,1.0,2.0,51.1,1.0,2.0,797.4
2.0,4.0,43.4,1.0,4.0,32.0,1.0,4.0,209.5,1.0,3.0,510.5,1.0,3.0,85.8,1.0,3.0,1635.0
2.0,5.0,21.5,1.0,5.0,14.4,1.0,5.0,82.6,1.0,5.0,286.7,1.0,4.0,139.7,1.0,4.0,1929.0
2.0,6.0,122.7,1.0,6.0,68.9,1.0,6.0,378.4,1.0,6.0,810.8,1.0,6.0,150.6,1.0,5.0,1102.0
3.0,2.0,51.4,3.0,1.0,28.0,2.0,1.0,68.1,2.0,1.0,207.9,2.0,1.0,37.2,2.0,1.0,850.1
3.0,4.0,94.6,3.0,4.0,35.0,2.0,4.0,73.1,2.0,3.0,316.8,2.0,3.0,37.3,2.0,3.0,865.4
3.0,5.0,61.4,3.0,5.0,13.0,2.0,5.0,30.9,2.0,5.0,135.8,2.0,4.0,54.0,2.0,4.0,1072.0
3.0,6.0,274.1,3.0,6.0,82.7,2.0,6.0,147.7,2.0,6.0,540.5,2.0,6.0,65.5,2.0,5.0,567.6
4.0,2.0,105.8,4.0,1.0,60.5,4.0,1.0,311.2,3.0,1.0,634.8,3.0,1.0,127.6,3.0,1.0,1663.0
4.0,3.0,173.8,4.0,3.0,58.4,4.0,2.0,174.3,3.0,2.0,412.3,3.0,2.0,62.1,3.0,2.0,923.4
4.0,5.0,129.9,4.0,5.0,28.5,4.0,5.0,161.3,3.0,5.0,426.0,3.0,4.0,181.8,3.0,4.0,1368.0
4.0,6.0,432.7,4.0,6.0,145.7,4.0,6.0,412.3,3.0,6.0,1054.0,3.0,6.0,194.3,3.0,5.0,1141.0
5.0,2.0,34.8,5.0,1.0,17.0,5.0,1.0,93.6,5.0,1.0,233.0,4.0,1.0,237.0,4.0,1.0,2218.0
5.0,3.0,59.7,5.0,3.0,12.8,5.0,2.0,46.5,5.0,2.0,142.8,4.0,2.0,128.2,4.0,2.0,1253.0
5.0,4.0,77.8,5.0,4.0,19.6,5.0,4.0,133.0,5.0,3.0,304.4,4.0,3.0,274.9,4.0,3.0,2120.0
5.0,6.0,125.1,5.0,6.0,39.2,5.0,6.0,181.0,5.0,6.0,328.7,4.0,6.0,335.6,4.0,5.0,1663.0
6.0,2.0,368.3,6.0,1.0,225.7,6.0,1.0,694.2,6.0,1.0,1135.0,6.0,1.0,251.2,5.0,1.0,897.6
6.0,3.0,681.9,6.0,3.0,253.6,6.0,2.0,506.5,6.0,2.0,1037.0,6.0,2.0,177.7,5.0,2.0,562.6
6.0,4.0,731.0,6.0,4.0,302.4,6.0,4.0,756.8,6.0,3.0,1519.0,6.0,3.0,304.8,5.0,3.0,1054.0
6.0,5.0,465.0,6.0,5.0,143.5,6.0,5.0,422.3,6.0,5.0,846.4,6.0,4.0,385.2,5.0,4.0,1253.0
