1,益田 啓司,益田 啓司.1,2,寺田 祥,寺田 祥.1,3,竹下 大樹,竹下 大樹.1,4,大橋　純一郎,大橋　純一郎.1,5,山本　景士郎,山本　景士郎.1,6,近藤 友宝,近藤 友宝.1
2.0,3.0,5.1,1.0,3.0,19.0,1.0,2.0,36.7,1.0,2.0,109.7,1.0,2.0,295.9,1.0,2.0,2063.0
2.0,4.0,5.8,1.0,4.0,19.8,1.0,4.0,37.6,1.0,3.0,179.8,1.0,3.0,381.8,1.0,3.0,3251.0
2.0,5.0,20.1,1.0,5.0,47.1,1.0,5.0,56.8,1.0,5.0,224.7,1.0,4.0,412.3,1.0,4.0,3542.0
2.0,6.0,83.3,1.0,6.0,180.6,1.0,6.0,177.8,1.0,6.0,493.4,1.0,6.0,670.4,1.0,5.0,3296.0
3.0,2.0,8.3,3.0,1.0,51.7,2.0,1.0,66.6,2.0,1.0,164.0,2.0,1.0,391.6,2.0,1.0,2218.0
3.0,4.0,11.6,3.0,4.0,86.2,2.0,4.0,90.7,2.0,3.0,310.0,2.0,3.0,766.8,2.0,3.0,3273.0
3.0,5.0,26.5,3.0,5.0,150.4,2.0,5.0,148.2,2.0,5.0,421.1,2.0,4.0,867.7,2.0,4.0,3737.0
3.0,6.0,103.2,3.0,6.0,539.3,2.0,6.0,441.9,2.0,6.0,783.2,2.0,6.0,1286.0,2.0,5.0,4315.0
4.0,2.0,15.0,4.0,1.0,70.0,4.0,1.0,74.9,3.0,1.0,246.9,3.0,1.0,571.2,3.0,1.0,3890.0
4.0,3.0,23.5,4.0,3.0,153.9,4.0,2.0,100.6,3.0,2.0,333.5,3.0,2.0,818.3,3.0,2.0,3568.0
4.0,5.0,49.6,4.0,5.0,183.3,4.0,5.0,100.7,3.0,5.0,442.7,3.0,4.0,945.5,3.0,4.0,4276.0
4.0,6.0,149.6,4.0,6.0,606.9,4.0,6.0,314.1,3.0,6.0,697.0,3.0,6.0,1832.0,3.0,5.0,4478.0
5.0,2.0,60.1,5.0,1.0,200.9,5.0,1.0,146.4,5.0,1.0,364.8,4.0,1.0,642.3,4.0,1.0,3439.0
5.0,3.0,84.0,5.0,3.0,390.6,5.0,2.0,235.6,5.0,2.0,472.3,4.0,2.0,916.3,4.0,2.0,3542.0
5.0,4.0,118.2,5.0,4.0,484.8,5.0,4.0,169.0,5.0,3.0,597.8,4.0,3.0,1045.0,4.0,3.0,4478.0
5.0,6.0,251.0,5.0,6.0,879.0,5.0,6.0,495.9,5.0,6.0,912.8,4.0,6.0,1636.0,4.0,5.0,5274.0
6.0,2.0,372.5,6.0,1.0,964.7,6.0,1.0,1047.0,6.0,1.0,1526.0,6.0,1.0,1945.0,5.0,1.0,4276.0
6.0,3.0,489.8,6.0,3.0,1337.0,6.0,2.0,1096.0,6.0,2.0,1642.0,6.0,2.0,2743.0,5.0,2.0,4746.0
6.0,4.0,503.3,6.0,4.0,1587.0,6.0,4.0,1022.0,6.0,3.0,1340.0,6.0,3.0,3102.0,5.0,3.0,5049.0
6.0,5.0,669.4,6.0,5.0,1460.0,6.0,5.0,1111.0,6.0,5.0,1751.0,6.0,4.0,2912.0,5.0,4.0,5393.0
