1,平野 和明,平野 和明.1,2,小林 基樹,小林 基樹.1,3,高山 敬悟,高山 敬悟.1,4,大上 卓人,大上 卓人.1,5,市川 猛,市川 猛.1,6,中 亮太,中 亮太.1
2.0,3.0,67.6,1.0,3.0,368.9,1.0,2.0,313.1,1.0,2.0,26.1,1.0,2.0,1756.0,1.0,2.0,83.8
2.0,4.0,20.1,1.0,4.0,127.1,1.0,4.0,108.7,1.0,3.0,45.1,1.0,3.0,1849.0,1.0,3.0,139.7
2.0,5.0,186.8,1.0,5.0,813.7,1.0,5.0,472.8,1.0,5.0,67.4,1.0,4.0,813.7,1.0,4.0,29.8
2.0,6.0,37.5,1.0,6.0,206.9,1.0,6.0,148.2,1.0,6.0,9.3,1.0,6.0,1068.0,1.0,5.0,294.2
3.0,2.0,82.4,3.0,1.0,543.9,2.0,1.0,551.0,2.0,1.0,71.5,2.0,1.0,2484.0,2.0,1.0,177.3
3.0,4.0,30.1,3.0,4.0,759.3,2.0,4.0,729.0,2.0,3.0,279.7,2.0,3.0,3087.0,2.0,3.0,576.7
3.0,5.0,181.0,3.0,5.0,1756.0,2.0,5.0,1320.0,2.0,5.0,259.3,2.0,4.0,1857.0,2.0,4.0,168.6
3.0,6.0,50.0,3.0,6.0,990.3,2.0,6.0,773.3,2.0,6.0,72.0,2.0,6.0,2153.0,2.0,5.0,954.3
4.0,2.0,11.1,4.0,1.0,187.6,4.0,1.0,115.6,3.0,1.0,103.9,3.0,1.0,2332.0,3.0,1.0,277.5
4.0,3.0,18.1,4.0,3.0,637.1,4.0,2.0,398.3,3.0,2.0,319.0,3.0,2.0,3386.0,3.0,2.0,619.3
4.0,5.0,55.5,4.0,5.0,969.7,4.0,5.0,438.3,3.0,5.0,315.7,3.0,4.0,2470.0,3.0,4.0,194.4
4.0,6.0,5.9,4.0,6.0,223.2,4.0,6.0,104.0,3.0,6.0,85.6,3.0,6.0,1980.0,3.0,5.0,818.5
5.0,2.0,389.8,5.0,1.0,1499.0,5.0,1.0,1156.0,5.0,1.0,140.8,4.0,1.0,784.8,4.0,1.0,30.7
5.0,3.0,378.9,5.0,3.0,2332.0,5.0,2.0,1686.0,5.0,2.0,259.8,4.0,2.0,1980.0,4.0,2.0,81.5
5.0,4.0,240.3,5.0,4.0,1756.0,5.0,4.0,1172.0,5.0,3.0,293.6,4.0,3.0,1882.0,4.0,3.0,110.4
5.0,6.0,293.4,5.0,6.0,1953.0,5.0,6.0,1107.0,5.0,6.0,87.8,4.0,6.0,567.4,4.0,5.0,162.8
6.0,2.0,40.4,6.0,1.0,311.2,6.0,1.0,243.4,6.0,1.0,11.2,6.0,1.0,1328.0,5.0,1.0,766.2
6.0,3.0,59.8,6.0,3.0,992.6,6.0,2.0,662.3,6.0,2.0,32.1,6.0,2.0,2624.0,5.0,2.0,1249.0
6.0,4.0,13.9,6.0,4.0,301.8,6.0,4.0,175.6,6.0,3.0,47.9,6.0,3.0,1944.0,5.0,3.0,1268.0
6.0,5.0,154.2,6.0,5.0,1489.0,6.0,5.0,799.8,6.0,5.0,50.5,6.0,4.0,677.2,5.0,4.0,436.4
