1,内山 峻輔,内山 峻輔.1,2,林 恵祐,林 恵祐.1,3,金山 立樹,金山 立樹.1,4,中島 真二,中島 真二.1,5,藤井 徹,藤井 徹.1,6,清水 攻二,清水 攻二.1
2.0,3.0,14.3,1.0,3.0,84.1,1.0,2.0,67.4,1.0,2.0,102.8,1.0,2.0,392.3,1.0,2.0,289.3
2.0,4.0,12.4,1.0,4.0,82.0,1.0,4.0,30.5,1.0,3.0,72.2,1.0,3.0,474.7,1.0,3.0,268.9
2.0,5.0,45.9,1.0,5.0,170.8,1.0,5.0,91.4,1.0,5.0,127.0,1.0,4.0,391.1,1.0,4.0,196.7
2.0,6.0,30.2,1.0,6.0,149.2,1.0,6.0,44.4,1.0,6.0,71.9,1.0,6.0,455.2,1.0,5.0,553.5
3.0,2.0,14.5,3.0,1.0,223.4,2.0,1.0,159.3,2.0,1.0,185.2,2.0,1.0,485.0,2.0,1.0,450.6
3.0,4.0,7.4,3.0,4.0,272.7,2.0,4.0,193.6,2.0,3.0,317.6,2.0,3.0,1212.0,2.0,3.0,889.3
3.0,5.0,27.3,3.0,5.0,509.1,2.0,5.0,418.1,2.0,5.0,452.1,2.0,4.0,1075.0,2.0,4.0,741.0
3.0,6.0,13.1,3.0,6.0,360.5,2.0,6.0,237.7,2.0,6.0,250.7,2.0,6.0,1018.0,2.0,5.0,1389.0
4.0,2.0,17.0,4.0,1.0,187.3,4.0,1.0,57.7,3.0,1.0,104.3,3.0,1.0,551.2,3.0,1.0,410.4
4.0,3.0,10.8,4.0,3.0,317.6,4.0,2.0,153.8,3.0,2.0,263.6,3.0,2.0,1212.0,3.0,2.0,794.0
4.0,5.0,31.8,4.0,5.0,592.8,4.0,5.0,153.1,3.0,5.0,266.7,3.0,4.0,901.3,3.0,4.0,384.4
4.0,6.0,13.3,4.0,6.0,327.7,4.0,6.0,71.3,3.0,6.0,121.0,3.0,6.0,980.8,3.0,5.0,1010.0
5.0,2.0,102.7,5.0,1.0,403.0,5.0,1.0,265.2,5.0,1.0,229.5,4.0,1.0,546.7,4.0,1.0,350.1
5.0,3.0,80.9,5.0,3.0,1018.0,5.0,2.0,452.1,5.0,2.0,494.0,4.0,2.0,1201.0,4.0,2.0,660.3
5.0,4.0,92.7,5.0,4.0,1018.0,5.0,4.0,316.1,5.0,3.0,380.0,4.0,3.0,855.1,4.0,3.0,434.5
5.0,6.0,102.6,5.0,6.0,1067.0,5.0,6.0,331.0,5.0,6.0,249.8,4.0,6.0,705.8,4.0,5.0,1042.0
6.0,2.0,63.2,6.0,1.0,384.4,6.0,1.0,143.9,6.0,1.0,109.9,6.0,1.0,632.2,5.0,1.0,823.4
6.0,3.0,41.1,6.0,3.0,641.3,6.0,2.0,294.4,6.0,2.0,216.5,6.0,2.0,1149.0,5.0,2.0,1465.0
6.0,4.0,37.0,6.0,4.0,488.6,6.0,4.0,147.4,6.0,3.0,175.2,6.0,3.0,1102.0,5.0,3.0,1375.0
6.0,5.0,118.4,6.0,5.0,966.6,6.0,5.0,327.7,6.0,5.0,293.1,6.0,4.0,932.8,5.0,4.0,1201.0
