1,竹腰 正樹,竹腰 正樹.1,2,上原　健次郎,上原　健次郎.1,3,山本 兼士,山本 兼士.1,4,山崎 昂介,山崎 昂介.1,5,大場 広孝,大場 広孝.1,6,柴田 光,柴田 光.1
2.0,3.0,73.1,1.0,3.0,145.3,1.0,2.0,235.3,1.0,2.0,155.1,1.0,2.0,407.2,1.0,2.0,11.2
2.0,4.0,59.4,1.0,4.0,91.5,1.0,4.0,171.6,1.0,3.0,187.6,1.0,3.0,652.4,1.0,3.0,33.2
2.0,5.0,66.0,1.0,5.0,129.4,1.0,5.0,203.9,1.0,5.0,157.3,1.0,4.0,474.5,1.0,4.0,15.6
2.0,6.0,23.9,1.0,6.0,54.0,1.0,6.0,135.4,1.0,6.0,80.1,1.0,6.0,250.1,1.0,5.0,28.9
3.0,2.0,100.4,3.0,1.0,185.2,2.0,1.0,276.7,2.0,1.0,213.4,2.0,1.0,645.1,2.0,1.0,23.9
3.0,4.0,142.4,3.0,4.0,141.4,2.0,4.0,225.1,2.0,3.0,292.2,2.0,3.0,883.3,2.0,3.0,65.8
3.0,5.0,146.8,3.0,5.0,163.5,2.0,5.0,234.8,2.0,5.0,221.2,2.0,4.0,557.4,2.0,4.0,31.5
3.0,6.0,67.3,3.0,6.0,136.8,2.0,6.0,213.0,2.0,6.0,142.4,2.0,6.0,223.4,2.0,5.0,44.0
4.0,2.0,92.1,4.0,1.0,143.1,4.0,1.0,178.0,3.0,1.0,259.2,3.0,1.0,770.7,3.0,1.0,77.4
4.0,3.0,144.8,4.0,3.0,186.1,4.0,2.0,256.9,3.0,2.0,309.5,3.0,2.0,1083.0,3.0,2.0,113.5
4.0,5.0,112.2,4.0,5.0,140.7,4.0,5.0,123.3,3.0,5.0,181.4,3.0,4.0,736.1,3.0,4.0,107.5
4.0,6.0,40.5,4.0,6.0,90.6,4.0,6.0,118.8,3.0,6.0,170.3,3.0,6.0,579.9,3.0,5.0,112.8
5.0,2.0,119.4,5.0,1.0,313.7,5.0,1.0,326.2,5.0,1.0,242.2,4.0,1.0,486.5,4.0,1.0,39.4
5.0,3.0,307.0,5.0,3.0,366.8,5.0,2.0,335.7,5.0,2.0,246.4,4.0,2.0,501.4,4.0,2.0,55.5
5.0,4.0,243.2,5.0,4.0,240.7,5.0,4.0,187.0,5.0,3.0,252.9,4.0,3.0,604.4,4.0,3.0,98.6
5.0,6.0,78.9,5.0,6.0,138.5,5.0,6.0,213.8,5.0,6.0,143.7,4.0,6.0,252.9,4.0,5.0,74.4
6.0,2.0,11.8,6.0,1.0,57.2,6.0,1.0,160.6,6.0,1.0,81.7,6.0,1.0,246.4,5.0,1.0,80.4
6.0,3.0,34.4,6.0,3.0,115.7,6.0,2.0,151.9,6.0,2.0,110.1,6.0,2.0,203.6,5.0,2.0,92.0
6.0,4.0,21.4,6.0,4.0,62.5,6.0,4.0,126.1,6.0,3.0,134.6,6.0,3.0,394.6,5.0,3.0,168.1
6.0,5.0,30.6,6.0,5.0,63.9,6.0,5.0,131.2,6.0,5.0,94.4,6.0,4.0,260.9,5.0,4.0,117.5
