1,松尾 祭,松尾 祭.1,2,枝尾 賢,枝尾 賢.1,3,亀本 勇樹,亀本 勇樹.1,4,高山 弘斗,高山 弘斗.1,5,岡部 浩,岡部 浩.1,6,別府 昌樹,別府 昌樹.1
2.0,3.0,12.7,1.0,3.0,15.1,1.0,2.0,245.1,1.0,2.0,434.2,1.0,2.0,214.7,1.0,2.0,71.1
2.0,4.0,28.2,1.0,4.0,40.9,1.0,4.0,605.6,1.0,3.0,1106.0,1.0,3.0,611.7,1.0,3.0,285.7
2.0,5.0,21.5,1.0,5.0,26.3,1.0,5.0,485.6,1.0,5.0,790.4,1.0,4.0,806.1,1.0,4.0,493.5
2.0,6.0,9.0,1.0,6.0,10.4,1.0,6.0,354.2,1.0,6.0,611.7,1.0,6.0,251.3,1.0,5.0,271.7
3.0,2.0,43.3,3.0,1.0,27.9,2.0,1.0,222.0,2.0,1.0,415.9,2.0,1.0,191.2,2.0,1.0,69.8
3.0,4.0,123.3,3.0,4.0,45.7,2.0,4.0,375.7,2.0,3.0,476.1,2.0,3.0,307.4,2.0,3.0,174.5
3.0,5.0,109.3,3.0,5.0,38.0,2.0,5.0,328.1,2.0,5.0,531.5,2.0,4.0,428.1,2.0,4.0,269.7
3.0,6.0,76.6,3.0,6.0,23.0,2.0,6.0,217.9,2.0,6.0,335.9,2.0,6.0,167.7,2.0,5.0,191.3
4.0,2.0,80.9,4.0,1.0,55.1,4.0,1.0,973.8,3.0,1.0,1295.0,3.0,1.0,926.9,3.0,1.0,550.0
4.0,3.0,169.3,4.0,3.0,54.3,4.0,2.0,591.9,3.0,2.0,726.0,3.0,2.0,557.5,3.0,2.0,310.5
4.0,5.0,180.4,4.0,5.0,57.7,4.0,5.0,841.4,3.0,5.0,1250.0,3.0,4.0,1285.0,3.0,4.0,1049.0
4.0,6.0,130.0,4.0,6.0,34.9,4.0,6.0,880.0,3.0,6.0,1201.0,3.0,6.0,1020.0,3.0,5.0,903.9
5.0,2.0,68.5,5.0,1.0,38.8,5.0,1.0,792.2,5.0,1.0,915.3,4.0,1.0,1246.0,4.0,1.0,976.4
5.0,3.0,156.7,5.0,3.0,53.6,5.0,2.0,512.9,5.0,2.0,746.8,4.0,2.0,839.5,4.0,2.0,500.9
5.0,4.0,211.5,5.0,4.0,73.6,5.0,4.0,1055.0,5.0,3.0,1276.0,4.0,3.0,1421.0,4.0,3.0,1163.0
5.0,6.0,100.7,5.0,6.0,29.5,5.0,6.0,1017.0,5.0,6.0,880.0,4.0,6.0,1155.0,4.0,5.0,1213.0
6.0,2.0,23.1,6.0,1.0,16.7,6.0,1.0,618.9,6.0,1.0,835.7,6.0,1.0,274.5,5.0,1.0,370.0
6.0,3.0,74.2,6.0,3.0,26.9,6.0,2.0,343.5,6.0,2.0,495.5,6.0,2.0,214.5,5.0,2.0,285.7
6.0,4.0,144.1,6.0,4.0,46.2,6.0,4.0,995.1,6.0,3.0,1174.0,6.0,3.0,661.6,5.0,3.0,946.1
6.0,5.0,81.0,6.0,5.0,32.7,6.0,5.0,813.3,6.0,5.0,958.5,6.0,4.0,706.3,5.0,4.0,1017.0
