1,川島 拓郎,川島 拓郎.1,2,乙津 康志,乙津 康志.1,3,原村 拓也,原村 拓也.1,4,渡邉 英児,渡邉 英児.1,5,楠原 翔太,楠原 翔太.1,6,村本 大成,村本 大成.1
2.0,3.0,13.4,1.0,3.0,58.5,1.0,2.0,45.3,1.0,2.0,81.7,1.0,2.0,160.6,1.0,2.0,1113.0
2.0,4.0,14.6,1.0,4.0,59.5,1.0,4.0,25.5,1.0,3.0,68.2,1.0,3.0,133.6,1.0,3.0,1002.0
2.0,5.0,20.9,1.0,5.0,95.2,1.0,5.0,32.1,1.0,5.0,62.3,1.0,4.0,122.6,1.0,4.0,1136.0
2.0,6.0,169.0,1.0,6.0,463.1,1.0,6.0,182.6,1.0,6.0,262.5,1.0,6.0,392.6,1.0,5.0,1396.0
3.0,2.0,10.2,3.0,1.0,117.1,2.0,1.0,88.4,2.0,1.0,138.7,2.0,1.0,314.4,2.0,1.0,1832.0
3.0,4.0,8.4,3.0,4.0,185.0,2.0,4.0,120.2,2.0,3.0,224.5,2.0,3.0,413.6,2.0,3.0,1756.0
3.0,5.0,13.8,3.0,5.0,243.4,2.0,5.0,148.3,2.0,5.0,168.2,2.0,4.0,367.2,2.0,4.0,1670.0
3.0,6.0,120.4,3.0,6.0,725.1,2.0,6.0,396.3,2.0,6.0,400.0,2.0,6.0,968.3,2.0,5.0,2242.0
4.0,2.0,14.8,4.0,1.0,139.5,4.0,1.0,40.9,3.0,1.0,97.7,3.0,1.0,198.6,3.0,1.0,1420.0
4.0,3.0,15.2,4.0,3.0,218.7,4.0,2.0,87.2,3.0,2.0,196.3,3.0,2.0,364.1,3.0,2.0,1638.0
4.0,5.0,20.4,4.0,5.0,229.0,4.0,5.0,51.4,3.0,5.0,102.3,3.0,4.0,206.0,3.0,4.0,1085.0
4.0,6.0,171.1,4.0,6.0,819.3,4.0,6.0,189.7,3.0,6.0,389.9,3.0,6.0,689.9,3.0,5.0,1577.0
5.0,2.0,31.8,5.0,1.0,285.9,5.0,1.0,83.3,5.0,1.0,73.1,4.0,1.0,143.6,4.0,1.0,1262.0
5.0,3.0,34.3,5.0,3.0,390.8,5.0,2.0,178.4,5.0,2.0,112.1,4.0,2.0,227.8,4.0,2.0,1704.0
5.0,4.0,30.9,5.0,4.0,322.7,5.0,4.0,94.2,5.0,3.0,101.0,4.0,3.0,189.9,4.0,3.0,1167.0
5.0,6.0,230.6,5.0,6.0,760.8,5.0,6.0,364.1,5.0,6.0,185.0,4.0,6.0,360.2,4.0,5.0,869.4
6.0,2.0,542.7,6.0,1.0,1321.0,6.0,1.0,571.8,6.0,1.0,539.3,6.0,1.0,1008.0,5.0,1.0,1872.0
6.0,3.0,502.7,6.0,3.0,1374.0,6.0,2.0,710.0,6.0,2.0,764.2,6.0,2.0,1281.0,5.0,2.0,2184.0
6.0,4.0,476.0,6.0,4.0,1704.0,6.0,4.0,530.9,6.0,3.0,560.5,6.0,3.0,996.6,5.0,3.0,1481.0
6.0,5.0,604.3,6.0,5.0,1234.0,6.0,5.0,575.7,6.0,5.0,430.3,6.0,4.0,716.0,5.0,4.0,941.5
