1,高濱 芳久,高濱 芳久.1,2,岡部 大輝,岡部 大輝.1,3,明石 正之,明石 正之.1,4,広次 修,広次 修.1,5,眞鳥 康太,眞鳥 康太.1,6,郷原 章平,郷原 章平.1
2.0,3.0,10.9,1.0,3.0,25.5,1.0,2.0,62.2,1.0,2.0,144.2,1.0,2.0,127.6,1.0,2.0,337.1
2.0,4.0,21.7,1.0,4.0,36.9,1.0,4.0,47.7,1.0,3.0,130.6,1.0,3.0,133.5,1.0,3.0,213.6
2.0,5.0,17.1,1.0,5.0,34.0,1.0,5.0,50.8,1.0,5.0,124.6,1.0,4.0,163.1,1.0,4.0,309.5
2.0,6.0,36.0,1.0,6.0,59.8,1.0,6.0,43.9,1.0,6.0,108.3,1.0,6.0,153.9,1.0,5.0,333.9
3.0,2.0,17.3,3.0,1.0,82.1,2.0,1.0,115.8,2.0,1.0,223.0,2.0,1.0,212.8,2.0,1.0,639.7
3.0,4.0,15.5,3.0,4.0,113.6,2.0,4.0,121.3,2.0,3.0,239.7,2.0,3.0,232.3,2.0,3.0,424.7
3.0,5.0,17.8,3.0,5.0,95.7,2.0,5.0,129.1,2.0,5.0,252.8,2.0,4.0,282.4,2.0,4.0,580.2
3.0,6.0,23.8,3.0,6.0,114.1,2.0,6.0,120.9,2.0,6.0,227.3,2.0,6.0,277.9,2.0,5.0,892.3
4.0,2.0,33.8,4.0,1.0,163.6,4.0,1.0,106.9,3.0,1.0,188.6,3.0,1.0,254.0,3.0,1.0,308.6
4.0,3.0,30.1,4.0,3.0,180.2,4.0,2.0,153.6,3.0,2.0,259.0,3.0,2.0,379.2,3.0,2.0,391.8
4.0,5.0,45.1,4.0,5.0,160.8,4.0,5.0,115.1,3.0,5.0,233.3,3.0,4.0,333.9,3.0,4.0,423.0
4.0,6.0,49.0,4.0,6.0,199.2,4.0,6.0,94.1,3.0,6.0,213.6,3.0,6.0,304.2,3.0,5.0,544.5
5.0,2.0,31.2,5.0,1.0,143.6,5.0,1.0,130.9,5.0,1.0,135.9,4.0,1.0,235.9,4.0,1.0,577.1
5.0,3.0,38.1,5.0,3.0,145.2,5.0,2.0,209.8,5.0,2.0,184.6,4.0,2.0,273.6,4.0,2.0,459.7
5.0,4.0,54.7,5.0,4.0,194.8,5.0,4.0,165.6,5.0,3.0,202.6,4.0,3.0,292.5,4.0,3.0,530.9
5.0,6.0,67.1,5.0,6.0,223.0,5.0,6.0,138.2,5.0,6.0,105.2,4.0,6.0,202.6,4.0,5.0,561.8
6.0,2.0,95.6,6.0,1.0,253.4,6.0,1.0,138.6,6.0,1.0,199.2,6.0,1.0,254.6,5.0,1.0,510.5
6.0,3.0,72.8,6.0,3.0,275.1,6.0,2.0,244.1,6.0,2.0,248.1,6.0,2.0,331.8,5.0,2.0,763.9
6.0,4.0,109.3,6.0,4.0,330.8,6.0,4.0,197.7,6.0,3.0,259.0,6.0,3.0,224.5,5.0,3.0,589.9
6.0,5.0,118.1,6.0,5.0,399.2,6.0,5.0,248.1,6.0,5.0,194.1,6.0,4.0,246.3,5.0,4.0,503.2
