1,森 智哉,森 智哉.1,2,高山 敬悟,高山 敬悟.1,3,天野 誠,天野 誠.1,4,西丸　侑太朗,西丸　侑太朗.1,5,富山 弘幸,富山 弘幸.1,6,下河 雅史,下河 雅史.1
2.0,3.0,38.2,1.0,3.0,187.9,1.0,2.0,202.8,1.0,2.0,114.9,1.0,2.0,78.9,1.0,2.0,257.2
2.0,4.0,39.4,1.0,4.0,162.2,1.0,4.0,137.4,1.0,3.0,151.7,1.0,3.0,63.8,1.0,3.0,207.6
2.0,5.0,28.5,1.0,5.0,118.7,1.0,5.0,75.0,1.0,5.0,52.7,1.0,4.0,63.8,1.0,4.0,244.9
2.0,6.0,47.6,1.0,6.0,195.3,1.0,6.0,114.0,1.0,6.0,60.9,1.0,6.0,29.1,1.0,5.0,101.4
3.0,2.0,31.5,3.0,1.0,311.2,2.0,1.0,371.1,2.0,1.0,221.5,2.0,1.0,184.4,2.0,1.0,440.5
3.0,4.0,34.1,3.0,4.0,443.1,2.0,4.0,478.8,2.0,3.0,434.0,2.0,3.0,327.7,2.0,3.0,834.0
3.0,5.0,14.7,3.0,5.0,336.6,2.0,5.0,319.9,2.0,5.0,192.0,2.0,4.0,240.6,2.0,4.0,665.7
3.0,6.0,21.6,3.0,6.0,506.6,2.0,6.0,526.4,2.0,6.0,212.3,2.0,6.0,142.8,2.0,5.0,412.3
4.0,2.0,49.6,4.0,1.0,222.9,4.0,1.0,285.4,3.0,1.0,226.9,3.0,1.0,122.4,3.0,1.0,350.1
4.0,3.0,51.9,4.0,3.0,519.0,4.0,2.0,562.3,3.0,2.0,447.1,3.0,2.0,328.4,3.0,2.0,1009.0
4.0,5.0,24.6,4.0,5.0,359.4,4.0,5.0,213.9,3.0,5.0,165.4,3.0,4.0,268.9,3.0,4.0,634.4
4.0,6.0,40.2,4.0,6.0,386.5,4.0,6.0,278.5,3.0,6.0,187.4,3.0,6.0,106.8,3.0,5.0,287.6
5.0,2.0,29.3,5.0,1.0,215.1,5.0,1.0,133.2,5.0,1.0,42.8,4.0,1.0,66.5,4.0,1.0,344.4
5.0,3.0,20.0,5.0,3.0,392.7,5.0,2.0,356.8,5.0,2.0,88.9,4.0,2.0,137.3,4.0,2.0,608.4
5.0,4.0,27.9,5.0,4.0,354.3,5.0,4.0,204.1,5.0,3.0,125.8,4.0,3.0,217.3,4.0,3.0,671.7
5.0,6.0,14.8,5.0,6.0,256.3,5.0,6.0,130.5,5.0,6.0,32.4,4.0,6.0,49.1,4.0,5.0,199.2
6.0,2.0,79.5,6.0,1.0,377.7,6.0,1.0,259.0,6.0,1.0,74.0,6.0,1.0,35.1,5.0,1.0,95.4
6.0,3.0,50.7,6.0,3.0,706.9,6.0,2.0,634.4,6.0,2.0,157.2,6.0,2.0,89.0,5.0,2.0,230.1
6.0,4.0,64.6,6.0,4.0,642.6,6.0,4.0,390.6,6.0,3.0,186.0,6.0,3.0,69.0,5.0,3.0,181.9
6.0,5.0,34.0,6.0,5.0,389.6,6.0,5.0,194.8,6.0,5.0,54.7,6.0,4.0,62.8,5.0,4.0,150.1
