1,竹田 吉行,竹田 吉行.1,2,川上 剛,川上 剛.1,3,藤丸 光一,藤丸 光一.1,4,川北 浩貴,川北 浩貴.1,5,清水 敦揮,清水 敦揮.1,6,奥平 拓也,奥平 拓也.1
2.0,3.0,12.2,1.0,3.0,37.2,1.0,2.0,99.3,1.0,2.0,65.9,1.0,2.0,84.0,1.0,2.0,1669.0
2.0,4.0,10.1,1.0,4.0,21.7,1.0,4.0,104.5,1.0,3.0,135.4,1.0,3.0,158.1,1.0,3.0,2324.0
2.0,5.0,11.3,1.0,5.0,24.1,1.0,5.0,92.9,1.0,5.0,50.5,1.0,4.0,100.6,1.0,4.0,2830.0
2.0,6.0,141.9,1.0,6.0,239.3,1.0,6.0,364.6,1.0,6.0,247.5,1.0,6.0,278.1,1.0,5.0,1479.0
3.0,2.0,19.4,3.0,1.0,118.6,2.0,1.0,163.1,2.0,1.0,98.6,2.0,1.0,123.1,2.0,1.0,2066.0
3.0,4.0,21.7,3.0,4.0,117.7,2.0,4.0,167.9,2.0,3.0,187.3,2.0,3.0,204.0,2.0,3.0,2830.0
3.0,5.0,22.6,3.0,5.0,120.2,2.0,5.0,151.2,2.0,5.0,59.8,2.0,4.0,97.0,2.0,4.0,1607.0
3.0,6.0,151.3,3.0,6.0,496.9,2.0,6.0,614.1,2.0,6.0,351.8,2.0,6.0,425.4,2.0,5.0,2284.0
4.0,2.0,15.3,4.0,1.0,63.2,4.0,1.0,200.6,3.0,1.0,312.9,3.0,1.0,318.3,3.0,1.0,2552.0
4.0,3.0,25.2,4.0,3.0,98.7,4.0,2.0,184.6,3.0,2.0,204.7,3.0,2.0,303.4,3.0,2.0,3518.0
4.0,5.0,15.5,4.0,5.0,40.5,4.0,5.0,146.6,3.0,5.0,167.1,3.0,4.0,316.0,3.0,4.0,2206.0
4.0,6.0,126.4,4.0,6.0,322.2,4.0,6.0,583.8,3.0,6.0,829.2,3.0,6.0,784.2,3.0,5.0,2770.0
5.0,2.0,24.6,5.0,1.0,74.6,5.0,1.0,179.3,5.0,1.0,55.6,4.0,1.0,99.7,4.0,1.0,3945.0
5.0,3.0,36.2,5.0,3.0,113.6,5.0,2.0,179.0,5.0,2.0,49.9,4.0,2.0,78.1,4.0,2.0,2034.0
5.0,4.0,28.4,5.0,4.0,60.8,5.0,4.0,194.6,5.0,3.0,115.3,4.0,3.0,165.2,4.0,3.0,2657.0
5.0,6.0,149.8,5.0,6.0,313.7,5.0,6.0,586.4,5.0,6.0,120.6,4.0,6.0,213.4,4.0,5.0,1759.0
6.0,2.0,524.9,6.0,1.0,910.4,6.0,1.0,978.8,6.0,1.0,685.2,6.0,1.0,461.6,5.0,1.0,1914.0
6.0,3.0,478.6,6.0,3.0,1112.0,6.0,2.0,1152.0,6.0,2.0,473.4,6.0,2.0,761.3,5.0,2.0,1886.0
6.0,4.0,502.6,6.0,4.0,964.3,6.0,4.0,1301.0,6.0,3.0,1084.0,6.0,3.0,1228.0,5.0,3.0,2324.0
6.0,5.0,399.3,6.0,5.0,803.6,6.0,5.0,1058.0,6.0,5.0,431.1,6.0,4.0,752.5,5.0,4.0,1713.0
