1,原田 秀弥,原田 秀弥.1,2,長畑 友輔,長畑 友輔.1,3,金子 賢志,金子 賢志.1,4,冨田 秀幸,冨田 秀幸.1,5,樋口 亮,樋口 亮.1,6,中辻 博訓,中辻 博訓.1
2.0,3.0,15.5,1.0,3.0,55.1,1.0,2.0,44.4,1.0,2.0,526.2,1.0,2.0,114.9,1.0,2.0,360.0
2.0,4.0,39.5,1.0,4.0,113.9,1.0,4.0,62.0,1.0,3.0,488.7,1.0,3.0,59.7,1.0,3.0,187.8
2.0,5.0,20.5,1.0,5.0,56.3,1.0,5.0,22.3,1.0,5.0,423.6,1.0,4.0,179.3,1.0,4.0,531.8
2.0,6.0,31.3,1.0,6.0,89.5,1.0,6.0,36.2,1.0,6.0,519.9,1.0,6.0,62.0,1.0,5.0,188.0
3.0,2.0,11.5,3.0,1.0,98.9,2.0,1.0,90.2,2.0,1.0,850.8,2.0,1.0,217.7,2.0,1.0,675.7
3.0,4.0,24.7,3.0,4.0,237.6,2.0,4.0,184.4,2.0,3.0,1193.0,2.0,3.0,233.2,2.0,3.0,868.0
3.0,5.0,7.9,3.0,5.0,124.7,2.0,5.0,99.9,2.0,5.0,1086.0,2.0,4.0,353.2,2.0,4.0,1017.0
3.0,6.0,13.3,3.0,6.0,170.4,2.0,6.0,126.7,2.0,6.0,1114.0,2.0,6.0,246.1,2.0,5.0,843.7
4.0,2.0,73.3,4.0,1.0,394.3,4.0,1.0,176.9,3.0,1.0,648.2,3.0,1.0,91.2,3.0,1.0,365.7
4.0,3.0,61.7,4.0,3.0,576.4,4.0,2.0,270.9,3.0,2.0,1048.0,3.0,2.0,187.6,3.0,2.0,880.6
4.0,5.0,70.2,4.0,5.0,511.1,4.0,5.0,142.2,3.0,5.0,719.2,3.0,4.0,249.4,3.0,4.0,943.9
4.0,6.0,80.3,4.0,6.0,568.8,4.0,6.0,181.7,3.0,6.0,742.1,3.0,6.0,93.3,3.0,5.0,396.4
5.0,2.0,30.2,5.0,1.0,144.6,5.0,1.0,43.8,5.0,1.0,562.5,4.0,1.0,513.7,4.0,1.0,1411.0
5.0,3.0,16.3,5.0,3.0,187.8,5.0,2.0,78.4,5.0,2.0,962.0,4.0,2.0,762.7,4.0,2.0,1687.0
5.0,4.0,66.3,5.0,4.0,413.7,5.0,4.0,108.7,5.0,3.0,801.2,4.0,3.0,646.8,4.0,3.0,1650.0
5.0,6.0,25.6,5.0,6.0,243.4,5.0,6.0,48.5,5.0,6.0,445.5,4.0,6.0,421.2,4.0,5.0,1258.0
6.0,2.0,75.6,6.0,1.0,330.8,6.0,1.0,122.8,6.0,1.0,952.8,6.0,1.0,113.4,5.0,1.0,239.9
6.0,3.0,48.4,6.0,3.0,436.5,6.0,2.0,213.0,6.0,2.0,968.1,6.0,2.0,293.5,5.0,2.0,656.6
6.0,4.0,143.8,6.0,4.0,766.6,6.0,4.0,214.8,6.0,3.0,1094.0,6.0,3.0,135.1,5.0,3.0,274.1
6.0,5.0,53.6,6.0,5.0,433.3,6.0,5.0,114.9,6.0,5.0,722.6,6.0,4.0,374.7,5.0,4.0,768.6
