1,飯山 泰,飯山 泰.1,2,松尾 昂明,松尾 昂明.1,3,山本 隆幸,山本 隆幸.1,4,角谷 健吾,角谷 健吾.1,5,松田 祐季,松田 祐季.1,6,山下 奈緒,山下 奈緒.1
2.0,3.0,8.4,1.0,3.0,41.8,1.0,2.0,53.0,1.0,2.0,82.0,1.0,2.0,132.5,1.0,2.0,2956.0
2.0,4.0,10.9,1.0,4.0,52.3,1.0,4.0,36.0,1.0,3.0,78.9,1.0,3.0,129.2,1.0,3.0,2843.0
2.0,5.0,18.9,1.0,5.0,77.0,1.0,5.0,49.3,1.0,5.0,66.7,1.0,4.0,128.7,1.0,4.0,2536.0
2.0,6.0,209.6,1.0,6.0,523.7,1.0,6.0,348.6,1.0,6.0,331.0,1.0,6.0,453.4,1.0,5.0,2923.0
3.0,2.0,8.9,3.0,1.0,116.7,2.0,1.0,118.2,2.0,1.0,185.9,2.0,1.0,296.6,2.0,1.0,4042.0
3.0,4.0,7.3,3.0,4.0,195.1,2.0,4.0,175.0,2.0,3.0,280.9,2.0,3.0,480.8,2.0,3.0,4011.0
3.0,5.0,12.1,3.0,5.0,242.0,2.0,5.0,223.4,2.0,5.0,247.6,2.0,4.0,474.2,2.0,4.0,3295.0
3.0,6.0,160.9,3.0,6.0,1394.0,2.0,6.0,1160.0,2.0,6.0,817.4,2.0,6.0,1144.0,2.0,5.0,3496.0
4.0,2.0,14.9,4.0,1.0,184.4,4.0,1.0,89.9,3.0,1.0,137.7,3.0,1.0,244.6,3.0,1.0,3544.0
4.0,3.0,13.0,4.0,3.0,264.8,4.0,2.0,160.2,3.0,2.0,264.6,3.0,2.0,478.6,3.0,2.0,4241.0
4.0,5.0,18.7,4.0,5.0,342.6,4.0,5.0,141.5,3.0,5.0,190.3,3.0,4.0,395.8,3.0,4.0,2812.0
4.0,6.0,143.5,4.0,6.0,1582.0,4.0,6.0,634.8,3.0,6.0,750.9,3.0,6.0,1006.0,3.0,5.0,3643.0
5.0,2.0,31.5,5.0,1.0,248.6,5.0,1.0,149.3,5.0,1.0,73.8,4.0,1.0,152.7,4.0,1.0,2767.0
5.0,3.0,26.0,5.0,3.0,397.7,5.0,2.0,260.5,5.0,2.0,134.7,4.0,2.0,284.1,4.0,2.0,3919.0
5.0,4.0,33.4,5.0,4.0,447.6,5.0,4.0,229.2,5.0,3.0,155.6,4.0,3.0,326.8,4.0,3.0,3213.0
5.0,6.0,196.3,5.0,6.0,1469.0,5.0,6.0,906.1,5.0,6.0,239.6,4.0,6.0,475.1,4.0,5.0,2220.0
6.0,2.0,527.9,6.0,1.0,2192.0,6.0,1.0,1421.0,6.0,1.0,827.8,6.0,1.0,1287.0,5.0,1.0,3025.0
6.0,3.0,530.1,6.0,3.0,3043.0,6.0,2.0,1790.0,6.0,2.0,1069.0,6.0,2.0,1713.0,5.0,2.0,3949.0
6.0,4.0,492.3,6.0,4.0,2843.0,6.0,4.0,1685.0,6.0,3.0,1293.0,6.0,3.0,1765.0,5.0,3.0,3381.0
6.0,5.0,609.4,6.0,5.0,2956.0,6.0,5.0,2069.0,6.0,5.0,748.8,6.0,4.0,1096.0,5.0,4.0,2078.0
