1,中北 涼,中北 涼.1,2,坂本 奈央,坂本 奈央.1,3,平田　さやか,平田　さやか.1,4,中谷 朋子,中谷 朋子.1,5,川野 芽唯,川野 芽唯.1,6,稲生 夏季,稲生 夏季.1
2.0,3.0,125.0,1.0,3.0,262.1,1.0,2.0,153.1,1.0,2.0,310.2,1.0,2.0,244.7,1.0,2.0,1074.0
2.0,4.0,170.0,1.0,4.0,311.0,1.0,4.0,34.9,1.0,3.0,91.8,1.0,3.0,47.2,1.0,3.0,758.6
2.0,5.0,148.4,1.0,5.0,316.2,1.0,5.0,21.7,1.0,5.0,65.9,1.0,4.0,56.5,1.0,4.0,890.0
2.0,6.0,294.6,1.0,6.0,519.8,1.0,6.0,68.7,1.0,6.0,178.5,1.0,6.0,73.7,1.0,5.0,489.6
3.0,2.0,107.8,3.0,1.0,272.7,2.0,1.0,240.3,2.0,1.0,512.3,2.0,1.0,430.2,2.0,1.0,1383.0
3.0,4.0,26.2,3.0,4.0,214.8,2.0,4.0,215.1,2.0,3.0,403.0,2.0,3.0,266.9,2.0,3.0,2020.0
3.0,5.0,17.6,3.0,5.0,173.0,2.0,5.0,145.5,2.0,5.0,399.8,2.0,4.0,390.0,2.0,4.0,1853.0
3.0,6.0,62.8,3.0,6.0,500.9,2.0,6.0,356.9,2.0,6.0,644.8,2.0,6.0,427.7,2.0,5.0,1590.0
4.0,2.0,167.0,4.0,1.0,435.7,4.0,1.0,39.7,3.0,1.0,73.5,3.0,1.0,42.6,3.0,1.0,782.1
4.0,3.0,43.3,4.0,3.0,283.7,4.0,2.0,146.9,3.0,2.0,245.8,3.0,2.0,148.4,3.0,2.0,1688.0
4.0,5.0,32.1,4.0,5.0,279.7,4.0,5.0,15.1,3.0,5.0,31.2,3.0,4.0,26.5,3.0,4.0,600.1
4.0,6.0,95.9,4.0,6.0,634.0,4.0,6.0,44.6,3.0,6.0,92.8,3.0,6.0,33.0,3.0,5.0,319.3
5.0,2.0,134.4,5.0,1.0,389.0,5.0,1.0,21.8,5.0,1.0,47.2,4.0,1.0,61.0,4.0,1.0,882.3
5.0,3.0,24.5,5.0,3.0,251.6,5.0,2.0,91.8,5.0,2.0,206.5,4.0,2.0,256.5,4.0,2.0,1595.0
5.0,4.0,32.7,5.0,4.0,311.8,5.0,4.0,14.6,5.0,3.0,30.2,4.0,3.0,33.4,4.0,3.0,624.9
5.0,6.0,51.2,5.0,6.0,447.0,5.0,6.0,20.9,5.0,6.0,43.7,4.0,6.0,46.2,4.0,5.0,239.7
6.0,2.0,524.8,6.0,1.0,870.9,6.0,1.0,183.6,6.0,1.0,316.2,6.0,1.0,98.7,5.0,1.0,382.6
6.0,3.0,246.9,6.0,3.0,1043.0,6.0,2.0,549.0,6.0,2.0,648.2,6.0,2.0,371.4,5.0,2.0,1041.0
6.0,4.0,283.6,6.0,4.0,902.0,6.0,4.0,136.8,6.0,3.0,240.2,6.0,3.0,78.1,5.0,3.0,288.3
6.0,5.0,162.3,6.0,5.0,801.7,6.0,5.0,76.5,6.0,5.0,119.3,6.0,4.0,68.3,5.0,4.0,225.9
