1,林 恵祐,林 恵祐.1,2,上野 俊樹,上野 俊樹.1,3,谷村 啓司,谷村 啓司.1,4,村本 大成,村本 大成.1,5,川添 英正,川添 英正.1,6,下河 雅史,下河 雅史.1
2.0,3.0,17.5,1.0,3.0,65.3,1.0,2.0,92.4,1.0,2.0,173.5,1.0,2.0,89.0,1.0,2.0,85.8
2.0,4.0,51.7,1.0,4.0,100.4,1.0,4.0,136.7,1.0,3.0,210.3,1.0,3.0,90.5,1.0,3.0,86.7
2.0,5.0,20.4,1.0,5.0,55.7,1.0,5.0,52.9,1.0,5.0,147.7,1.0,4.0,154.5,1.0,4.0,146.0
2.0,6.0,24.4,1.0,6.0,55.3,1.0,6.0,61.2,1.0,6.0,120.1,1.0,6.0,57.9,1.0,5.0,57.0
3.0,2.0,21.9,3.0,1.0,121.2,2.0,1.0,159.1,2.0,1.0,284.0,2.0,1.0,179.1,2.0,1.0,216.7
3.0,4.0,39.2,3.0,4.0,230.3,2.0,4.0,259.8,2.0,3.0,355.8,2.0,3.0,342.4,2.0,3.0,337.9
3.0,5.0,13.6,3.0,5.0,138.4,2.0,5.0,157.1,2.0,5.0,351.8,2.0,4.0,391.7,2.0,4.0,388.1
3.0,6.0,16.7,3.0,6.0,183.2,2.0,6.0,213.4,2.0,6.0,311.6,2.0,6.0,161.3,2.0,5.0,199.2
4.0,2.0,105.0,4.0,1.0,229.9,4.0,1.0,277.2,3.0,1.0,335.3,3.0,1.0,138.1,3.0,1.0,153.3
4.0,3.0,86.9,4.0,3.0,326.7,4.0,2.0,410.5,3.0,2.0,363.8,3.0,2.0,246.7,3.0,2.0,321.0
4.0,5.0,74.9,4.0,5.0,368.0,4.0,5.0,339.7,3.0,5.0,397.7,3.0,4.0,431.2,3.0,4.0,376.7
4.0,6.0,63.8,4.0,6.0,233.3,4.0,6.0,340.6,3.0,6.0,364.9,3.0,6.0,125.6,3.0,5.0,144.8
5.0,2.0,28.5,5.0,1.0,113.7,5.0,1.0,100.7,5.0,1.0,204.2,4.0,1.0,271.3,4.0,1.0,291.1
5.0,3.0,21.7,5.0,3.0,185.6,5.0,2.0,168.0,5.0,2.0,300.6,4.0,2.0,425.5,4.0,2.0,424.1
5.0,4.0,58.8,5.0,4.0,327.5,5.0,4.0,256.6,5.0,3.0,311.6,4.0,3.0,435.6,4.0,3.0,377.8
5.0,6.0,19.2,5.0,6.0,144.5,5.0,6.0,100.9,5.0,6.0,155.4,4.0,6.0,196.7,4.0,5.0,206.5
6.0,2.0,31.4,6.0,1.0,141.8,6.0,1.0,119.3,6.0,1.0,197.6,6.0,1.0,77.0,5.0,1.0,90.2
6.0,3.0,28.5,6.0,3.0,223.5,6.0,2.0,233.7,6.0,2.0,312.4,6.0,2.0,123.6,5.0,2.0,150.5
6.0,4.0,55.4,6.0,4.0,262.4,6.0,4.0,255.6,6.0,3.0,308.6,6.0,3.0,108.4,5.0,3.0,131.1
6.0,5.0,23.7,6.0,5.0,143.2,6.0,5.0,124.4,6.0,5.0,176.4,6.0,4.0,123.0,5.0,4.0,147.7
