1,筒井 美琴,筒井 美琴.1,2,鈴木 成美,鈴木 成美.1,3,宇野 弥生,宇野 弥生.1,4,田村 美和,田村 美和.1,5,犬童 千秋,犬童 千秋.1,6,中谷 朋子,中谷 朋子.1
2.0,3.0,80.4,1.0,3.0,97.3,1.0,2.0,118.2,1.0,2.0,1097.0,1.0,2.0,325.6,1.0,2.0,44.5
2.0,4.0,349.8,1.0,4.0,373.7,1.0,4.0,227.5,1.0,3.0,1088.0,1.0,3.0,330.0,1.0,3.0,40.1
2.0,5.0,164.8,1.0,5.0,152.2,1.0,5.0,118.6,1.0,5.0,1530.0,1.0,4.0,812.1,1.0,4.0,203.4
2.0,6.0,109.2,1.0,6.0,125.0,1.0,6.0,102.6,1.0,6.0,1391.0,1.0,6.0,250.0,1.0,5.0,73.2
3.0,2.0,80.7,3.0,1.0,68.4,2.0,1.0,77.9,2.0,1.0,1153.0,2.0,1.0,282.8,2.0,1.0,36.2
3.0,4.0,288.4,3.0,4.0,101.7,2.0,4.0,94.8,2.0,3.0,796.6,2.0,3.0,134.5,2.0,3.0,13.7
3.0,5.0,150.8,3.0,5.0,29.7,2.0,5.0,31.6,2.0,5.0,1016.0,2.0,4.0,424.4,2.0,4.0,89.9
3.0,6.0,99.3,3.0,6.0,23.2,2.0,6.0,24.2,2.0,6.0,914.3,2.0,6.0,110.8,2.0,5.0,24.5
4.0,2.0,555.9,4.0,1.0,509.2,4.0,1.0,255.9,3.0,1.0,1016.0,3.0,1.0,229.3,3.0,1.0,29.4
4.0,3.0,595.8,4.0,3.0,256.8,4.0,2.0,169.1,3.0,2.0,687.3,3.0,2.0,126.3,3.0,2.0,13.0
4.0,5.0,775.3,4.0,5.0,265.7,4.0,5.0,93.9,3.0,5.0,565.6,3.0,4.0,347.3,3.0,4.0,70.4
4.0,6.0,717.9,4.0,6.0,277.1,4.0,6.0,100.1,3.0,6.0,612.1,3.0,6.0,82.6,3.0,5.0,18.1
5.0,2.0,293.6,5.0,1.0,175.8,5.0,1.0,91.3,5.0,1.0,1730.0,4.0,1.0,1206.0,4.0,1.0,372.7
5.0,3.0,275.6,5.0,3.0,62.4,5.0,2.0,44.9,5.0,2.0,1131.0,4.0,2.0,730.5,4.0,2.0,257.3
5.0,4.0,654.8,5.0,4.0,198.4,5.0,4.0,78.8,5.0,3.0,842.7,4.0,3.0,639.0,4.0,3.0,190.6
5.0,6.0,283.9,5.0,6.0,60.2,5.0,6.0,27.6,5.0,6.0,725.0,4.0,6.0,492.8,4.0,5.0,199.5
6.0,2.0,105.4,6.0,1.0,85.7,6.0,1.0,60.6,6.0,1.0,1384.0,6.0,1.0,169.1,5.0,1.0,98.1
6.0,3.0,104.8,6.0,3.0,30.2,6.0,2.0,24.6,6.0,2.0,812.1,6.0,2.0,93.5,5.0,2.0,44.1
6.0,4.0,404.9,6.0,4.0,122.1,6.0,4.0,66.9,6.0,3.0,734.2,6.0,3.0,83.6,5.0,3.0,36.0
6.0,5.0,176.9,6.0,5.0,40.1,6.0,5.0,21.6,6.0,5.0,632.0,6.0,4.0,290.1,5.0,4.0,129.6
