1,廣中 良一,廣中 良一.1,2,飯田 庄吾,飯田 庄吾.1,3,志道 吉和,志道 吉和.1,4,芝田 浩治,芝田 浩治.1,5,森作 雄大,森作 雄大.1,6,萩原 秀人,萩原 秀人.1
2.0,3.0,103.4,1.0,3.0,386.9,1.0,2.0,272.9,1.0,2.0,138.5,1.0,2.0,554.0,1.0,2.0,291.6
2.0,4.0,55.6,1.0,4.0,241.9,1.0,4.0,70.0,1.0,3.0,69.5,1.0,3.0,258.6,1.0,3.0,219.7
2.0,5.0,110.0,1.0,5.0,492.7,1.0,5.0,117.3,1.0,5.0,33.6,1.0,4.0,117.7,1.0,4.0,68.4
2.0,6.0,54.2,1.0,6.0,245.7,1.0,6.0,88.0,1.0,6.0,23.0,1.0,6.0,99.7,1.0,5.0,129.8
3.0,2.0,97.5,3.0,1.0,458.9,2.0,1.0,450.1,2.0,1.0,319.5,2.0,1.0,1040.0,2.0,1.0,470.5
3.0,4.0,32.2,3.0,4.0,365.7,2.0,4.0,385.3,2.0,3.0,492.7,2.0,3.0,1028.0,2.0,3.0,641.3
3.0,5.0,55.6,3.0,5.0,927.0,2.0,5.0,683.4,2.0,5.0,332.0,2.0,4.0,927.0,2.0,4.0,386.9
3.0,6.0,43.4,3.0,6.0,659.3,2.0,6.0,445.8,2.0,6.0,134.1,2.0,6.0,654.7,2.0,5.0,664.0
4.0,2.0,46.6,4.0,1.0,431.4,4.0,1.0,77.0,3.0,1.0,85.7,3.0,1.0,281.1,3.0,1.0,307.9
4.0,3.0,32.6,4.0,3.0,659.3,4.0,2.0,277.8,3.0,2.0,317.3,3.0,2.0,725.8,3.0,2.0,607.9
4.0,5.0,23.4,4.0,5.0,592.6,4.0,5.0,57.9,3.0,5.0,63.7,3.0,4.0,139.1,3.0,4.0,116.4
4.0,6.0,13.2,4.0,6.0,296.3,4.0,6.0,38.9,3.0,6.0,41.8,3.0,6.0,168.4,3.0,5.0,206.2
5.0,2.0,143.1,5.0,1.0,1076.0,5.0,1.0,193.0,5.0,1.0,41.9,4.0,1.0,109.0,4.0,1.0,61.0
5.0,3.0,100.0,5.0,3.0,1128.0,5.0,2.0,570.9,5.0,2.0,200.0,4.0,2.0,441.6,4.0,2.0,247.0
5.0,4.0,43.3,5.0,4.0,883.3,5.0,4.0,85.8,5.0,3.0,78.4,4.0,3.0,137.4,4.0,3.0,99.7
5.0,6.0,36.1,5.0,6.0,755.0,5.0,6.0,100.1,5.0,6.0,18.9,4.0,6.0,50.2,4.0,5.0,45.7
6.0,2.0,65.0,6.0,1.0,472.8,6.0,1.0,156.0,6.0,1.0,24.2,6.0,1.0,114.7,5.0,1.0,161.9
6.0,3.0,73.5,6.0,3.0,720.2,6.0,2.0,441.6,6.0,2.0,101.5,6.0,2.0,341.7,5.0,2.0,560.6
6.0,4.0,24.5,6.0,4.0,429.5,6.0,4.0,61.5,6.0,3.0,38.4,6.0,3.0,158.9,5.0,3.0,216.2
6.0,5.0,42.0,6.0,5.0,883.3,6.0,5.0,102.2,6.0,5.0,16.2,6.0,4.0,58.5,5.0,4.0,62.9
