1,増田 進,増田 進.1,2,野田部　宏子,野田部　宏子.1,3,武富 智亮,武富 智亮.1,4,永井 彪也,永井 彪也.1,5,蒲原 健太,蒲原 健太.1,6,松本 庸平,松本 庸平.1
2.0,3.0,41.3,1.0,3.0,43.9,1.0,2.0,60.5,1.0,2.0,56.3,1.0,2.0,282.5,1.0,2.0,1139.0
2.0,4.0,37.6,1.0,4.0,33.9,1.0,4.0,27.4,1.0,3.0,35.6,1.0,3.0,192.7,1.0,3.0,879.8
2.0,5.0,89.0,1.0,5.0,78.1,1.0,5.0,56.4,1.0,5.0,44.6,1.0,4.0,201.3,1.0,4.0,1083.0
2.0,6.0,197.4,1.0,6.0,210.4,1.0,6.0,151.0,1.0,6.0,107.9,1.0,6.0,273.1,1.0,5.0,1337.0
3.0,2.0,40.9,3.0,1.0,55.4,2.0,1.0,82.8,2.0,1.0,74.1,2.0,1.0,435.5,2.0,1.0,1285.0
3.0,4.0,21.8,3.0,4.0,31.8,2.0,4.0,39.1,2.0,3.0,43.1,2.0,3.0,365.1,2.0,3.0,1248.0
3.0,5.0,43.7,3.0,5.0,65.8,2.0,5.0,71.6,2.0,5.0,51.6,2.0,4.0,274.8,2.0,4.0,668.8
3.0,6.0,138.4,3.0,6.0,162.0,2.0,6.0,159.0,2.0,6.0,111.8,2.0,6.0,418.8,2.0,5.0,1083.0
4.0,2.0,35.0,4.0,1.0,45.7,4.0,1.0,28.6,3.0,1.0,34.8,3.0,1.0,229.5,3.0,1.0,780.3
4.0,3.0,22.8,4.0,3.0,33.4,4.0,2.0,34.2,3.0,2.0,33.3,3.0,2.0,318.1,3.0,2.0,1181.0
4.0,5.0,44.1,4.0,5.0,45.8,4.0,5.0,21.9,3.0,5.0,23.2,3.0,4.0,151.0,3.0,4.0,658.7
4.0,6.0,105.7,4.0,6.0,109.6,4.0,6.0,56.4,3.0,6.0,52.5,3.0,6.0,330.2,3.0,5.0,1202.0
5.0,2.0,146.9,5.0,1.0,186.2,5.0,1.0,107.1,5.0,1.0,58.1,4.0,1.0,190.5,4.0,1.0,1101.0
5.0,3.0,119.2,5.0,3.0,132.2,5.0,2.0,122.6,5.0,2.0,67.9,4.0,2.0,225.6,4.0,2.0,582.6
5.0,4.0,110.1,5.0,4.0,99.0,5.0,4.0,57.7,5.0,3.0,44.3,4.0,3.0,142.8,4.0,3.0,609.7
5.0,6.0,271.4,5.0,6.0,344.9,5.0,6.0,145.3,5.0,6.0,77.1,4.0,6.0,258.5,4.0,5.0,668.8
6.0,2.0,553.1,6.0,1.0,580.0,6.0,1.0,336.1,6.0,1.0,201.0,6.0,1.0,483.7,5.0,1.0,1598.0
6.0,3.0,445.8,6.0,3.0,416.1,6.0,2.0,456.7,6.0,2.0,193.9,6.0,2.0,481.9,5.0,2.0,1324.0
6.0,4.0,436.9,6.0,4.0,251.6,6.0,4.0,205.7,6.0,3.0,141.5,6.0,3.0,481.9,5.0,3.0,1310.0
6.0,5.0,569.9,6.0,5.0,435.5,6.0,5.0,348.6,6.0,5.0,178.8,6.0,4.0,476.7,5.0,4.0,845.7
