1,中 亮太,中 亮太.1,2,吉本 玲緒,吉本 玲緒.1,3,平野 和明,平野 和明.1,4,日笠 勝弘,日笠 勝弘.1,5,松尾 充,松尾 充.1,6,佐竹 太一,佐竹 太一.1
2.0,3.0,24.4,1.0,3.0,336.3,1.0,2.0,150.7,1.0,2.0,470.8,1.0,2.0,133.2,1.0,2.0,1363.0
2.0,4.0,47.7,1.0,4.0,508.0,1.0,4.0,89.3,1.0,3.0,317.2,1.0,3.0,44.3,1.0,3.0,647.0
2.0,5.0,28.5,1.0,5.0,414.4,1.0,5.0,44.7,1.0,5.0,187.2,1.0,4.0,94.8,1.0,4.0,1193.0
2.0,6.0,73.1,1.0,6.0,765.8,1.0,6.0,93.1,1.0,6.0,300.2,1.0,6.0,52.6,1.0,5.0,513.6
3.0,2.0,17.5,3.0,1.0,553.3,2.0,1.0,416.8,2.0,1.0,731.7,2.0,1.0,388.7,2.0,1.0,1876.0
3.0,4.0,9.8,3.0,4.0,1297.0,2.0,4.0,844.7,2.0,3.0,1280.0,2.0,3.0,680.7,2.0,3.0,2505.0
3.0,5.0,4.6,3.0,5.0,1001.0,2.0,5.0,618.6,2.0,5.0,1381.0,2.0,4.0,1001.0,2.0,4.0,3239.0
3.0,6.0,12.9,3.0,6.0,1513.0,2.0,6.0,929.6,2.0,6.0,1527.0,2.0,6.0,812.3,2.0,5.0,2530.0
4.0,2.0,57.6,4.0,1.0,981.7,4.0,1.0,251.5,3.0,1.0,573.9,3.0,1.0,90.2,3.0,1.0,1017.0
4.0,3.0,22.7,4.0,3.0,1531.0,4.0,2.0,1042.0,3.0,2.0,1385.0,3.0,2.0,481.5,3.0,2.0,2748.0
4.0,5.0,22.6,4.0,5.0,1790.0,4.0,5.0,384.0,3.0,5.0,566.3,3.0,4.0,403.2,3.0,4.0,2398.0
4.0,6.0,46.6,4.0,6.0,2118.0,4.0,6.0,695.6,3.0,6.0,936.5,3.0,6.0,227.4,3.0,5.0,1179.0
5.0,2.0,25.8,5.0,1.0,775.2,5.0,1.0,89.2,5.0,1.0,212.9,4.0,1.0,202.1,4.0,1.0,2002.0
5.0,3.0,7.5,5.0,3.0,1142.0,5.0,2.0,473.0,5.0,2.0,737.0,4.0,2.0,693.7,4.0,2.0,3323.0
5.0,4.0,17.8,5.0,4.0,1971.0,5.0,4.0,344.3,5.0,3.0,441.0,4.0,3.0,457.3,4.0,3.0,2734.0
5.0,6.0,13.2,5.0,6.0,1741.0,5.0,6.0,234.3,5.0,6.0,303.2,4.0,6.0,304.5,4.0,5.0,1712.0
6.0,2.0,131.0,6.0,1.0,1667.0,6.0,1.0,350.9,6.0,1.0,546.2,6.0,1.0,122.1,5.0,1.0,605.4
6.0,3.0,51.6,6.0,3.0,2058.0,6.0,2.0,1307.0,6.0,2.0,1320.0,6.0,2.0,644.5,5.0,2.0,2201.0
6.0,4.0,92.5,6.0,4.0,2676.0,6.0,4.0,989.3,6.0,3.0,1122.0,6.0,3.0,237.8,5.0,3.0,941.7
6.0,5.0,47.7,6.0,5.0,2260.0,6.0,5.0,494.6,6.0,5.0,631.7,6.0,4.0,408.1,5.0,4.0,1424.0
