1,永田 啓二,永田 啓二.1,2,平見 真彦,平見 真彦.1,3,立間 充宏,立間 充宏.1,4,菊池 峰晴,菊池 峰晴.1,5,田頭 虎親,田頭 虎親.1,6,富永 正人,富永 正人.1
2.0,3.0,5.0,1.0,3.0,73.1,1.0,2.0,62.4,1.0,2.0,464.5,1.0,2.0,157.7,1.0,2.0,2139.0
2.0,4.0,10.9,1.0,4.0,145.6,1.0,4.0,101.5,1.0,3.0,537.8,1.0,3.0,122.2,1.0,3.0,1732.0
2.0,5.0,8.3,1.0,5.0,113.9,1.0,5.0,57.8,1.0,5.0,530.9,1.0,4.0,349.6,1.0,4.0,3503.0
2.0,6.0,62.1,1.0,6.0,415.1,1.0,6.0,269.5,1.0,6.0,997.0,1.0,6.0,348.9,1.0,5.0,3092.0
3.0,2.0,5.2,3.0,1.0,163.4,2.0,1.0,157.0,2.0,1.0,756.1,2.0,1.0,366.0,2.0,1.0,3244.0
3.0,4.0,10.8,3.0,4.0,651.5,2.0,4.0,494.4,2.0,3.0,1499.0,2.0,3.0,635.3,2.0,3.0,4211.0
3.0,5.0,6.6,3.0,5.0,441.5,2.0,5.0,338.1,2.0,5.0,1592.0,2.0,4.0,1350.0,2.0,4.0,4947.0
3.0,6.0,56.0,3.0,6.0,1384.0,2.0,6.0,948.1,2.0,6.0,1884.0,2.0,6.0,1406.0,2.0,5.0,5459.0
4.0,2.0,32.4,4.0,1.0,551.3,4.0,1.0,434.5,3.0,1.0,849.4,3.0,1.0,242.7,3.0,1.0,2976.0
4.0,3.0,35.9,4.0,3.0,1174.0,4.0,2.0,817.0,3.0,2.0,1510.0,3.0,2.0,582.5,3.0,2.0,4447.0
4.0,5.0,43.8,4.0,5.0,1183.0,4.0,5.0,545.6,3.0,5.0,1266.0,3.0,4.0,933.5,3.0,4.0,5695.0
4.0,6.0,133.2,4.0,6.0,1984.0,4.0,6.0,1266.0,3.0,6.0,1935.0,3.0,6.0,1159.0,3.0,5.0,5349.0
5.0,2.0,14.9,5.0,1.0,408.0,5.0,1.0,172.9,5.0,1.0,758.3,4.0,1.0,802.9,4.0,1.0,5459.0
5.0,3.0,16.2,5.0,3.0,651.0,5.0,2.0,398.0,5.0,2.0,1510.0,4.0,2.0,1622.0,4.0,2.0,5140.0
5.0,4.0,47.2,5.0,4.0,1312.0,5.0,4.0,501.6,5.0,3.0,1192.0,4.0,3.0,1162.0,4.0,3.0,5654.0
5.0,6.0,79.5,5.0,6.0,1841.0,5.0,6.0,896.5,5.0,6.0,1272.0,4.0,6.0,1326.0,4.0,5.0,5614.0
6.0,2.0,275.1,6.0,1.0,1959.0,6.0,1.0,1203.0,6.0,1.0,2349.0,6.0,1.0,1376.0,5.0,1.0,4398.0
6.0,3.0,284.9,6.0,3.0,2656.0,6.0,2.0,2157.0,6.0,2.0,2587.0,6.0,2.0,2406.0,5.0,2.0,5422.0
6.0,4.0,356.9,6.0,4.0,2899.0,6.0,4.0,2186.0,6.0,3.0,2932.0,6.0,3.0,2157.0,5.0,3.0,4712.0
6.0,5.0,258.5,6.0,5.0,2797.0,6.0,5.0,2157.0,6.0,5.0,2683.0,6.0,4.0,2242.0,5.0,4.0,5575.0
