1,中辻 博訓,中辻 博訓.1,2,富田 恕生,富田 恕生.1,3,宗行 治哉,宗行 治哉.1,4,田中 豪,田中 豪.1,5,松本 博昭,松本 博昭.1,6,松井 賢治,松井 賢治.1
2.0,3.0,8.2,1.0,3.0,52.8,1.0,2.0,82.5,1.0,2.0,96.0,1.0,2.0,199.9,1.0,2.0,792.2
2.0,4.0,12.0,1.0,4.0,61.6,1.0,4.0,74.1,1.0,3.0,116.7,1.0,3.0,185.9,1.0,3.0,822.6
2.0,5.0,17.9,1.0,5.0,78.4,1.0,5.0,59.6,1.0,5.0,68.9,1.0,4.0,190.1,1.0,4.0,871.6
2.0,6.0,34.5,1.0,6.0,117.4,1.0,6.0,97.9,1.0,6.0,86.3,1.0,6.0,167.5,1.0,5.0,658.1
3.0,2.0,9.7,3.0,1.0,148.9,2.0,1.0,169.2,2.0,1.0,219.9,2.0,1.0,428.1,2.0,1.0,1011.0
3.0,4.0,10.2,3.0,4.0,241.5,2.0,4.0,274.7,2.0,3.0,388.0,2.0,3.0,810.6,2.0,3.0,1727.0
3.0,5.0,12.3,3.0,5.0,295.4,2.0,5.0,310.8,2.0,5.0,304.0,2.0,4.0,741.5,2.0,4.0,1198.0
3.0,6.0,22.3,3.0,6.0,447.7,2.0,6.0,442.0,2.0,6.0,295.3,2.0,6.0,588.4,2.0,5.0,1553.0
4.0,2.0,17.6,4.0,1.0,210.4,4.0,1.0,194.7,3.0,1.0,293.9,3.0,1.0,331.8,3.0,1.0,1011.0
4.0,3.0,19.4,4.0,3.0,341.6,4.0,2.0,368.0,3.0,2.0,468.5,3.0,2.0,885.5,3.0,2.0,1904.0
4.0,5.0,23.8,4.0,5.0,397.5,4.0,5.0,296.9,3.0,5.0,426.4,3.0,4.0,800.1,3.0,4.0,1700.0
4.0,6.0,33.2,4.0,6.0,434.4,4.0,6.0,396.6,3.0,6.0,503.2,3.0,6.0,622.0,3.0,5.0,1467.0
5.0,2.0,34.7,5.0,1.0,317.4,5.0,1.0,195.8,5.0,1.0,90.7,4.0,1.0,232.1,4.0,1.0,950.6
5.0,3.0,31.0,5.0,3.0,656.5,5.0,2.0,470.0,5.0,2.0,192.5,4.0,2.0,440.3,4.0,2.0,1185.0
5.0,4.0,44.5,5.0,4.0,712.9,5.0,4.0,474.1,5.0,3.0,294.8,4.0,3.0,572.7,4.0,3.0,1544.0
5.0,6.0,43.8,5.0,6.0,597.9,5.0,6.0,320.1,5.0,6.0,95.6,4.0,6.0,215.7,4.0,5.0,598.6
6.0,2.0,106.5,6.0,1.0,506.4,6.0,1.0,459.2,6.0,1.0,177.8,6.0,1.0,264.4,5.0,1.0,648.1
6.0,3.0,101.6,6.0,3.0,934.6,6.0,2.0,805.9,6.0,2.0,310.1,6.0,2.0,518.7,5.0,2.0,1324.0
6.0,4.0,111.6,6.0,4.0,752.5,6.0,4.0,837.5,6.0,3.0,514.4,6.0,3.0,527.6,5.0,3.0,1185.0
6.0,5.0,95.8,6.0,5.0,871.6,6.0,5.0,527.1,6.0,5.0,172.4,6.0,4.0,318.1,5.0,4.0,605.1
