1,津田 陸翔,津田 陸翔.1,2,原田　才一郎,原田　才一郎.1,3,大森 翼,大森 翼.1,4,中島 航,中島 航.1,5,中野 仁照,中野 仁照.1,6,森清 友翔,森清 友翔.1
2.0,3.0,16.3,1.0,3.0,33.5,1.0,2.0,294.9,1.0,2.0,84.6,1.0,2.0,28.3,1.0,2.0,930.1
2.0,4.0,10.5,1.0,4.0,20.9,1.0,4.0,388.0,1.0,3.0,373.6,1.0,3.0,110.2,1.0,3.0,1767.0
2.0,5.0,5.5,1.0,5.0,9.9,1.0,5.0,279.1,1.0,5.0,84.4,1.0,4.0,67.9,1.0,4.0,1526.0
2.0,6.0,47.5,1.0,6.0,70.1,1.0,6.0,693.3,1.0,6.0,276.5,1.0,6.0,79.9,1.0,5.0,819.2
3.0,2.0,33.5,3.0,1.0,123.1,2.0,1.0,349.8,2.0,1.0,126.3,2.0,1.0,36.5,2.0,1.0,962.7
3.0,4.0,75.2,3.0,4.0,217.9,2.0,4.0,426.3,2.0,3.0,418.1,2.0,3.0,162.3,2.0,3.0,1925.0
3.0,5.0,49.0,3.0,5.0,150.3,2.0,5.0,366.8,2.0,5.0,121.4,2.0,4.0,92.8,2.0,4.0,1337.0
3.0,6.0,181.8,3.0,6.0,487.5,2.0,6.0,861.2,2.0,6.0,311.3,2.0,6.0,109.6,2.0,5.0,851.5
4.0,2.0,24.8,4.0,1.0,66.4,4.0,1.0,832.7,3.0,1.0,755.7,3.0,1.0,310.0,3.0,1.0,2174.0
4.0,3.0,85.3,4.0,3.0,211.5,4.0,2.0,842.0,3.0,2.0,740.9,3.0,2.0,365.0,3.0,2.0,2651.0
4.0,5.0,34.0,4.0,5.0,73.0,4.0,5.0,839.7,3.0,5.0,737.3,3.0,4.0,523.9,3.0,4.0,2290.0
4.0,6.0,126.6,4.0,6.0,265.6,4.0,6.0,1503.0,3.0,6.0,1000.0,3.0,6.0,559.8,3.0,5.0,1707.0
5.0,2.0,11.7,5.0,1.0,24.8,5.0,1.0,447.8,5.0,1.0,100.7,4.0,1.0,114.3,4.0,1.0,1737.0
5.0,3.0,42.3,5.0,3.0,103.5,5.0,2.0,544.6,5.0,2.0,104.0,4.0,2.0,118.6,4.0,2.0,1542.0
5.0,4.0,30.6,5.0,4.0,61.9,5.0,4.0,866.1,5.0,3.0,403.6,4.0,3.0,360.3,4.0,3.0,2699.0
5.0,6.0,62.8,5.0,6.0,115.1,5.0,6.0,1095.0,5.0,6.0,189.8,4.0,6.0,213.3,4.0,5.0,1056.0
6.0,2.0,205.0,6.0,1.0,352.3,6.0,1.0,1582.0,6.0,1.0,535.9,6.0,1.0,207.6,5.0,1.0,803.9
6.0,3.0,520.3,6.0,3.0,759.5,6.0,2.0,1727.0,6.0,2.0,506.3,6.0,2.0,231.8,5.0,2.0,837.3
6.0,4.0,387.0,6.0,4.0,582.4,6.0,4.0,2143.0,6.0,3.0,1017.0,6.0,3.0,537.8,5.0,3.0,1432.0
6.0,5.0,232.5,6.0,5.0,323.3,6.0,5.0,1425.0,6.0,5.0,421.0,6.0,4.0,361.1,5.0,4.0,881.3
